,City,Median_Rent,City_income,lat,long
0,Oklahoma City,1197.5,2581.0,35.4729886,-97.5170536
1,San Antonio,1200.0,2194.0,29.4246002,-98.4951405
2,Columbus,1292.5,2505.0,39.9622601,-83.0007065
3,Las Vegas,1300.0,2627.0,36.1672559,-115.148516
4,El Paso,1300.0,1954.0,31.7865623,-106.441207
5,Phoenix,1350.0,2619.0,33.4484367,-112.074141
6,Fort Worth,1366.0,2531.0,32.753177,-97.3327459
7,Jacksonville,1381.5,2576.0,30.3321838,-81.655651
8,Indianapolis,1389.5,2487.0,39.7683331,-86.1583502
9,Chicago,1398.5,3256.0,41.8755616,-87.6244212
10,Houston,1400.0,2802.0,29.7589382,-95.3676974
11,Philadelphia,1400.0,2487.0,39.9527237,-75.1635262
12,Dallas,1435.0,2957.0,32.7762719,-96.7968559
13,Charlotte,1459.0,3320.0,35.2272086,-80.8430827
14,Austin,1495.0,3736.0,30.2711286,-97.7436995
15,Nashville,1524.0,3060.0,36.1622767,-86.7742984
16,Denver,1605.0,3803.0,39.7392364,-104.984862
17,Seattle,1850.0,5301.0,47.6038321,-122.330062
18,Washington DC,2200.0,4888.0,38.8950368,-77.0365427
19,Los Angeles,2300.0,3095.0,34.0536909,-118.242766
20,San Jose,2415.0,4101.0,37.3361663,-121.890591
21,San Diego,2495.0,3591.0,32.7174202,-117.1627728
22,San Francisco,2895.0,6003.0,37.7790262,-122.419906
23,Boston,2984.0,3904.0,42.3554334,-71.060511
24,New York,3450.0,3552.0,40.7127281,-74.0060152
