,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,400",1 Bed,1 Bath,2d ago,Sentral Michigan AvenueOur team has verified this property808 S Michigan Ave,Chicago,IL, 60605,,
1,1,"$1,227",1 Bed,1 Bath,1h ago,3935 W DiverseyOur team has verified this property3935 W Diversey Ave,Chicago,IL, 60647,,
2,2,"$2,282",1 Bed,1 Bath,1h ago,The ClarkOur team has verified this property1201 N Clark St,Chicago,IL, 60610,,
3,3,"$1,447",1 Bed,1 Bath,1h ago,801-13 W. CorneliaOur team has verified this property801 W Cornelia Ave,Chicago,IL, 60657,,
4,4,"$1,997",1 Bed,1 Bath,1h ago,Wrigleyville LoftsOur team has verified this property949 W Dakin St,Chicago,IL, 60613,,
5,5,"$1,719",1 Bed,1 Bath,1h ago,1835 N PaulinaOur team has verified this property1835 N Paulina St,Chicago,IL, 60622,,
6,6,"$1,952",1 Bed,1 Bath,1h ago,1717 North DaytonOur team has verified this property1717 N Dayton St,Chicago,IL, 60614,,
7,7,"$1,217",1 Bed,1 Bath,1h ago,1338 W ArgyleOur team has verified this property1338 W Argyle St,Chicago,IL, 60640,,
8,8,"$1,425",1 Bed,1 Bath,1h ago,1261 W ArgyleOur team has verified this property1261 W Argyle St,Chicago,IL, 60640,,
9,9,"$1,809",1 Bed,1 Bath,1h ago,Aspire ResidencesOur team has verified this property2111 S Wabash Ave,Chicago,IL, 60616,,
10,10,"$3,107",1 Bed,1 Bath,1h ago,Hubbard 221Our team has verified this property221 W Hubbard St,Chicago,IL, 60654,,
11,11,"$3,049",1 Bed,1 Bath,1h ago,The Scott ResidencesOur team has verified this property211 W Scott St,Chicago,IL, 60610,,
12,12,"$1,595",1 Bed,1 Bath,1h ago,5054-5064 N Wolcott AveOur team has verified this property5054 N Wolcott Ave,Chicago,IL, 60640,,
13,13,"$2,188",1 Bed,1 Bath,1h ago,Burnham PointeOur team has verified this property730 S Clark St,Chicago,IL, 60605,,
14,14,"$1,795",1 Bed,1 Bath,1h ago,3808-16 N. SheffieldOur team has verified this property3808 N Sheffield Ave,Chicago,IL, 60613,,
15,15,"$1,895",1 Bed,1 Bath,2h ago,3815 N Greenview Ave,Chicago,IL, 60613,,
16,16,"$1,199",1 Bed,1 Bath,2h ago,Prairie ShoresOur team has verified this property2937 S King Dr,Chicago,IL, 60616,,
17,17,"$1,152",1 Bed,1 Bath,2h ago,1033 W LoyolaOur team has verified this property1033 W Loyola Ave,Chicago,IL, 60626,,
18,18,"$1,595",1 Bed,1 Bath,2h ago,452 Oakdale BuildingOur team has verified this property452 W Oakdale Ave,Chicago,IL, 60657,,
19,19,"$3,063",1 Bed,1 Bath,2h ago,1890 Maple Ave ,Chicago,IL, 60201,,
20,20,"$2,650",1 Bed,1 Bath,3h ago,1624 W Beach Ave ,Chicago,IL, 60622,,
21,21,"$2,400",1 Bed,1 Bath,3h ago,435 W Erie St,Chicago,IL, 60654,,
22,22,"$2,100",1 Bed,1 Bath,4h ago,2138 S Indiana Ave,Chicago,IL, 60616,,
23,23,"$2,600",1 Bed,1 Bath,4h ago,200 E Illinois St,Chicago,IL, 60611,,
24,24,"$2,373",1 Bed,1 Bath,4h ago,720 S Wells St,Chicago,IL, 60607,,
25,25,"$2,226",1 Bed,1 Bath,4h ago,3450 N Lake Shore Dr ,Chicago,IL, 60657,,
26,26,"$2,015",1 Bed,1 Bath,4h ago,2111 S Wabash Ave ,Chicago,IL, 60616,,
27,27,"$1,900",1 Bed,1 Bath,4h ago,2111 S Wabash Ave ,Chicago,IL, 60616,,
28,28,"$2,445",1 Bed,1 Bath,4h ago,2345 N Lincoln Ave ,Chicago,IL, 60614,,
29,29,"$2,265",1 Bed,1 Bath,4h ago,3218 N Clark St ,Chicago,IL, 60657,,
30,30,"$2,432",1 Bed,1 Bath,4h ago,734 W Sheridan Rd ,Chicago,IL, 60613,,
31,31,"$2,235",1 Bed,1 Bath,4h ago,720 S Wells St ,Chicago,IL, 60607,,
32,32,"$2,275",1 Bed,1 Bath,4h ago,728 N Morgan St ,Chicago,IL, 60642,,
33,33,"$2,275",1 Bed,1 Bath,4h ago,801 S Financial Pl ,Chicago,IL, 60605,,
34,34,"$1,847",1 Bed,1 Bath,4h ago,215 W Lake St ,Chicago,IL, 60606,,
35,35,"$2,166",1 Bed,1 Bath,4h ago,400 E South Water St ,Chicago,IL, 60601,,
36,36,"$2,077",1 Bed,1 Bath,4h ago,1001 S State St ,Chicago,IL, 60605,,
37,37,"$2,529",1 Bed,1 Bath,4h ago,765 W Adams St ,Chicago,IL, 60661,,
38,38,"$2,625",1 Bed,1 Bath,4h ago,200 E Illinois St ,Chicago,IL, 60611,,
39,39,"$2,714",1 Bed,1 Bath,4h ago,1222 W Madison St ,Chicago,IL, 60607,,
40,40,"$2,680",1 Bed,1 Bath,7h ago,300 E North Water St,Chicago,IL, 60611,,
41,41,"$2,390",1 Bed,1 Bath,7h ago,1400 W Randolph St,Chicago,IL, 60607,,
42,42,"$1,460",1 Bed,1 Bath,7h ago,831 W Buena Ave,Chicago,IL, 60613,,
43,43,"$2,288",1 Bed,1 Bath,7h ago,AMLI Lofts850 S Clark St,Chicago,IL, 60605,,
44,44,"$2,500",1 Bed,1 Bath,8h ago,1061 W 16th St ,Chicago,IL, 60608,,
45,45,"$1,165",1 Bed,1 Bath,9h ago,6148 N Francisco Ave ,Chicago,IL, 60659,,
46,46,"$1,750",1 Bed,1 Bath,9h ago,1473 W Erie St ,Chicago,IL, 60642,,
47,47,"$2,897",1 Bed,1 Bath,9h ago,441 W Melrose St ,Chicago,IL, 60657,,
48,48,"$1,895",1 Bed,1 Bath,9h ago,3819 N Greenview Ave ,Chicago,IL, 60613,,
49,49,"$1,560",1 Bed,1 Bath,9h ago,The Pavilion5441 N East River Rd,Chicago,IL, 60656,,
50,50,"$2,870",1 Bed,1 Bath,10h ago,1407 S Michigan AveOur team has verified this property1407 S Michigan Ave ,Chicago,IL, 60605,,
51,51,"$3,700",1 Bed,1 Bath,10h ago,500 N Lake Shore DrOur team has verified this property500 N Lake Shore Dr ,Chicago,IL, 60611,,
52,52,"$2,400",1 Bed,1 Bath,11h ago,Sentral Michigan AvenueOur team has verified this property808 S Michigan Ave,Chicago,IL, 60605,,
53,53,"$1,750",1 Bed,1 Bath,11h ago,1355 N Sandburg Ter ,Chicago,IL, 60610,,
54,54,"$2,900",1 Bed,1 Bath,11h ago,600 N Lake Shore Dr ,Chicago,IL, 60611,,
55,55,"$1,450",1 Bed,1 Bath,11h ago,6301 N Sheridan Rd ,Chicago,IL, 60660,,
56,56,"$1,300",1 Bed,1 Bath,11h ago,1127 W Farwell Ave ,Chicago,IL, 60626,,
57,57,"$2,600",1 Bed,1 Bath,11h ago,2020 N Lincoln Park W ,Chicago,IL, 60614,,
58,58,"$1,110",1 Bed,1 Bath,13h ago,6160 N Damen Ave,Chicago,IL, 60659,,
59,59,"$2,432",1 Bed,1 Bath,14h ago,Viridian on Sheridan734 W Sheridan Rd,Chicago,IL, 60613,,
60,60,"$1,925",1 Bed,1 Bath,15h ago,Arrive LEX2138 S Indiana Ave,Chicago,IL, 60616,,
61,61,"$1,960",1 Bed,1 Bath,15h ago,Century TowerOur team has verified this property182 W Lake St,Chicago,IL, 60601,,
62,62,"$1,650",1 Bed,1 Bath,15h ago,2442 N Ashland Ave,Chicago,IL, 60614,,
63,63,"$2,200",1 Bed,1 Bath,15h ago,Block Belmont ApartmentsOur team has verified this property6340 6340 W Belmont Ave / 3207 N Narragansett Ave,Chicago,IL, 60634,,
64,64,"$1,795",1 Bed,1 Bath,15h ago,2334 N Spaulding Ave ,Chicago,IL, 60647,,
65,65,"$1,350",1 Bed,1 Bath,15h ago,3649 W Montrose Ave ,Chicago,IL, 60618,,
66,66,"$2,460",1 Bed,1 Bath,15h ago,222 W Erie St,Chicago,IL, 60654,,
67,67,"$2,118",1 Bed,1 Bath,15h ago,1454 W Randolph St ,Chicago,IL, 60607,,
68,68,"$2,883",1 Bed,1 Bath,15h ago,1400 W Randolph St ,Chicago,IL, 60607,,
69,69,"$2,750",1 Bed,1 Bath,15h ago,228 W Hill St ,Chicago,IL, 60610,,
70,70,"$2,546",1 Bed,1 Bath,15h ago,740 N Aberdeen St ,Chicago,IL, 60642,,
71,71,"$1,860",1 Bed,1 Bath,15h ago,401 W Fullerton Pkwy ,Chicago,IL, 60614,,
72,72,"$1,995",1 Bed,1 Bath,15h ago,4346 N Honore St ,Chicago,IL, 60613,,
73,73,"$2,113",1 Bed,1 Bath,15h ago,51 E 14th St ,Chicago,IL, 60605,,
74,74,"$2,866",1 Bed,1 Bath,15h ago,465 N Park Dr ,Chicago,IL, 60611,,
75,75,"$1,923",1 Bed,1 Bath,15h ago,901 S Ashland Ave ,Chicago,IL, 60607,,
76,76,"$3,564",1 Bed,1 Bath,15h ago,220 E Illinois St ,Chicago,IL, 60611,,
77,77,"$2,350",1 Bed,1 Bath,15h ago,845 N State St ,Chicago,IL, 60610,,
78,78,"$1,921",1 Bed,1 Bath,15h ago,1333 S Wabash Ave ,Chicago,IL, 60605,,
79,79,"$2,196",1 Bed,1 Bath,15h ago,830 N Milwaukee Ave ,Chicago,IL, 60642,,
80,80,"$2,562",1 Bed,1 Bath,15h ago,343 W Wolf Point Plz ,Chicago,IL, 60654,,
81,81,"$2,269",1 Bed,1 Bath,15h ago,25 W Randolph St ,Chicago,IL, 60601,,
82,82,"$1,400",1 Bed,1 Bath,15h ago,2828 N Cambridge Ave ,Chicago,IL, 60657,,
83,83,"$2,556",1 Bed,1 Bath,15h ago,734 N Clark St,Chicago,IL, 60654,,
84,84,"$2,090",1 Bed,1 Bath,15h ago,429 W Ohio St429 W Ohio St,Chicago,IL, 60654,,
85,85,"$2,490",1 Bed,1 Bath,15h ago,744 N Clark St744 N Clark St,Chicago,IL, 60654,,
