,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,150",1 Bed,1 Bath,20h ago,Riverbridge ApartmentsOur team has verified this property19143 Victory Blvd,Los Angeles,CA, 91335,,
1,1,"$2,195",1 Bed,1 Bath,20h ago,Corbin TerraceOur team has verified this property7240 Corbin Ave,Los Angeles,CA, 91335,,
2,2,"$2,495",1 Bed,1 Bath,3d ago,E on GrandOur team has verified this property1249 S Grand Ave,Los Angeles,CA, 90015,,
3,3,"$2,350",1 Bed,1 Bath,48m ago,14410 Chandler Blvd,Los Angeles,CA, 91401,,
4,4,"$5,195",1 Bed,1 Bath,2h ago,Wilshire Victoria10700 Wilshire Blvd,Los Angeles,CA, 90024,,
5,5,"$3,650",1 Bed,1 Bath,2h ago,467 Arnaz Dr ,Los Angeles,CA, 90048,,
6,6,"$3,156",1 Bed,1 Bath,3h ago,1530 Cassil Pl ,Los Angeles,CA, 90028,,
7,7,"$3,104",1 Bed,1 Bath,3h ago,Milano LoftsOur team has verified this property609 S Grand Ave,Los Angeles,CA, 90017,,
8,8,"$2,483",1 Bed,1 Bath,3h ago,HikariOur team has verified this property375 E 2nd St,Los Angeles,CA, 90012,,
9,9,"$2,063",1 Bed,1 Bath,3h ago,AvantOur team has verified this property1420 S Figueroa St,Los Angeles,CA, 90015,,
10,10,"$2,430",1 Bed,1 Bath,4h ago,Vela on OxOur team has verified this property21221 Oxnard St,Los Angeles,CA, 91367,,
11,11,"$2,383",1 Bed,1 Bath,4h ago,Grand Apartments on Lindley10201 Lindley Ave,Los Angeles,CA, 91325,,
12,12,"$2,438",1 Bed,1 Bath,4h ago,Triana ApartmentsOur team has verified this property6250 Canoga Ave,Los Angeles,CA, 91367,,
13,13,"$2,415",1 Bed,1 Bath,4h ago,Wren1230 S Olive St,Los Angeles,CA, 90015,,
14,14,"$2,745",1 Bed,1 Bath,5h ago,AVA Hollywood at La Pietra PlaceOur team has verified this property6677 Santa Monica Blvd,Los Angeles,CA, 90038,,
15,15,"$2,590",1 Bed,1 Bath,5h ago,AVA North HollywoodOur team has verified this property5077 Lankershim Blvd,Los Angeles,CA, 91601,,
16,16,"$2,741",1 Bed,1 Bath,5h ago,Avalon EncinoOur team has verified this property16350 Ventura Blvd,Los Angeles,CA, 91436,,
17,17,"$2,468",1 Bed,1 Bath,6h ago,n Studio,Avalon Studio CityOur team has verified this property10945 Bluffside Dr,Los Angeles,CA, 91604,
18,18,"$2,975",1 Bed,1 Bath,7h ago,8317 Blackburn Avenue8317 Blackburn Ave,Los Angeles,CA, 90048,,
19,19,"$2,152",1 Bed,1 Bath,9h ago,Broadway Palace Apartments1026 S Broadway,Los Angeles,CA, 90015,,
20,20,"$3,240",1 Bed,1 Bath,9h ago,Broadcast Center Apartments7660 Beverly Blvd,Los Angeles,CA, 90036,,
21,21,"$2,167",1 Bed,1 Bath,9h ago,Museum Tower225 S Olive St,Los Angeles,CA, 90012,,
22,22,"$2,375",1 Bed,1 Bath,9h ago,Oceano Warner Center6355 De Soto Ave,Los Angeles,CA, 91367,,
23,23,"$2,970",1 Bed,1 Bath,9h ago,Palazzo East at Park La Brea,The348 Hauser Blvd,Lo,s Ange,,
24,24,"$2,710",1 Bed,1 Bath,9h ago,Josephine DTLA801 S Hope St,Los Angeles,CA, 90017,,
25,25,"$2,123",1 Bed,1 Bath,9h ago,The Orsini550 N Figueroa St,Los Angeles,CA, 90012,,
26,26,"$3,105",1 Bed,1 Bath,10h ago,Villas at Park La Brea Apartments5555 W 6th St,Los Angeles,CA, 90036,,
27,27,"$2,590",1 Bed,1 Bath,11h ago,12224 Hatteras St,Los Angeles,CA, 91607,,
28,28,"$1,945",1 Bed,1 Bath,11h ago,3711 S. Normandie Ave.3711 S Normandie Ave,Los Angeles,CA, 90007,,
29,29,"$1,695",1 Bed,1 Bath,11h ago,2801 - 2805 South Budlong Apartments2801 S Budlong Ave,Los Angeles,CA, 90007,,
30,30,"$2,495",1 Bed,1 Bath,11h ago,1528-1530 S. Saltair Ave1528 S Saltair Ave,Los Angeles,CA, 90025,,
31,31,"$1,795",1 Bed,1 Bath,11h ago,17944 Schoenborn St.17944 Schoenborn St,Los Angeles,CA, 91325,,
32,32,"$1,600",1 Bed,1 Bath,12h ago,555 N. Gaffey Street555 N Gaffey St,Los Angeles,CA, 90731,,
33,33,"$2,197",1 Bed,1 Bath,12h ago,Aven1120 S Grand Ave,Los Angeles,CA, 90015,,
34,34,"$2,495",1 Bed,1 Bath,13h ago,408 S Venice Blvd ,Los Angeles,CA, 90291,,
35,35,"$2,250",1 Bed,1 Bath,13h ago,11145 Landale St,Los Angeles,CA, 91602,,
36,36,"$2,672",1 Bed,1 Bath,13h ago,Wallace on SunsetOur team has verified this property6240 W Sunset Blvd,Los Angeles,CA, 90028,,
37,37,"$2,950",1 Bed,1 Bath,13h ago,1050 Wilshire Blvd ,Los Angeles,CA, 90017,,
38,38,"$4,080",1 Bed,1 Bath,13h ago,1027 Wilshire Blvd ,Los Angeles,CA, 90017,,
39,39,"$2,742",1 Bed,1 Bath,14h ago,The HesbyOur team has verified this property5031 Fair Ave,Los Angeles,CA, 91601,,
40,40,"$2,813",1 Bed,1 Bath,14h ago,Mariposa at Playa del ReyOur team has verified this property8700 Pershing Dr,Los Angeles,CA, 90293,,
41,41,"$2,240",1 Bed,1 Bath,14h ago,PegasusOur team has verified this property612 S Flower St,Los Angeles,CA, 90017,,
42,42,"$1,997",1 Bed,1 Bath,14h ago,The CleoOur team has verified this property345 S Alexandria Ave,Los Angeles,CA, 90020,,
43,43,"$2,395",1 Bed,1 Bath,14h ago,4221 Gateway Ave ,Los Angeles,CA, 90029,,
44,44,"$3,099",1 Bed,1 Bath,15h ago,KodoOur team has verified this property2867 Sunset Pl,Los Angeles,CA, 90005,,
45,45,"$2,126",1 Bed,1 Bath,17h ago,6530 Independence Ave,Los Angeles,CA, 91303,,
46,46,"$2,295",1 Bed,1 Bath,17h ago,4176 Arch Dr,Los Angeles,CA, 91604,,
47,47,"$2,804",1 Bed,1 Bath,18h ago,The HuxleyOur team has verified this property1234 N La Brea Ave,Los Angeles,CA, 90038,,
48,48,"$2,861",1 Bed,1 Bath,18h ago,Fountain Park at Playa VistaOur team has verified this property13141 Fountain Park Dr,Los Angeles,CA, 90094,,
49,49,"$2,481",1 Bed,1 Bath,18h ago,Academy VillageOur team has verified this property5225 Blakeslee Ave,Los Angeles,CA, 91601,,
50,50,"$2,200",1 Bed,1 Bath,18h ago,1844 & 1850 N HarvardOur team has verified this property1844 1844 & 1850 N Harvard Blvd.,Los Angeles,CA, 90027,,
51,51,"$2,200",1 Bed,1 Bath,19h ago,Hampshire PlaceOur team has verified this property501 S New Hampshire Ave,Los Angeles,CA, 90020,,
52,52,"$2,395",1 Bed,1 Bath,20h ago,Chase KnollsOur team has verified this property13401 Riverside Dr,Los Angeles,CA, 91423,,
