,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$3,775",1 Bed,1 Bath,1d ago,Sven LICOur team has verified this property2959 Northern Blvd,New York,NY, 11101,,
1,1,"$3,935",1 Bed,1 Bath,2d ago,Kips Bay CourtOur team has verified this property490 2nd Ave,New York,NY, 10016,,
2,2,"$4,400",1 Bed,1 Bath,2d ago,StuyTownOur team has verified this property252 First Avenue,New York,NY, 10009,,
3,3,"$3,675",1 Bed,1 Bath,11m ago,188 Green St ,New York,NY, 11222,,
4,4,"$3,375",1 Bed,1 Bath,12m ago,20 Avenue A ,New York,NY, 10009,,
5,5,"$4,684",1 Bed,1 Bath,3d ago,Peter Cooper VillageOur team has verified this property360 1st Ave,New York,NY, 10010,,
6,6,"$3,600",1 Bed,1 Bath,24m ago,Madison Ave & E 30th St ,New York,NY, 10016,,
7,7,"$3,295",1 Bed,1 Bath,31m ago,Lexington Ave & E 27th St,New York,NY, 10016,,
8,8,"$3,500",1 Bed,1 Bath,34m ago,York Ave & E 88th St ,New York,NY, 10128,,
9,9,"$4,250",1 Bed,1 Bath,42m ago,Park Ave & E 47th St ,New York,NY, 10171,,
10,10,"$3,400",1 Bed,1 Bath,43m ago,Ave A & E 2nd St ,New York,NY, 10009,,
11,11,"$4,728",1 Bed,1 Bath,2h ago,170 AmsterdamOur team has verified this property170 Amsterdam Ave,New York,NY, 10023,,
12,12,"$5,350",1 Bed,1 Bath,2h ago,Prism at Park Avenue SouthOur team has verified this property50 E 28th St,New York,NY, 10016,,
13,13,"$5,264",1 Bed,1 Bath,2h ago,175 KentOur team has verified this property175 Kent Ave,New York,NY, 11249,,
14,14,"$3,952",1 Bed,1 Bath,2h ago,The BrooklynerOur team has verified this property111 Lawrence St,New York,NY, 11201,,
15,15,"$3,714",1 Bed,1 Bath,2h ago,Parc EastOur team has verified this property240 E 27th St,New York,NY, 10016,,
16,16,"$4,800",1 Bed,1 Bath,3h ago,Hamilton Terrace & W 144th St ,New York,NY, 10031,,
17,17,"$4,400",1 Bed,1 Bath,3h ago,160 West 73rd Street,New York,NY, 10023,,
18,18,"$3,360",1 Bed,1 Bath,3h ago,The Greenpoint21 India St,New York,NY, 11222,,
