,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,700",1 Bed,1 Bath,5d+ ago,Icon ApartmentsOur team has verified this property400 S Jackson St,Seattle,WA, 98104,,
1,1,"$1,699",1 Bed,1 Bath,1d ago,Metropolitan ParkOur team has verified this property601 S Washington St,Seattle,WA, 98104,,
2,2,"$1,819",1 Bed,1 Bath,4d ago,Sentral SLUOur team has verified this property1212 Harrison St,Seattle,WA, 98109,,
3,3,"$2,649",1 Bed,1 Bath,1h ago,Rollin Street FlatsOur team has verified this property120 Westlake Ave N,Seattle,WA, 98109,,
4,4,"$2,117",1 Bed,1 Bath,7h ago,U Place ApartmentsOur team has verified this property4609 Union Bay Pl Ne,Seattle,WA, 98105,,
5,5,"$2,578",1 Bed,1 Bath,1h ago,MarloweOur team has verified this property1146 Harrison St,Seattle,WA, 98109,,
6,6,"$1,198",1 Bed,1 Bath,2d ago,100 on 6th ApartmentsOur team has verified this property100 6th Avenue South,Seattle,WA, 98104,,
7,7,"$2,848",1 Bed,1 Bath,1h ago,Ascent South Lake UnionOur team has verified this property1145 Republican St,Seattle,WA, 98109,,
8,8,"$1,675",1 Bed,1 Bath,1h ago,Lillehammer ApartmentsOur team has verified this property7016 15th Ave Nw,Seattle,WA, 98117,,
9,9,"$1,196",1 Bed,1 Bath,1h ago,The Savoy at Lake City - Senior Housing ApartmentsOur team has verified this property13730 Lake City Way Ne,Seattle,WA, 98125,,
10,10,"$2,159",1 Bed,1 Bath,1h ago,ELLIOTT BAYVIEW APARTMENTSOur team has verified this property151 John St,Seattle,WA, 98109,,
11,11,"$1,999",1 Bed,1 Bath,1h ago,Sedona 215 ApartmentsOur team has verified this property8500 20th Ave Ne,Seattle,WA, 98115,,
12,12,"$2,221",1 Bed,1 Bath,1h ago,Alexan 100Our team has verified this property100 Denny Way,Seattle,WA, 98109,,
13,13,"$1,875",1 Bed,1 Bath,1h ago,SaxtonOur team has verified this property520 Terry Ave,Seattle,WA, 98104,,
14,14,"$1,819",1 Bed,1 Bath,1h ago,OdinOur team has verified this property5398 Russell Ave Nw,Seattle,WA, 98107,,
15,15,"$1,590",1 Bed,1 Bath,2h ago,Beacon ViewOur team has verified this property1701 12th Ave S,Seattle,WA, 98144,,
16,16,"$1,899",1 Bed,1 Bath,2h ago,Mysa Apartment HomesOur team has verified this property3025 Ne 130th St,Seattle,WA, 98125,,
17,17,"$2,050",1 Bed,1 Bath,2h ago,O2Our team has verified this property2401 3rd Ave,Seattle,WA, 98121,,
