,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$3,100",1 Bed,1 Bath,1h ago,670 Massachusetts Ave ,Boston,MA, 02118,,
1,1,"$2,475",1 Bed,1 Bath,1h ago,36 N Bennet St ,Boston,MA, 02113,,
2,2,"$3,075",1 Bed,1 Bath,5h ago,Avalon North StationOur team has verified this property1 Nashua St,Boston,MA, 02114,,
3,3,"$4,580",1 Bed,1 Bath,5h ago,Avalon ExeterOur team has verified this property77 Exeter St,Boston,MA, 02116,,
4,4,"$1,700",1 Bed,1 Bath,5h ago,71 N Crescent Circuit ,Boston,MA, 02135,,
5,5,"$2,295",1 Bed,1 Bath,5h ago,Brainerd Rd ,Boston,MA, 02134,,
6,6,"$2,300",1 Bed,1 Bath,5h ago,Burbank St ,Boston,MA, 02115,,
7,7,"$2,976",1 Bed,1 Bath,6h ago,The Overlook at St. Gabriel'sOur team has verified this property175 Washington St,Boston,MA, 02135,,
8,8,"$2,400",1 Bed,1 Bath,7h ago,24 Norwood St ,Boston,MA, 02122,,
9,9,"$3,840",1 Bed,1 Bath,7h ago,One Back BayOur team has verified this property135 Clarendon St,Boston,MA, 02116,,
10,10,"$3,322",1 Bed,1 Bath,10h ago,The Alyx at EchelonSeaport131 Seaport Blvd,Boston,MA, 02210,,
11,11,"$3,130",1 Bed,1 Bath,10h ago,Avalon North Station121 Nashua St,Boston,MA, 02114,,
12,12,"$1,400",1 Bed,1 Bath,14h ago,70 Bremen St ,Boston,MA, 02128,,
13,13,"$2,870",1 Bed,1 Bath,14h ago,The Towers at LongfellowOur team has verified this property72 Staniford St,Boston,MA, 02114,,
14,14,"$3,130",1 Bed,1 Bath,19h ago,Troy BostonOur team has verified this property55 Traveler St,Boston,MA, 02118,,
15,15,"$4,215",1 Bed,1 Bath,19h ago,The HarrisOur team has verified this property390 Harrison Ave,Boston,MA, 02118,,
16,16,"$2,920",1 Bed,1 Bath,19h ago,Emerson PlaceOur team has verified this property1 Emerson Pl Apt 8n,Boston,MA, 02114,,
17,17,"$1,000",1 Bed,1 Bath,20h ago,21 Wall Street ,Boston,MA, 02129,,
