,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,000",1 Bed,1 Bath,1d ago,59twenty @ Monroe ApartmentsOur team has verified this property5920 Monroe Road,Charlotte,NC, 28212,,
1,1,"$1,100",1 Bed,1 Bath,5d+ ago,Tryon ForestOur team has verified this property411 Lambeth Drive,Charlotte,NC, 28213,,
2,2,"$1,100",1 Bed,1 Bath,4d ago,Crossing at Reedy CreekOur team has verified this property4400 John Penn Circle,Charlotte,NC, 28215,,
3,3,"$1,530",1 Bed,1 Bath,5h ago,IMT Ballantyne12600 District South Dr,Charlotte,NC, 28277,,
4,4,"$1,299",1 Bed,1 Bath,5h ago,Camden FoxcroftOur team has verified this property4612 Simsbury Rd,Charlotte,NC, 28226,,
5,5,"$1,499",1 Bed,1 Bath,5h ago,Camden DilworthOur team has verified this property1510 Scott Ave,Charlotte,NC, 28203,,
6,6,"$1,789",1 Bed,1 Bath,5h ago,Camden GrandviewOur team has verified this property309 E Morehead St,Charlotte,NC, 28202,,
7,7,"$1,389",1 Bed,1 Bath,5h ago,Camden BallantyneOur team has verified this property13901 Summit Commons Blvd,Charlotte,NC, 28277,,
8,8,"$2,049",1 Bed,1 Bath,5h ago,11240 Woolwich StOur team has verified this property11240 Woolwich St,Charlotte,NC, 28216,,
9,9,"$1,399",1 Bed,1 Bath,10h ago,Bexley Crossing At Providence Luxury Apartments11215 Club Creek Ln,Charlotte,NC, 28277,,
10,10,"$1,330",1 Bed,1 Bath,10h ago,Atkins Circle12506 Atkins Circle Dr,Charlotte,NC, 28277,,
11,11,"$1,403",1 Bed,1 Bath,10h ago,Heather Ridge8800 Meadow Vista Rd,Charlotte,NC, 28213,,
12,12,"$1,500",1 Bed,1 Bath,10h ago,NOVEL University Place5315 Waters Edge Village Dr,Charlotte,NC, 28262,,
13,13,"$1,940",1 Bed,1 Bath,10h ago,Bradham at New Bern Station145 New Bern St,Charlotte,NC, 28209,,
14,14,"$1,587",1 Bed,1 Bath,11h ago,The Ellis512 N College St,Charlotte,NC, 28202,,
15,15,"$1,537",1 Bed,1 Bath,11h ago,Cortland NoDaOur team has verified this property1700 N Brevard St,Charlotte,NC, 28206,,
16,16,"$1,867",1 Bed,1 Bath,12h ago,District FlatsOur team has verified this property1449 S Church St,Charlotte,NC, 28203,,
17,17,"$1,530",1 Bed,1 Bath,12h ago,Verde at McCullough Station8320 University Exec Park Dr,Charlotte,NC, 28262,,
18,18,"$1,545",1 Bed,1 Bath,12h ago,Cadence Music Factory606 N. Carolina Music Factory Blvd,Charlotte,NC, 28206,,
19,19,"$1,300",1 Bed,1 Bath,13h ago,7144 Bryce Ave ,Charlotte,NC, 28217,,
20,20,"$1,095",1 Bed,1 Bath,15h ago,Winslow ApartmentsOur team has verified this property7600 Antlers Ln,Charlotte,NC, 28210,,
21,21,"$1,435",1 Bed,1 Bath,20h ago,Link Apartments® Mint StreetOur team has verified this property1200 S Mint St,Charlotte,NC, 28203,,
22,22,"$1,464",1 Bed,1 Bath,20h ago,Montford at Madison Park ApartmentsOur team has verified this property1420 Estates Ave,Charlotte,NC, 28209,,
23,23,"$1,440",1 Bed,1 Bath,20h ago,Link Apartments® MontfordOur team has verified this property1615 Mockingbird Ln,Charlotte,NC, 28209,,
24,24,"$1,693",1 Bed,1 Bath,20h ago,The Bryant ApartmentsOur team has verified this property2020 Morton St,Charlotte,NC, 28208,,
25,25,"$1,180",1 Bed,1 Bath,20h ago,Elan at Mallard Creek Apartment HomesOur team has verified this property2305 New England St,Charlotte,NC, 28269,,
26,26,"$1,220",1 Bed,1 Bath,20h ago,Bridges at Mallard Creek Apartment HomesOur team has verified this property7916 Harris Hill Ln,Charlotte,NC, 28269,,
27,27,"$1,195",1 Bed,1 Bath,21h ago,The Landon ApartmentsOur team has verified this property8200 Riverbirch Dr,Charlotte,NC, 28210,,
28,28,"$1,228",1 Bed,1 Bath,1d ago,CityPark ViewOur team has verified this property1710 Piedmont Hills Pl,Charlotte,NC, 28217,,
29,29,"$1,491",1 Bed,1 Bath,1d ago,Cielo4943 Park Rd,Charlotte,NC, 28209,,
30,30,"$1,879",1 Bed,1 Bath,1d ago,2300 Village Lake DriveOur team has verified this property2300 Village Lake Dr,Charlotte,NC, 28212,,
31,31,"$2,059",1 Bed,1 Bath,1d ago,1606 Abbey PlaceOur team has verified this property1606 Abbey Pl ,Charlotte,NC, 28209,,
32,32,"$3,000",1 Bed,1 Bath,1d ago,1530 Hawthorne LnOur team has verified this property1530 Hawthorne Ln ,Charlotte,NC, 28205,,
33,33,"$3,200",1 Bed,1 Bath,1d ago,1017 Parkwood Ave Unit 1Our team has verified this property1017 Parkwood Ave Apt 1 ,Charlotte,NC, 28205,,
34,34,"$1,874",1 Bed,1 Bath,1d ago,905 Kenilworth AvenueOur team has verified this property905 Kenilworth Ave ,Charlotte,NC, 28204,,
35,35,"$2,169",1 Bed,1 Bath,1d ago,2322 Arbor Loop DrOur team has verified this propertyArbor Loop Dr,Charlotte,NC, 28217,,
36,36,"$1,885",1 Bed,1 Bath,1d ago,1351 E. Morehead StreetOur team has verified this property1351 E Morehead St ,Charlotte,NC, 28204,,
37,37,"$1,945",1 Bed,1 Bath,1d ago,15902 White StOur team has verified this property15902 White St,Charlotte,NC, 28278,,
38,38,"$1,827",1 Bed,1 Bath,1d ago,13625 Haven Ridge LaneOur team has verified this property13625 Haven Ridge Ln,Charlotte,NC, 28215,,
39,39,"$2,057",1 Bed,1 Bath,1d ago,7015 Skye Bridge WayOur team has verified this property7015 Skye Bridge Way ,Charlotte,NC, 28278,,
40,40,"$1,822",1 Bed,1 Bath,1d ago,1301 Ivy Meadow DriveOur team has verified this property1301 Ivy Meadow Dr ,Charlotte,NC, 28213,,
41,41,"$2,151",1 Bed,1 Bath,1d ago,126 New Bern StreetOur team has verified this property126 New Bern St ,Charlotte,NC, 28203,,
42,42,"$3,807",1 Bed,1 Bath,1d ago,215 North Pine StreetOur team has verified this property215 N Pine St ,Charlotte,NC, 28202,,
43,43,"$1,220",1 Bed,1 Bath,1d ago,AuroraOur team has verified this property1425 Eastcrest Dr,Charlotte,NC, 28205,,
44,44,"$1,025",1 Bed,1 Bath,1d ago,The Tatum ApartmentsOur team has verified this property6619 Yateswood Dr,Charlotte,NC, 28212,,
45,45,"$1,387",1 Bed,1 Bath,1d ago,The Addison Eighty508050 Lapis Ln Nw,Charlotte,NC, 28262,,
46,46,"$1,546",1 Bed,1 Bath,1d ago,Mallard Glen2002 Laysan Teal Ln,Charlotte,NC, 28262,,
47,47,"$1,275",1 Bed,1 Bath,1d ago,715 N Church St ,Charlotte,NC, 28202,,
48,48,"$1,592",1 Bed,1 Bath,1d ago,Gateway West902 W 4th St,Charlotte,NC, 28202,,
49,49,"$1,357",1 Bed,1 Bath,1d ago,SouthPark Morrison721 Governor Morrison St,Charlotte,NC, 28211,,
50,50,"$1,684",1 Bed,1 Bath,1d ago,Cortland Mallard Creek500 Solano Dr,Charlotte,NC, 28262,,
51,51,"$1,397",1 Bed,1 Bath,1d ago,The MadisonOur team has verified this property7815 Calibre Crossing Dr,Charlotte,NC, 28227,,
52,52,"$2,056",1 Bed,1 Bath,1d ago,Element Southpark4425 Sharon Rd,Charlotte,NC, 28211,,
53,53,"$1,664",1 Bed,1 Bath,1d ago,Savoy (NC)650 E Brooklyn Village Ave,Charlotte,NC, 28202,,
54,54,"$1,359",1 Bed,1 Bath,1d ago,Camden StonecrestOur team has verified this property8620 Bella Reese Rd,Charlotte,NC, 28277,,
55,55,"$1,366",1 Bed,1 Bath,1d ago,SouthPark Morrison721 GOV MORRISON ST,,Ch,arlott,,
56,56,"$1,125",1 Bed,1 Bath,1d ago,Charlotte 360Our team has verified this property2930 Tacoma St.,Charlotte,NC, 28208,,
