,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,010",1 Bed,1 Bath,2d ago,Whispering OaksOur team has verified this property4314 Dresden St,Columbus,OH, 43224,,
1,1,"$1,225",1 Bed,1 Bath,2h ago,The Reach Apartments644 Chlois Ln,Columbus,OH, 43215,,
2,2,"$2,450",1 Bed,1 Bath,5h ago,1079 N High StreetOur team has verified this property1079 N High St ,Columbus,OH, 43201,,
3,3,"$1,847",1 Bed,1 Bath,5h ago,2980 Mark Andrew DriveOur team has verified this property2980 Mark Andrew Dr,Columbus,OH, 43017,,
4,4,"$1,359",1 Bed,1 Bath,10h ago,250 High250 S High St,Columbus,OH, 43215,,
5,5,"$1,514",1 Bed,1 Bath,10h ago,The City Apartments2875 Olentangy River Rd,Columbus,OH, 43202,,
6,6,"$1,295",1 Bed,1 Bath,15h ago,JeromeOur team has verified this property1025 Dennison Ave,Columbus,OH, 43201,,
7,7,"$1,125",1 Bed,1 Bath,18h ago,River Oaks2299 River Oaks Dr,Columbus,OH, 43228,,
8,8,"$1,257",1 Bed,1 Bath,1d ago,Jeffrey Park Apartments233 E 1st Ave,Columbus,OH, 43215,,
9,9,"$1,728",1 Bed,1 Bath,1d ago,5199 Edwards Farms Rd.Our team has verified this property5199 Edwards Farms Rd,Columbus,OH, 43221,,
10,10,"$1,925",1 Bed,1 Bath,1d ago,5300 Riverside DrOur team has verified this property5300 Riverside Dr ,Columbus,OH, 43220,,
11,11,"$1,635",1 Bed,1 Bath,1d ago,6340 Saddler WayOur team has verified this property6340 Saddler Way,Columbus,OH, 43110,,
12,12,"$1,902",1 Bed,1 Bath,1d ago,3691 Albany Chase RoadOur team has verified this property3691 Albany Chase ,Columbus,OH, 43230,,
13,13,"$1,859",1 Bed,1 Bath,1d ago,850 Polaris Grand Dr.Our team has verified this property850 Polaris Grand Dr ,Columbus,OH, 43035,,
14,14,"$1,005",1 Bed,1 Bath,1d ago,Morse Glen4426 Calderwood Dr,Columbus,OH, 43231,,
15,15,"$1,200",1 Bed,1 Bath,1d ago,24 W. TULANE RD.24 W Tulane Rd,Columbus,OH, 43202,,
16,16,"$1,029",1 Bed,1 Bath,1d ago,HQ Flats6249 Walton Breck Way,Columbus,OH, 43081,,
17,17,"$1,225",1 Bed,1 Bath,1d ago,Grant Park1298 N Grant Ave Apt 105,Columbus,OH, 43201,,
18,18,"$1,290",1 Bed,1 Bath,1d ago,Hanover Park2900 Angelo Joseph Ln,Columbus,OH, 43204,,
19,19,"$1,179",1 Bed,1 Bath,1d ago,Industry Columbus Apartments230 E Long St,Columbus,OH, 43215,,
20,20,"$1,227",1 Bed,1 Bath,1d ago,Strathmoor5541 Bowland Pl N,Columbus,OH, 43016,,
21,21,"$1,080",1 Bed,1 Bath,1d ago,The Bradford at Easton Apartments4150 Silver Springs Ln,Columbus,OH, 43230,,
22,22,"$1,065",1 Bed,1 Bath,1d ago,Central Park Apartments105 Radio City Blvd,Columbus,OH, 43235,,
23,23,"$2,400",1 Bed,1 Bath,2d ago,750 E. Broad StOur team has verified this property750 E Broad St,Columbus,OH, 43205,,
24,24,"$1,199",1 Bed,1 Bath,2d ago,Ravines at Rocky RidgeOur team has verified this property5700 Rocky Ridge Landings Dr,Columbus,OH, 43081,,
25,25,"$1,228",1 Bed,1 Bath,2d ago,The Highlands2330 Sawmill Place Blvd,Columbus,OH, 43235,,
