,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,855",1 Bed,1 Bath,2d ago,The Village DreyOur team has verified this property8200 Southwestern Blvd,Dallas,TX, 75206,,
1,1,"$1,565",1 Bed,1 Bath,5d+ ago,The Village DallasOur team has verified this property5605 Village Glen Drive,Dallas,TX, 75206,,
2,2,"$1,205",1 Bed,1 Bath,4h ago,Alena ApartmentsOur team has verified this property7050 Arapaho Rd,Dallas,TX, 75248,,
3,3,"$1,395",1 Bed,1 Bath,4h ago,The Lucas ApartmentsOur team has verified this property2924 Lucas Dr,Dallas,TX, 75219,,
4,4,"$1,565",1 Bed,1 Bath,4h ago,IMT Prestonwood15480 Dallas Pkwy,Dallas,TX, 75248,,
5,5,"$1,096",1 Bed,1 Bath,4h ago,The Continental1810 Commerce St,Dallas,TX, 75201,,
6,6,"$1,030",1 Bed,1 Bath,4h ago,The Merc1800 Main St,Dallas,TX, 75201,,
7,7,"$1,114",1 Bed,1 Bath,4h ago,The Element1800 Main St,Dallas,TX, 75201,,
8,8,"$1,728",1 Bed,1 Bath,5h ago,18665 Midway RdOur team has verified this property18665 Midway Rd ,Dallas,TX, 75287,,
9,9,"$1,192",1 Bed,1 Bath,5h ago,Lexington Apartment HomesOur team has verified this property5426 Meadowcreek Dr,Dallas,TX, 75248,,
10,10,"$1,079",1 Bed,1 Bath,8h ago,The Loren ApartmentsOur team has verified this property5414 Cedar Springs Rd,Dallas,TX, 75235,,
11,11,"$1,019",1 Bed,1 Bath,8h ago,The Sophia ApartmentsOur team has verified this property3136 Hudnall St,Dallas,TX, 75235,,
12,12,"$1,105",1 Bed,1 Bath,8h ago,CenterpointOur team has verified this property2626 Frankford Road,Dallas,TX, 75287,,
13,13,"$1,674",1 Bed,1 Bath,10h ago,Preston Hollow Village Apartments7775 Firefall Way,Dallas,TX, 75230,,
14,14,"$1,495",1 Bed,1 Bath,11h ago,Fully renovated 9 unit eclectic building nestled in the heart of old East Dallas.4912 Gaston Ave,Dallas,TX, 75214,,
15,15,"$1,250",1 Bed,1 Bath,11h ago,907 N. Beacon St.907 N Beacon St,Dallas,TX, 75214,,
16,16,"$1,080",1 Bed,1 Bath,11h ago,Tides on McCallum NorthOur team has verified this property7760 Mccallum Blvd,Dallas,TX, 75252,,
17,17,"$1,636",1 Bed,1 Bath,12h ago,Manchester State Thomas - UAT3010 State St,Dallas,TX, 75204,,
18,18,"$1,709",1 Bed,1 Bath,12h ago,Camden Victory ParkOur team has verified this property2787 N Houston St,Dallas,TX, 75219,,
19,19,"$1,435",1 Bed,1 Bath,14h ago,Indie Deep EllumOur team has verified this property2900 Canton St,Dallas,TX, 75226,,
20,20,"$1,648",1 Bed,1 Bath,18h ago,Essence on MapleOur team has verified this property2626 Throckmorton St,Dallas,TX, 75219,,
21,21,"$1,823",1 Bed,1 Bath,18h ago,Riviera at West Village3530 Travis St,Dallas,TX, 75204,,
22,22,"$1,039",1 Bed,1 Bath,18h ago,Prime at Lake Highlands9727 Whitehurst Dr,Dallas,TX, 75243,,
23,23,"$1,145",1 Bed,1 Bath,18h ago,Cedar GlenOur team has verified this property6363 W Camp Wisdom Rd,Dallas,TX, 75236,,
24,24,"$2,047",1 Bed,1 Bath,19h ago,Pavilion Townplace ApartmentsOur team has verified this property7700 Greenway Blvd,Dallas,TX, 75209,,
25,25,"$1,385",1 Bed,1 Bath,20h ago,Cornell MidtownOur team has verified this property13001 Cornell Dr,Dallas,TX, 75240,,
26,26,"$1,290",1 Bed,1 Bath,20h ago,Crest at Park CentralOur team has verified this property7929 Churchill Way,Dallas,TX, 75251,,
27,27,"$1,306",1 Bed,1 Bath,20h ago,Churchill on the ParkOur team has verified this property7601 Churchill Way,Dallas,TX, 75251,,
28,28,"$1,740",1 Bed,1 Bath,20h ago,State Thomas RavelloOur team has verified this property2610 Allen St,Dallas,TX, 75204,,
29,29,"$1,450",1 Bed,1 Bath,20h ago,Park 5940 MDOur team has verified this property5940 Forest Park Rd,Dallas,TX, 75235,,
30,30,"$1,475",1 Bed,1 Bath,20h ago,Gables Turtle Creek CityplaceOur team has verified this property3711 Cole Ave,Dallas,TX, 75204,,
31,31,"$1,548",1 Bed,1 Bath,20h ago,Bell Knox DistrictOur team has verified this property3030 Hester Ave,Dallas,TX, 75205,,
32,32,"$1,509",1 Bed,1 Bath,20h ago,Berkshire AuburnOur team has verified this property5515 Arapaho Rd,Dallas,TX, 75248,,
33,33,"$1,295",1 Bed,1 Bath,21h ago,The VincentOur team has verified this property4607 Timberglen Rd,Dallas,TX, 75287,,
34,34,"$2,405",1 Bed,1 Bath,21h ago,The ChristopherOur team has verified this property2323 N Akard St,Dallas,TX, 75201,,
