,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,730",1 Bed,1 Bath,3d ago,The Seasons of Cherry CreekOur team has verified this property3498 E Ellsworth Ave,Denver,CO, 80209,,
1,1,"$1,299",1 Bed,1 Bath,2d ago,The Collective GlendaleOur team has verified this property1250 South Clermont Street,Denver,CO, 80246,,
2,2,"$1,424",1 Bed,1 Bath,4d ago,Albion ApartmentsOur team has verified this property1410 Albion St,Denver,CO, 80220,,
3,3,"$1,250",1 Bed,1 Bath,50m ago,1602 FranklinOur team has verified this property1602 N Franklin St,Denver,CO, 80218,,
4,4,"$2,750",1 Bed,1 Bath,1h ago,1650 Fillmore St,Denver,CO, 80206,,
5,5,"$1,988",1 Bed,1 Bath,2h ago,AMLI Riverfront Park1900 Little Raven St,Denver,CO, 80202,,
6,6,"$2,360",1 Bed,1 Bath,2h ago,1586 Hooker St ,Denver,CO, 80204,,
7,7,"$1,784",1 Bed,1 Bath,4h ago,Edison At RinoOur team has verified this property3063 Brighton Blvd,Denver,CO, 80216,,
8,8,"$1,825",1 Bed,1 Bath,5h ago,IMT At City Park1600 Fillmore St,Denver,CO, 80206,,
9,9,"$2,200",1 Bed,1 Bath,7h ago,850 Dexter St.850 Dexter St,Denver,CO, 80220,,
10,10,"$1,610",1 Bed,1 Bath,10h ago,STRATA16505 Green Valley Ranch Blvd,Denver,CO, 80239,,
11,11,"$1,805",1 Bed,1 Bath,10h ago,Cadence at Union Station1920 17th St,Denver,CO, 80202,,
12,12,"$1,917",1 Bed,1 Bath,10h ago,The York On City Park1781 York St,Denver,CO, 80206,,
13,13,"$1,295",1 Bed,1 Bath,11h ago,4444 W 13th Ave4444 W 13th Ave,Denver,CO, 80204,,
14,14,"$2,140",1 Bed,1 Bath,13h ago,1113 E 14th Ave ,Denver,CO, 80218,,
15,15,"$1,375",1 Bed,1 Bath,18h ago,1436 Irving St,Denver,CO, 80204,,
16,16,"$1,916",1 Bed,1 Bath,18h ago,Sentral Union StationOur team has verified this property1777 Wewatta St,Denver,CO, 80202,,
17,17,"$1,775",1 Bed,1 Bath,20h ago,Hangar 61 at Pena StationOur team has verified this property18025 E 61st Ave,Denver,CO, 80249,,
18,18,"$1,578",1 Bed,1 Bath,20h ago,The HavenOur team has verified this property18400 E Elmendorf Dr,Denver,CO, 80249,,
19,19,"$1,696",1 Bed,1 Bath,20h ago,HeliosOur team has verified this property7901 E Belleview Ave,Denver,CO, 80111,,
20,20,"$1,862",1 Bed,1 Bath,20h ago,20th Street StationOur team has verified this property2080 California St,Denver,CO, 80205,,
21,21,"$1,997",1 Bed,1 Bath,20h ago,Residences at Market StationOur team has verified this property1661 Market St,Denver,CO, 80202,,
22,22,"$1,335",1 Bed,1 Bath,20h ago,Fountainhead ApartmentsOur team has verified this property1290 N Washington St,Denver,CO, 80203,,
23,23,"$1,125",1 Bed,1 Bath,20h ago,East Evans AptsOur team has verified this property2375 E Evans Ave,Denver,CO, 80210,,
24,24,"$1,725",1 Bed,1 Bath,20h ago,Encore at Boulevard OneOur team has verified this property7108 E Lowry Blvd,Denver,CO, 80230,,
25,25,"$1,247",1 Bed,1 Bath,20h ago,Uptown Square Apartment HomesOur team has verified this property1950 N Pennsylvania St,Denver,CO, 80203,,
26,26,"$1,630",1 Bed,1 Bath,20h ago,1375 HighOur team has verified this property1375 N High St,Denver,CO, 80218,,
27,27,"$1,395",1 Bed,1 Bath,20h ago,The PatricianOur team has verified this property1075 N Corona St,Denver,CO, 80218,,
28,28,"$2,326",1 Bed,1 Bath,20h ago,1101 Country Club Towers II & IIIOur team has verified this property1101 E Bayaud Ave,Denver,CO, 80209,,
29,29,"$1,684",1 Bed,1 Bath,20h ago,Country Club Towers And GardensOur team has verified this property1001 E Bayaud Ave,Denver,CO, 80209,,
30,30,"$1,265",1 Bed,1 Bath,20h ago,Corona Court ApartmentsOur team has verified this property1086 N Corona St,Denver,CO, 80218,,
31,31,"$1,999",1 Bed,1 Bath,21h ago,The VictorOur team has verified this property1790 Gaylord St,Denver,CO, 80206,,
