,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,025",1 Bed,1 Bath,11h ago,512 West Grand Boulevard512 W Grand Blvd,Detroit,MI, 48216,,
1,1,"$1,345",1 Bed,1 Bath,13h ago,Renaissance City Club Apartments555 Brush St,Detroit,MI, 48226,,
2,2,"$1,343",1 Bed,1 Bath,1d ago,Cathedral Tower Apartments80 E Hancock St,Detroit,MI, 48201,,
3,3,"$2,100",1 Bed,1 Bath,1d ago,1214 Griswold StOur team has verified this property1214 Griswold St ,Detroit,MI, 48226,,
4,4,"$2,222",1 Bed,1 Bath,1d ago,229 Orleans StreetOur team has verified this property229 Orleans St,Detroit,MI, 48207,,
5,5,"$1,390",1 Bed,1 Bath,1d ago,Riverfront Towers250 Riverfront Dr,Detroit,MI, 48226,,
6,6,"$1,540",1 Bed,1 Bath,1d ago,The Kahn7430 2nd Ave,Detroit,MI, 48202,,
7,7,"$1,350",1 Bed,1 Bath,1d ago,1602-1721 Bagley St1602 Bagley St,Detroit,MI, 48216,,
8,8,"$2,280",1 Bed,1 Bath,1d ago,Detroit Flex-Lease/Furnished - The Griswold150 Michigan Ave,Detroit,MI, 48226,,
9,9,"$1,590",1 Bed,1 Bath,1d ago,City Club Apartments CBD Detroit313 Park Ave,Detroit,MI, 48226,,
10,10,"$1,545",1 Bed,1 Bath,1d ago,The Alexandrine664 W Alexandrine St,Detroit,MI, 48201,,
11,11,"$1,500",1 Bed,1 Bath,1d ago,6533 E Jefferson Ave,Detroit,MI, 48207,,
12,12,"$1,175",1 Bed,1 Bath,1d ago,The Brentwood487 Prentis St,Detroit,MI, 48201,,
13,13,"$1,550",1 Bed,1 Bath,1d ago,Studio One Apartments4501 Woodward Ave,Detroit,MI, 48201,,
14,14,"$1,995",1 Bed,1 Bath,2d ago,Lafayette West900 Antietam Ave,Detroit,MI, 48207,,
15,15,"$1,280",1 Bed,1 Bath,2d ago,Detroit City Club ApartmentsOur team has verified this property1431 Washington Blvd,Detroit,MI, 48226,,
16,16,"$1,405",1 Bed,1 Bath,2d ago,Lofts of Merchants RowOur team has verified this property1247 Woodward Ave,Detroit,MI, 48226,,
17,17,"$1,050",1 Bed,1 Bath,3d ago,The Keyes665 W Willis St,Detroit,MI, 48201,,
18,18,"$1,195",1 Bed,1 Bath,3d ago,The Willis675 W Willis St,Detroit,MI, 48201,,
19,19,"$1,195",1 Bed,1 Bath,3d ago,741 Seward St741 Seward St,Detroit,MI, 48202,,
20,20,"$1,596",1 Bed,1 Bath,3d ago,The Boulevard2911 W Grand Blvd,Detroit,MI, 48202,,
21,21,"$2,005",1 Bed,1 Bath,3d ago,The Griswold1117 Griswold St,Detroit,MI, 48226,,
22,22,"$1,585",1 Bed,1 Bath,3d ago,The Kales BuildingOur team has verified this property76 W Adams Ave,Detroit,MI, 48226,,
23,23,"$1,495",1 Bed,1 Bath,4d ago,2857 E Grand Blvd2857 E Grand Blvd,Detroit,MI, 48202,,
24,24,"$1,695",1 Bed,1 Bath,5d+ ago,Detroit Savings Bank1212 Griswold St,Detroit,MI, 48226,,
25,25,"$1,200",1 Bed,1 Bath,5d+ ago,7409 2nd Ave ,Detroit,MI, 48202,,
26,26,"$1,250",1 Bed,1 Bath,5d+ ago,Beach Club Detroit | Waterfront ApartmentsOur team has verified this property7700 E Jefferson Ave,Detroit,MI, 48214,,
27,27,"$1,650",1 Bed,1 Bath,5d+ ago,The Scott at Brush Park3150 Woodward Ave,Detroit,MI, 48201,,
28,28,"$1,250",1 Bed,1 Bath,5d+ ago,City Club Apartments Lafayette Park750 Chene St,Detroit,MI, 48207,,
29,29,"$1,200",1 Bed,1 Bath,5d+ ago,Sheridan Court4417 2nd Ave,Detroit,MI, 48201,,
30,30,"$1,550",1 Bed,1 Bath,5d+ ago,15 E Kirby St ,Detroit,MI, 48202,,
31,31,"$2,500",1 Bed,1 Bath,5d+ ago,2614 Riopelle St ,Detroit,MI, 48207,,
32,32,"$2,100",1 Bed,1 Bath,5d+ ago,78 Watson St ,Detroit,MI, 48201,,
33,33,"$1,675",1 Bed,1 Bath,5d+ ago,Spinnaker Ln ,Detroit,MI, 48207,,
34,34,"$1,339",1 Bed,1 Bath,5d+ ago,Wabash Flats2072 Wabash St,Detroit,MI, 48216,,
35,35,"$1,000",1 Bed,1 Bath,5d+ ago,703 Parker St703 Parker St,Detroit,MI, 48214,,
36,36,"$1,315",1 Bed,1 Bath,5d+ ago,The Charlotte Apartments624 Charlotte St,Detroit,MI, 48201,,
37,37,"$1,270",1 Bed,1 Bath,5d+ ago,The Brainard Apartments484 Brainard St,Detroit,MI, 48201,,
38,38,"$1,575",1 Bed,1 Bath,5d+ ago,715 Parker Street715 Parker St,Detroit,MI, 48214,,
39,39,"$1,095",1 Bed,1 Bath,5d+ ago,11018 Hayes St.11018 Hayes St,Detroit,MI, 48213,,
40,40,"$1,080",1 Bed,1 Bath,5d+ ago,4437 Avery St4437 Avery St,Detroit,MI, 48208,,
41,41,"$3,150",1 Bed,1 Bath,5d+ ago,Detroit Flex-Lease/Furnished @ Briggs Houze114 W Adams Ave,Detroit,MI, 48226,,
42,42,"$2,670",1 Bed,1 Bath,5d+ ago,Furnished/Turnkey/Flex-Lease Detroit/Suburbs (GSA)1 Washington Blvd,Detroit,MI, 48226,,
43,43,"$1,033",1 Bed,1 Bath,5d+ ago,River Towers Senior Apartments7800 E Jefferson Ave,Detroit,MI, 48214,,
44,44,"$2,980",1 Bed,1 Bath,5d+ ago,Detroit Flex-Lease/Furnished @ Broderick Tower10 Witherell St,Detroit,MI, 48226,,
45,45,"$1,195",1 Bed,1 Bath,5d+ ago,Central Park Apartments621 Orleans St,Detroit,MI, 48207,,
46,46,"$1,350",1 Bed,1 Bath,5d+ ago,8845 E Jefferson Ave,Detroit,MI, 48214,,
47,47,"$1,650",1 Bed,1 Bath,5d+ ago,Branch Lofts1400 Michigan Ave,Detroit,MI, 48216,,
48,48,"$1,395",1 Bed,1 Bath,5d+ ago,8200 East Jefferson Avenue ,Detroit,MI, 48214,,
49,49,"$1,200",1 Bed,1 Bath,5d+ ago,Wellesley Apartments651 W Hancock St,Detroit,MI, 48201,,
50,50,"$1,215",1 Bed,1 Bath,5d+ ago,St. Regis House Apartments3075 W Grand Blvd,Detroit,MI, 48202,,
51,51,"$1,200",1 Bed,1 Bath,5d+ ago,27 E Willis St ,Detroit,MI, 48201,,
52,52,"$1,100",1 Bed,1 Bath,5d+ ago,2900 E Jefferson Ave ,Detroit,MI, 48207,,
53,53,"$1,300",1 Bed,1 Bath,5d+ ago,1538 Centre St ,Detroit,MI, 48226,,
54,54,"$1,050",1 Bed,1 Bath,5d+ ago,9226 Kercheval Avenue9226 Kercheval St,Detroit,MI, 48214,,
55,55,"$1,957",1 Bed,1 Bath,5d+ ago,70 W Alexandrine St ,Detroit,MI, 48201,,
56,56,"$1,025",1 Bed,1 Bath,5d+ ago,2024 Hubbard Street2024 Hubbard St,Detroit,MI, 48209,,
57,57,"$1,100",1 Bed,1 Bath,5d+ ago,885 Covington Dr,Detroit,MI, 48203,,
58,58,"$1,025",1 Bed,1 Bath,5d+ ago,17513 Manderson Rd ,Detroit,MI, 48203,,
59,59,"$1,095",1 Bed,1 Bath,5d+ ago,17765 Manderson Rd,Detroit,MI, 48203,,
60,60,"$1,025",1 Bed,1 Bath,5d+ ago,Heather Hall3444 2nd Ave,Detroit,MI, 48201,,
