,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,804",1 Bed,1 Bath,5h ago,150 W. CastellanoOur team has verified this property150 W Castellano Dr ,El Paso,TX, 79912,,
1,1,"$1,089",1 Bed,1 Bath,20h ago,The CrestOur team has verified this property345 Shadow Mountain Dr,El Paso,TX, 79912,,
2,2,"$2,107",1 Bed,1 Bath,1d ago,465 Castellano DriveOur team has verified this property465 W Castellano Dr ,El Paso,TX, 79912,,
3,3,"$1,733",1 Bed,1 Bath,1d ago,140 W. CastellanoOur team has verified this property140 W Castellano Dr ,El Paso,TX, 79912,,
4,4,"$1,200",1 Bed,1 Bath,2d ago,5158 Garry OwenOur team has verified this property5158 Garry Owen Rd,El Paso,TX, 79903,,
5,5,"$1,300",1 Bed,1 Bath,5d+ ago,1715 & 1717 N. Stanton1715 1715 & 1717 N. Stanton,El Paso,TX, 79902,,
6,6,"$1,129",1 Bed,1 Bath,5d+ ago,Acacia Park Apts.Our team has verified this property5848 Acacia Cir,El Paso,TX, 79912,,
7,7,"$1,250",1 Bed,1 Bath,5d+ ago,Retreat at Horizon Hills141 Nonap Rd,El Paso,TX, 79928,,
8,8,"$1,100",1 Bed,1 Bath,5d+ ago,2612 San Jose Ave ,El Paso,TX, 79930,,
9,9,"$1,315",1 Bed,1 Bath,5d+ ago,1325 Northwestern Dr,El Paso,TX, 79912,,
10,10,"$1,700",1 Bed,1 Bath,5d+ ago,11400 Edgemere Blvd ,El Paso,TX, 79936,,
