,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,300",1 Bed,1 Bath,2h ago,Bluestem Village10401 N Riverside Dr,Fort Worth,TX, 76244,,
1,1,"$1,324",1 Bed,1 Bath,2h ago,Lake Pointe6111 N Beach St,Fort Worth,TX, 76137,,
2,2,"$1,375",1 Bed,1 Bath,4h ago,Shelby at NorthsideOur team has verified this property1852 E Northside Dr,Fort Worth,TX, 76106,,
3,3,"$1,372",1 Bed,1 Bath,5h ago,The Cooper1001 W Rosedale St,Fort Worth,TX, 76104,,
4,4,"$1,684",1 Bed,1 Bath,5h ago,The Braden on FifthOur team has verified this property500 Energy Way,Fort Worth,TX, 76102,,
5,5,"$1,372",1 Bed,1 Bath,12h ago,The Davis4328 Centreport Dr,Fort Worth,TX, 76155,,
6,6,"$1,321",1 Bed,1 Bath,18h ago,Alleia at PresidioOur team has verified this property2028 Presidio Vista Dr,Fort Worth,TX, 76177,,
7,7,"$1,280",1 Bed,1 Bath,20h ago,The Canyons ApartmentsOur team has verified this property2751 River Park Dr,Fort Worth,TX, 76116,,
8,8,"$1,228",1 Bed,1 Bath,21h ago,The Legends at Eagle Mountain LakeOur team has verified this property9685 Boat Club Rd,Fort Worth,TX, 76179,,
9,9,"$1,410",1 Bed,1 Bath,1d ago,Monterra Village8301 Monterra Blvd,Fort Worth,TX, 76177,,
10,10,"$1,234",1 Bed,1 Bath,1d ago,Eagle's PointOur team has verified this property8301 Boat Club Rd,Fort Worth,TX, 76179,,
11,11,"$2,131",1 Bed,1 Bath,1d ago,2726 Mercedes AveOur team has verified this property2726 Mercedes Ave ,Fort Worth,TX, 76107,,
12,12,"$2,066",1 Bed,1 Bath,1d ago,5270 Bryant Irvin RoadOur team has verified this property5270 Bryant Irvin Rd ,Fort Worth,TX, 76132,,
13,13,"$2,095",1 Bed,1 Bath,1d ago,315 W Magnolia Ave.Our team has verified this property315 W Magnolia Ave ,Fort Worth,TX, 76104,,
14,14,"$1,759",1 Bed,1 Bath,1d ago,2501 Oak Hill CirOur team has verified this property2501 Oak Hill Cir ,Fort Worth,TX, 76109,,
15,15,"$1,030",1 Bed,1 Bath,1d ago,6608 South Freeway6608 South Fwy,Fort Worth,TX, 76134,,
16,16,"$1,295",1 Bed,1 Bath,1d ago,Tallgrass Village3350 Amador Rd,Fort Worth,TX, 76177,,
17,17,"$1,340",1 Bed,1 Bath,1d ago,Artisan Village8032 Monterra Blvd,Fort Worth,TX, 76177,,
18,18,"$1,066",1 Bed,1 Bath,1d ago,Westmount at River ParkOur team has verified this property3309 Riveroad Ct,Fort Worth,TX, 76116,,
19,19,"$1,150",1 Bed,1 Bath,1d ago,1006 Samuels Ave ,Fort Worth,TX, 76102,,
20,20,"$1,314",1 Bed,1 Bath,1d ago,The Fitzroy Village CreekOur team has verified this property200 Village Creek Pkwy,Fort Worth,TX, 76028,,
21,21,"$1,351",1 Bed,1 Bath,1d ago,Atlas Waterside3964 Watercourse Dr,Fort Worth,TX, 76109,,
22,22,"$1,747",1 Bed,1 Bath,1d ago,Waterchase Gardens Apartments8750 Winding Ln,Fort Worth,TX, 76120,,
23,23,"$1,021",1 Bed,1 Bath,1d ago,The Hub at Chisholm Trail6401 Hulen Bend Blvd,Fort Worth,TX, 76132,,
24,24,"$1,308",1 Bed,1 Bath,1d ago,Trinity Bell Gardens Apartments9500 Trinity Blvd,Fort Worth,TX, 76118,,
25,25,"$1,387",1 Bed,1 Bath,2d ago,Cortland Riverside6032 Travertine Ln,Fort Worth,TX, 76137,,
26,26,"$1,918",1 Bed,1 Bath,2d ago,900 Matisse DriveOur team has verified this property900 Matisse Dr ,Fort Worth,TX, 76107,,
27,27,"$1,744",1 Bed,1 Bath,2d ago,The Kelton at ClearforkOur team has verified this property4945 Gage Ave,Fort Worth,TX, 76109,,
