,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,000",1 Bed,1 Bath,2h ago,Broadstone at Briar ForestOur team has verified this property2215 Avenida La Quinta St,Houston,TX, 77077,,
1,1,"$1,614",1 Bed,1 Bath,2h ago,Elan Memorial Park920 Westcott St,Houston,TX, 77007,,
2,2,"$1,347",1 Bed,1 Bath,2h ago,Domain West611 Dairy Ashford Rd,Houston,TX, 77079,,
3,3,"$1,579",1 Bed,1 Bath,4h ago,State StreetOur team has verified this property1520 N Memorial Way,Houston,TX, 77007,,
4,4,"$2,050",1 Bed,1 Bath,4h ago,The Belle Meade at River Oaks2929 Westheimer Rd,Houston,TX, 77098,,
5,5,"$1,171",1 Bed,1 Bath,4h ago,22Hundred2200 N Sam Houston Pkwy E,Houston,TX, 77032,,
6,6,"$1,439",1 Bed,1 Bath,4h ago,Camden HeightsOur team has verified this property404 Oxford St,Houston,TX, 77007,,
7,7,"$1,319",1 Bed,1 Bath,4h ago,Camden Royal Oaks IOur team has verified this property11805 Meadowglen Ln,Houston,TX, 77082,,
8,8,"$1,968",1 Bed,1 Bath,5h ago,2525 CityWest BlvdOur team has verified this property2525 Citywest Blvd ,Houston,TX, 77042,,
9,9,"$2,036",1 Bed,1 Bath,5h ago,3810 Law StreetOur team has verified this property3810 Law St ,Houston,TX, 77005,,
10,10,"$1,729",1 Bed,1 Bath,5h ago,Vantage Med CenterOur team has verified this property1911 Holcombe Blvd,Houston,TX, 77030,,
11,11,"$2,204",1 Bed,1 Bath,5h ago,Montrose at Buffalo BayouOur team has verified this property1320 Montrose Blvd,Houston,TX, 77019,,
12,12,"$2,066",1 Bed,1 Bath,5h ago,Hanover MontroseOur team has verified this property3400 Montrose Blvd,Houston,TX, 77006,,
13,13,"$1,670",1 Bed,1 Bath,6h ago,Modera WashingtonOur team has verified this property2520 Washington Ave,Houston,TX, 77007,,
14,14,"$1,529",1 Bed,1 Bath,7h ago,The Lofts at City Centre12808 Queensbury Ln,Houston,TX, 77024,,
15,15,"$1,984",1 Bed,1 Bath,10h ago,Drewery Place2850 Fannin St,Houston,TX, 77002,,
16,16,"$1,304",1 Bed,1 Bath,10h ago,Arlo Memorial935 N Wilcrest Dr,Houston,TX, 77079,,
17,17,"$1,239",1 Bed,1 Bath,10h ago,Camden VanderbiltOur team has verified this property7171 Buffalo Speedway,Houston,TX, 77025,,
18,18,"$1,441",1 Bed,1 Bath,11h ago,3550 Main St3550 Main St,Houston,TX, 77002,,
19,19,"$1,370",1 Bed,1 Bath,11h ago,2221 W Dallas St2221 W Dallas St,Houston,TX, 77019,,
20,20,"$1,430",1 Bed,1 Bath,11h ago,BELLROCK MEMORIALOur team has verified this property1148 Silber Rd,Houston,TX, 77055,,
21,21,"$1,531",1 Bed,1 Bath,12h ago,Upper Kirby2300 Richmond Ave,Houston,TX, 77098,,
22,22,"$1,109",1 Bed,1 Bath,12h ago,Camden Whispering OaksOur team has verified this property12655 W Houston Center Blvd,Houston,TX, 77082,,
23,23,"$1,150",1 Bed,1 Bath,14h ago,838 Greens Rd,Houston,TX, 77060,,
24,24,"$1,782",1 Bed,1 Bath,18h ago,Hanover Rice VillageOur team has verified this property2455 Dunstan Rd,Houston,TX, 77005,,
25,25,"$1,125",1 Bed,1 Bath,18h ago,The Remi on Westheimer13250 Westheimer Rd,Houston,TX, 77077,,
26,26,"$1,250",1 Bed,1 Bath,18h ago,The Vic at InterposeOur team has verified this property1111 Shepherd Dr,Houston,TX, 77007,,
27,27,"$1,430",1 Bed,1 Bath,20h ago,Sunrise by the ParkOur team has verified this property155 Birdsall St,Houston,TX, 77007,,
28,28,"$1,370",1 Bed,1 Bath,20h ago,1711 CarolineOur team has verified this property1711 Caroline St,Houston,TX, 77002,,
29,29,"$1,312",1 Bed,1 Bath,20h ago,Hue on GreenhouseOur team has verified this property2411 Greenhouse Rd,Houston,TX, 77084,,
30,30,"$1,185",1 Bed,1 Bath,20h ago,Delray ApartmentsOur team has verified this property1715 Enclave Pkwy,Houston,TX, 77077,,
31,31,"$1,194",1 Bed,1 Bath,20h ago,Tanglebrook ApartmentsOur team has verified this property1410 Fountain View Dr,Houston,TX, 77057,,
32,32,"$1,445",1 Bed,1 Bath,20h ago,The CoreOur team has verified this property3990 Washington Ave,Houston,TX, 77007,,
33,33,"$1,340",1 Bed,1 Bath,21h ago,Metro MidtownOur team has verified this property2350 Bagby St,Houston,TX, 77006,,
34,34,"$1,088",1 Bed,1 Bath,21h ago,The Retreat at SteeplechaseOur team has verified this property11245 West Rd,Houston,TX, 77065,,
35,35,"$1,100",1 Bed,1 Bath,1d ago,2111 Holly Hall St,Houston,TX, 77054,,
36,36,"$1,272",1 Bed,1 Bath,1d ago,6301 Almeda Rd,Houston,TX, 77021,,
37,37,"$1,458",1 Bed,1 Bath,1d ago,5151 Edloe St,Houston,TX, 77005,,
38,38,"$1,055",1 Bed,1 Bath,1d ago,Ivy Point Kingwood2302 Ladbrook Dr,Houston,TX, 77339,,
39,39,"$1,499",1 Bed,1 Bath,1d ago,The Dawson at Stratford Apartments419 Stratford St,Houston,TX, 77006,,
40,40,"$1,370",1 Bed,1 Bath,1d ago,City Place Montrose306 Mcgowen St,Houston,TX, 77006,,
41,41,"$1,200",1 Bed,1 Bath,1d ago,Beacon at Buffalo Pointe10301 Buffalo Speedway,Houston,TX, 77054,,
42,42,"$1,406",1 Bed,1 Bath,1d ago,Pearl WoodlakeOur team has verified this property2033 S Gessner Rd,Houston,TX, 77063,,
43,43,"$1,064",1 Bed,1 Bath,1d ago,Pearl GreenwayOur team has verified this property3788 Richmond Ave,Houston,TX, 77046,,
44,44,"$1,326",1 Bed,1 Bath,1d ago,33ThirtyThreeOur team has verified this property3333 Weslayan St,Houston,TX, 77027,,
45,45,"$2,377",1 Bed,1 Bath,1d ago,15200 Memorial Drive HoustonOur team has verified this property15200 Memorial Dr ,Houston,TX, 77079,,
46,46,"$1,937",1 Bed,1 Bath,1d ago,601 Park Place BlvdOur team has verified this propertyBroadway St ,Houston,TX, 77017,,
47,47,"$2,597",1 Bed,1 Bath,1d ago,2715 fox street Unit 4Our team has verified this property2715 Fox St Apt 4 ,Houston,TX, 77003,,
48,48,"$1,865",1 Bed,1 Bath,1d ago,11576 Pearland ParkwayOur team has verified this property11576 Pearland Pkwy ,Houston,TX, 77089,,
49,49,"$1,775",1 Bed,1 Bath,1d ago,7105 Old Katy RdOur team has verified this property7105 Old Katy Rd ,Houston,TX, 77024,,
50,50,"$1,784",1 Bed,1 Bath,1d ago,13801 Napoli DrOur team has verified this property13801 Napoli Dr ,Houston,TX, 77070,,
51,51,"$1,359",1 Bed,1 Bath,1d ago,11770 Westheimer RoadOur team has verified this property11770 Westheimer Rd ,Houston,TX, 77077,,
52,52,"$1,825",1 Bed,1 Bath,1d ago,10300 KATY FREEWAYOur team has verified this property10300 Katy Fwy ,Houston,TX, 77043,,
53,53,"$2,100",1 Bed,1 Bath,1d ago,12807 Telge RoadOur team has verified this property12807 Telge Rd ,Houston,TX, 77429,,
54,54,"$2,334",1 Bed,1 Bath,1d ago,4139 Bellaire BlvdOur team has verified this property4139 Bellaire Blvd ,Houston,TX, 77025,,
55,55,"$1,551",1 Bed,1 Bath,1d ago,Pearl WashingtonOur team has verified this property5454 Washington Ave,Houston,TX, 77007,,
56,56,"$1,429",1 Bed,1 Bath,1d ago,Camden Travis StreetOur team has verified this property2700 Travis St,Houston,TX, 77006,,
57,57,"$1,359",1 Bed,1 Bath,1d ago,Camden City CentreOur team has verified this property301 St Joseph Pkwy,Houston,TX, 77002,,
58,58,"$1,489",1 Bed,1 Bath,1d ago,Portico KirbyOur team has verified this property7550 Kirby Dr,Houston,TX, 77030,,
59,59,"$1,275",1 Bed,1 Bath,1d ago,Spencer Park Row15335 Park Row,Houston,TX, 77084,,
60,60,"$1,275",1 Bed,1 Bath,1d ago,Fidelis Westlake12211 Summer Creek Trace Dr,Houston,TX, 77001,,
61,61,"$1,359",1 Bed,1 Bath,1d ago,Heights West End4020 Koehler St,Houston,TX, 77007,,
62,62,"$1,304",1 Bed,1 Bath,1d ago,West 18th Lofts2727 W 18th St,Houston,TX, 77008,,
63,63,"$1,075",1 Bed,1 Bath,1d ago,Briar Court ApartmentsOur team has verified this property11250 Briar Forest Dr,Houston,TX, 77042,,
64,64,"$1,878",1 Bed,1 Bath,1d ago,Bowen River OaksOur team has verified this property2020 Westcreek Ln,Houston,TX, 77027,,
65,65,"$2,135",1 Bed,1 Bath,1d ago,PEARL MARKETPLACE AT MIDTOWNOur team has verified this property3120 Smith St,Houston,TX, 77006,,
66,66,"$1,379",1 Bed,1 Bath,1d ago,36sixtyOur team has verified this property3660 Richmond Ave,Houston,TX, 77046,,
67,67,"$1,459",1 Bed,1 Bath,1d ago,Camden Highland VillageOur team has verified this property3939 W Alabama St,Houston,TX, 77027,,
68,68,"$1,209",1 Bed,1 Bath,1d ago,Camden Woodson ParkOur team has verified this property14633 Woodson Park Dr,Houston,TX, 77044,,
69,69,"$1,609",1 Bed,1 Bath,1d ago,Camden PlazaOur team has verified this property3833 Cummins St,Houston,TX, 77027,,
