,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,327",1 Bed,1 Bath,2d ago,Nine+EighteenOur team has verified this property918 Fort Wayne Ave,Indianapolis,IN, 46202,,
1,1,"$1,150",1 Bed,1 Bath,4h ago,The AssemblyOur team has verified this property1301 E Washington St,Indianapolis,IN, 46202,,
2,2,"$1,789",1 Bed,1 Bath,5h ago,8851 Springside Ln EOur team has verified this property8851 Springside Ln E ,Indianapolis,IN, 46260,,
3,3,"$1,470",1 Bed,1 Bath,5h ago,Park 66 FlatsOur team has verified this property888 E 66th St,Indianapolis,IN, 46220,,
4,4,"$1,298",1 Bed,1 Bath,10h ago,Cosmopolitan on the Canal310 W Michigan St,Indianapolis,IN, 46202,,
5,5,"$1,370",1 Bed,1 Bath,21h ago,Castle Creek ApartmentsOur team has verified this property5702 Castle Hill Dr,Indianapolis,IN, 46250,,
6,6,"$1,984",1 Bed,1 Bath,1d ago,8506 Westfield BlvdOur team has verified this property8506 Westfield Blvd,Indianapolis,IN, 46240,,
7,7,"$1,607",1 Bed,1 Bath,1d ago,9535 Benchmark DriveOur team has verified this property9535 Benchmark Dr,Indianapolis,IN, 46240,,
8,8,"$1,480",1 Bed,1 Bath,1d ago,360 Market Square360 E Market St,Indianapolis,IN, 46204,,
9,9,"$1,550",1 Bed,1 Bath,1d ago,Axis401 N Senate Ave,Indianapolis,IN, 46204,,
10,10,"$1,242",1 Bed,1 Bath,1d ago,The Timbers Apartments4545 Scarlet Oak Way,Indianapolis,IN, 46237,,
11,11,"$1,269",1 Bed,1 Bath,1d ago,Lake Clearwater ApartmentsOur team has verified this property3914 Lake Clearwater Pl,Indianapolis,IN, 46240,,
12,12,"$1,620",1 Bed,1 Bath,2d ago,220 Meridian220 N Meridian St,Indianapolis,IN, 46204,,
13,13,"$1,777",1 Bed,1 Bath,2d ago,434 Canal Ct S DrOur team has verified this property434 Canal Court South Dr ,Indianapolis,IN, 46202,,
14,14,"$2,049",1 Bed,1 Bath,2d ago,7745 Solana DriveOur team has verified this property7745 Solana Dr,Indianapolis,IN, 46240,,
15,15,"$1,500",1 Bed,1 Bath,2d ago,918 1/2 N Hamilton Ave,Indianapolis,IN, 46201,,
16,16,"$1,595",1 Bed,1 Bath,2d ago,The E'LaanOur team has verified this property515 E Market St,Indianapolis,IN, 46204,,
17,17,"$1,344",1 Bed,1 Bath,2d ago,Edgewater Apartments6701 N College Ave,Indianapolis,IN, 46220,,
18,18,"$1,389",1 Bed,1 Bath,2d ago,Circa ApartmentsOur team has verified this property617 N College Ave,Indianapolis,IN, 46204,,
19,19,"$1,309",1 Bed,1 Bath,2d ago,River West Flats1150 N White River Pkwy West Dr,Indianapolis,IN, 46222,,
20,20,"$1,200",1 Bed,1 Bath,2d ago,1040 N Delaware Street1040 N Delaware St,Indianapolis,IN, 46202,,
21,21,"$1,418",1 Bed,1 Bath,2d ago,Iron Works at Keystone2727 E 86th St,Indianapolis,IN, 46240,,
22,22,"$1,710",1 Bed,1 Bath,2d ago,Penrose on Mass530 Massachusetts Ave,Indianapolis,IN, 46204,,
23,23,"$1,218",1 Bed,1 Bath,2d ago,Riverview Apartments460 N White River Pkwy West Dr,Indianapolis,IN, 46222,,
24,24,"$1,371",1 Bed,1 Bath,3d ago,Ardmore231 N Pennsylvania St,Indianapolis,IN, 46204,,
25,25,"$1,640",1 Bed,1 Bath,3d ago,Hinge719 Virginia Ave,Indianapolis,IN, 46203,,
26,26,"$1,350",1 Bed,1 Bath,3d ago,2555 Shelby St.2555 Shelby St,Indianapolis,IN, 46203,,
