,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,475",1 Bed,1 Bath,4d ago,Broxton BayOur team has verified this property12900 Broxton Bay Dr,Jacksonville,FL, 32218,,
1,1,"$1,300",1 Bed,1 Bath,4d ago,Oaks of NormandyOur team has verified this property7777 Normandy Blvd,Jacksonville,FL, 32221,,
2,2,"$1,545",1 Bed,1 Bath,4d ago,Ocean Reef Atlantic BeachOur team has verified this property2753 Mayport Rd,Jacksonville,FL, 32233,,
3,3,"$1,497",1 Bed,1 Bath,4h ago,The HawthorneOur team has verified this property8150 Point Meadows Dr,Jacksonville,FL, 32256,,
4,4,"$1,365",1 Bed,1 Bath,4h ago,Mirador and Stovall at River CityOur team has verified this property13100 Broxton Bay Dr,Jacksonville,FL, 32218,,
5,5,"$1,756",1 Bed,1 Bath,5h ago,8335 Freedom Crossing TrlOur team has verified this property8335 Freedom Crossing Trl ,Jacksonville,FL, 32256,,
6,6,"$2,149",1 Bed,1 Bath,5h ago,13490 Gran Bay PkwyOur team has verified this property13490 Gran Bay Pkwy ,Jacksonville,FL, 32258,,
7,7,"$1,944",1 Bed,1 Bath,5h ago,250 Cherry Ridge DrOur team has verified this property250 Cherry Ridge Dr ,Jacksonville,FL, 32222,,
8,8,"$1,419",1 Bed,1 Bath,5h ago,The Menlo11390 Square St,Jacksonville,FL, 32256,,
9,9,"$1,383",1 Bed,1 Bath,10h ago,SorrelOur team has verified this property12001 Abess Blvd,Jacksonville,FL, 32225,,
10,10,"$1,445",1 Bed,1 Bath,12h ago,SoBA ApartmentsOur team has verified this property1444 Home St,Jacksonville,FL, 32207,,
11,11,"$1,100",1 Bed,1 Bath,18h ago,Stonemont Village2930 Stonemont St,Jacksonville,FL, 32207,,
12,12,"$1,310",1 Bed,1 Bath,1d ago,The Vintage at Plantation Bay7740 Plantation Bay Dr,Jacksonville,FL, 32244,,
13,13,"$1,459",1 Bed,1 Bath,1d ago,Cape HouseOur team has verified this property4460 Hodges Blvd,Jacksonville,FL, 32224,,
14,14,"$2,328",1 Bed,1 Bath,1d ago,13525 Bartram Park BlvdOur team has verified this property13525 Bartram Park Blvd ,Jacksonville,FL, 32258,,
15,15,"$2,050",1 Bed,1 Bath,1d ago,13050 Gran Bay PkwyOur team has verified this property13050 Gran Bay Pkwy ,Jacksonville,FL, 32258,,
16,16,"$1,406",1 Bed,1 Bath,1d ago,Southside VillasOur team has verified this property8745 Palm Breeze Rd,Jacksonville,FL, 32256,,
17,17,"$1,560",1 Bed,1 Bath,1d ago,The Point at Town CenterOur team has verified this property5116 Gate Pkwy,Jacksonville,FL, 32256,,
18,18,"$1,254",1 Bed,1 Bath,1d ago,Rosemont St Johns12310 Seacrest Ln,Jacksonville,FL, 32224,,
19,19,"$1,186",1 Bed,1 Bath,1d ago,Pier 5350Our team has verified this property5350 Arlington Expy,Jacksonville,FL, 32211,,
20,20,"$1,176",1 Bed,1 Bath,1d ago,Westwood Apartments1171 Lane Ave S,Jacksonville,FL, 32205,,
21,21,"$1,900",1 Bed,1 Bath,1d ago,1627 Larue Ave ,Jacksonville,FL, 32207,,
22,22,"$1,500",1 Bed,1 Bath,1d ago,3591 Kernan Blvd S ,Jacksonville,FL, 32224,,
23,23,"$1,227",1 Bed,1 Bath,1d ago,Brookwood Club ApartmentsOur team has verified this property1385 Brookwood Forest Blvd,Jacksonville,FL, 32225,,
24,24,"$1,455",1 Bed,1 Bath,1d ago,Ravella at Town CenterOur team has verified this property4674 Town Center Pkwy,Jacksonville,FL, 32246,,
25,25,"$1,438",1 Bed,1 Bath,1d ago,The RidleyOur team has verified this property12517 Beach Blvd,Jacksonville,FL, 32246,,
26,26,"$1,036",1 Bed,1 Bath,1d ago,Bentley Green Apartment HomesOur team has verified this property8214 Princeton Square Blvd E,Jacksonville,FL, 32256,,
27,27,"$1,538",1 Bed,1 Bath,1d ago,Tidewater at Atlantic Beach Apartment Homes2768 State Road A1a,Jacksonville,FL, 32233,,
28,28,"$1,432",1 Bed,1 Bath,1d ago,Cue Luxury Living13504 Citicards Way,Jacksonville,FL, 32258,,
29,29,"$1,460",1 Bed,1 Bath,1d ago,Portiva6898 A C Skinner Pkwy,Jacksonville,FL, 32256,,
30,30,"$1,289",1 Bed,1 Bath,1d ago,Century Deerwood Park8450 Gate Pkwy W,Jacksonville,FL, 32216,,
31,31,"$1,450",1 Bed,1 Bath,1d ago,The Jaxon4450 Tropea Way,Jacksonville,FL, 32246,,
32,32,"$1,309",1 Bed,1 Bath,1d ago,Coventry Park Apartments6650 Corporate Center Pkwy,Jacksonville,FL, 32216,,
33,33,"$1,462",1 Bed,1 Bath,1d ago,North Beach on Kernan12193 Kernan Lake Dr,Jacksonville,FL, 32246,,
34,34,"$1,340",1 Bed,1 Bath,1d ago,Addison Landing9455 103rd St,Jacksonville,FL, 32210,,
35,35,"$1,200",1 Bed,1 Bath,2d ago,Surf A1AOur team has verified this property2130 Mayport Rd,Jacksonville,FL, 32233,,
36,36,"$1,249",1 Bed,1 Bath,2d ago,The Point at Arrowhead10101 Arrowhead Dr,Jacksonville,FL, 32257,,
37,37,"$1,100",1 Bed,1 Bath,2d ago,Landings at San MarcoOur team has verified this property2600 Art Museum Dr,Jacksonville,FL, 32207,,
38,38,"$2,400",1 Bed,1 Bath,2d ago,500 Bishop Gate LaneOur team has verified this property500 Bishop Gate Ln,Jacksonville,FL, 32204,,
39,39,"$1,966",1 Bed,1 Bath,2d ago,5290 Big Island DriveOur team has verified this property5290 Big Island Dr,Jacksonville,FL, 32246,,
40,40,"$1,233",1 Bed,1 Bath,2d ago,Stovall13000 Broxton Bay Dr,Jacksonville,FL, 32218,,
41,41,"$1,224",1 Bed,1 Bath,2d ago,San Marco VillageOur team has verified this property2166 Dunsford Ter,Jacksonville,FL, 32207,,
42,42,"$1,130",1 Bed,1 Bath,2d ago,Silversmith Creek7211 Crane Ave,Jacksonville,FL, 32216,,
43,43,"$1,036",1 Bed,1 Bath,2d ago,River City Place1275 Dunn Ave,Jacksonville,FL, 32218,,
44,44,"$1,115",1 Bed,1 Bath,2d ago,Tree Hill Apartments & Townhomes1135 Bert Rd,Jacksonville,FL, 32211,,
45,45,"$1,350",1 Bed,1 Bath,2d ago,10075 Gate Pkwy N ,Jacksonville,FL, 32246,,
46,46,"$1,380",1 Bed,1 Bath,2d ago,Coquina BayOur team has verified this property3709 San Pablo Rd S,Jacksonville,FL, 32224,,
47,47,"$1,573",1 Bed,1 Bath,2d ago,Lakeline at Bartram ParkOur team has verified this property13990 Bartram Park Blvd,Jacksonville,FL, 32258,,
48,48,"$1,465",1 Bed,1 Bath,2d ago,Novo Kendall TownOur team has verified this property1290 Kendall Town Blvd,Jacksonville,FL, 32225,,
49,49,"$1,443",1 Bed,1 Bath,2d ago,The Avery at River City Market PlaceOur team has verified this property14200 Duval Rd,Jacksonville,FL, 32218,,
50,50,"$1,200",1 Bed,1 Bath,2d ago,5216 Denaud Ct,Jacksonville,FL, 32205,,
51,51,"$1,512",1 Bed,1 Bath,2d ago,Lakewood VillageOur team has verified this property1542 Arcadia Dr,Jacksonville,FL, 32207,,
52,52,"$1,125",1 Bed,1 Bath,2d ago,Tree House Apartments3500 University Blvd N,Jacksonville,FL, 32277,,
53,53,"$1,080",1 Bed,1 Bath,2d ago,Stardust ApartmentsOur team has verified this property5756 Merrill Rd,Jacksonville,FL, 32277,,
54,54,"$1,250",1 Bed,1 Bath,3d ago,Pinebrook Apartments7500 Powers Ave,Jacksonville,FL, 32217,,
55,55,"$1,450",1 Bed,1 Bath,3d ago,2737,2743,27,49 Ver,,
56,56,"$1,463",1 Bed,1 Bath,3d ago,Exchange1810 Bertha St,Jacksonville,FL, 32207,,
57,57,"$1,199",1 Bed,1 Bath,3d ago,Kendall LakeOur team has verified this property1140 Kendall Town Boulevard,Jacksonville,FL, 32225,,
58,58,"$1,350",1 Bed,1 Bath,3d ago,122 Lane Ave S,Jacksonville,FL, 32254,,
59,59,"$1,500",1 Bed,1 Bath,3d ago,1757 E 8th St,Jacksonville,FL, 32206,,
60,60,"$1,200",1 Bed,1 Bath,3d ago,7701 Timberlin Park Blvd ,Jacksonville,FL, 32256,,
61,61,"$1,225",1 Bed,1 Bath,3d ago,2114 Herschel St ,Jacksonville,FL, 32204,,
62,62,"$1,250",1 Bed,1 Bath,3d ago,San Jose7008 Ponce De Leon Ave,Jacksonville,FL, 32217,,
63,63,"$1,299",1 Bed,1 Bath,3d ago,Exchange at Orange Park4925 Collins Rd,Jacksonville,FL, 32244,,
64,64,"$1,618",1 Bed,1 Bath,3d ago,The Oasis at Town Center10667 Brightman Blvd,Jacksonville,FL, 32246,,
65,65,"$1,520",1 Bed,1 Bath,3d ago,Seagrass Apartments1701 San Pablo Rd S,Jacksonville,FL, 32224,,
66,66,"$1,369",1 Bed,1 Bath,3d ago,Mandarin Bay Apartments9047 San Jose Blvd,Jacksonville,FL, 32257,,
67,67,"$1,220",1 Bed,1 Bath,3d ago,St. Johns Forest Apartments7925 Merrill Rd,Jacksonville,FL, 32277,,
68,68,"$1,354",1 Bed,1 Bath,3d ago,The Enclave13300 Atlantic Blvd,Jacksonville,FL, 32225,,
69,69,"$1,340",1 Bed,1 Bath,3d ago,Wimberly at DeerwoodOur team has verified this property9727 Touchton Rd,Jacksonville,FL, 32246,,
70,70,"$1,200",1 Bed,1 Bath,4d ago,7701 Timberlin Park Blvd ,Jacksonville,FL, 32256,,
71,71,"$1,473",1 Bed,1 Bath,4d ago,The Carlyle at Bartram Park14701 Bartram Park Blvd,Jacksonville,FL, 32258,,
72,72,"$1,545",1 Bed,1 Bath,4d ago,Ocean Reef Atlantic BeachOur team has verified this property2753 Mayport Rd,Jacksonville,FL, 32233,,
73,73,"$1,300",1 Bed,1 Bath,4d ago,Oaks of NormandyOur team has verified this property7777 Normandy Blvd,Jacksonville,FL, 32221,,
74,74,"$1,475",1 Bed,1 Bath,4d ago,Broxton BayOur team has verified this property12900 Broxton Bay Dr,Jacksonville,FL, 32218,,
75,75,"$1,150",1 Bed,1 Bath,4d ago,2966 Remington St ,Jacksonville,FL, 32205,,
76,76,"$1,750",1 Bed,1 Bath,4d ago,Heritage at DeerwoodOur team has verified this property10901 Burnt Mill Road,Jacksonville,FL, 32256,,
77,77,"$2,007",1 Bed,1 Bath,4d ago,8685 Baymeadows Rd EOur team has verified this property8685 Baymeadows Rd E ,Jacksonville,FL, 32256,,
78,78,"$1,800",1 Bed,1 Bath,4d ago,1341 Walnut St,Jacksonville,FL, 32206,,
79,79,"$1,100",1 Bed,1 Bath,4d ago,778 Acosta St,Jacksonville,FL, 32204,,
80,80,"$1,399",1 Bed,1 Bath,5d+ ago,Creekside Park5900 Townsend Rd,Jacksonville,FL, 32244,,
81,81,"$1,350",1 Bed,1 Bath,5d+ ago,8290 Gate Pkwy W ,Jacksonville,FL, 32216,,
82,82,"$1,721",1 Bed,1 Bath,5d+ ago,View At MandarinOur team has verified this property4263 Losco Rd,Jacksonville,FL, 32257,,
83,83,"$1,289",1 Bed,1 Bath,5d+ ago,Renaissance at Strawberry CreekOur team has verified this property7557 Arlington Expy,Jacksonville,FL, 32211,,
84,84,"$1,107",1 Bed,1 Bath,5d+ ago,Edens EdgeOur team has verified this property7101 Wilson Blvd,Jacksonville,FL, 32210,,
85,85,"$1,645",1 Bed,1 Bath,5d+ ago,SOUTHERLY AT SOUTHBANK959 Prudential Dr,Jacksonville,FL, 32207,,
86,86,"$1,550",1 Bed,1 Bath,5d+ ago,SUR Southside Quarter7385 Park Village Dr,Jacksonville,FL, 32256,,
87,87,"$1,634",1 Bed,1 Bath,5d+ ago,BARLOW1900 Olevia St,Jacksonville,FL, 32207,,
88,88,"$1,100",1 Bed,1 Bath,5d+ ago,3036 Post St,Jacksonville,FL, 32205,,
89,89,"$1,100",1 Bed,1 Bath,5d+ ago,3038 Post St,Jacksonville,FL, 32205,,
