,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,125",1 Bed,1 Bath,1h ago,EvoqOur team has verified this property3550 Paradise Rd,Las Vegas,NV, 89169,,
1,1,"$1,780",1 Bed,1 Bath,1h ago,Ariva Luxury ResidencesOur team has verified this property11001 Las Vegas Blvd S,Las Vegas,NV, 89183,,
2,2,"$1,374",1 Bed,1 Bath,1h ago,Xander 3900Our team has verified this property3900 Dalecrest Dr,Las Vegas,NV, 89129,,
3,3,"$1,942",1 Bed,1 Bath,9h ago,6255 W Tropicana AveOur team has verified this property6255 W Tropicana Ave,Las Vegas,NV, 89103,,
4,4,"$1,665",1 Bed,1 Bath,13h ago,Auric Symphony Park250 Promenade Pl,Las Vegas,NV, 89106,,
5,5,"$1,000",1 Bed,1 Bath,15h ago,101 Luna Way ,Las Vegas,NV, 89145,,
6,6,"$1,489",1 Bed,1 Bath,16h ago,Escena8301 W Charleston Blvd,Las Vegas,NV, 89117,,
7,7,"$1,335",1 Bed,1 Bath,20h ago,9599 W Charleston Blvd,Las Vegas,NV, 89117,,
8,8,"$1,075",1 Bed,1 Bath,1d ago,1381 E University Ave ,Las Vegas,NV, 89119,,
9,9,"$1,576",1 Bed,1 Bath,1d ago,Elysian at SunsetOur team has verified this property8150 Rafael Rivera Way,Las Vegas,NV, 89113,,
10,10,"$1,593",1 Bed,1 Bath,1d ago,Solitude at CentennialOur team has verified this property7855 Deer Springs Way,Las Vegas,NV, 89131,,
11,11,"$1,463",1 Bed,1 Bath,1d ago,Elysian at the PalmsOur team has verified this property3850 W Nevso Dr,Las Vegas,NV, 89103,,
12,12,"$1,362",1 Bed,1 Bath,1d ago,MirasolOur team has verified this property2180 E Warm Springs Rd,Las Vegas,NV, 89119,,
13,13,"$1,801",1 Bed,1 Bath,1d ago,Liberty Square Townhomes7099 N Hualapai Way,Las Vegas,NV, 89166,,
14,14,"$1,247",1 Bed,1 Bath,1d ago,Cabana Club ApartmentsOur team has verified this property7000 Paradise Rd,Las Vegas,NV, 89119,,
15,15,"$1,347",1 Bed,1 Bath,1d ago,Avanti ApartmentsOur team has verified this property10697 W Centennial Pkwy,Las Vegas,NV, 89166,,
16,16,"$1,275",1 Bed,1 Bath,1d ago,The Quinn5500 Mountain Vista St,Las Vegas,NV, 89120,,
17,17,"$1,280",1 Bed,1 Bath,1d ago,Jovanna VillasOur team has verified this property2720 W Serene Ave,Las Vegas,NV, 89123,,
18,18,"$1,149",1 Bed,1 Bath,1d ago,8530 W Sahara Ave,Las Vegas,NV, 89117,,
19,19,"$1,923",1 Bed,1 Bath,2d ago,Namaste ApartmentsOur team has verified this property3355 Arville St,Las Vegas,NV, 89102,,
20,20,"$1,670",1 Bed,1 Bath,2d ago,Alta Southern Highlands12230 Southern Highlands Pkwy,Las Vegas,NV, 89101,,
21,21,"$1,844",1 Bed,1 Bath,2d ago,1700 Alta DriveOur team has verified this property1700 Alta Dr ,Las Vegas,NV, 89106,,
