,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,329",1 Bed,1 Bath,12h ago,775 Melrose Street775 Melrose St,Memphis,TN, 38104,,
1,1,"$1,400",1 Bed,1 Bath,14h ago,2157 Monroe Ave ,Memphis,TN, 38104,,
2,2,"$1,035",1 Bed,1 Bath,20h ago,The ValeOur team has verified this property8923 George Brett Dr,Memphis,TN, 38018,,
3,3,"$2,031",1 Bed,1 Bath,1d ago,225 Arbor Commons CircleOur team has verified this property225 Arbor Commons Cir,Memphis,TN, 38120,,
4,4,"$1,540",1 Bed,1 Bath,1d ago,Link Apartments® Broad AveOur team has verified this property2540 Broad Ave,Memphis,TN, 38112,,
5,5,"$1,127",1 Bed,1 Bath,2d ago,Indigo Riverview99 N Main St,Memphis,TN, 38103,,
6,6,"$2,050",1 Bed,1 Bath,2d ago,655 S Riverside Dr ,Memphis,TN, 38103,,
7,7,"$1,090",1 Bed,1 Bath,3d ago,Trinity Lakes7935 Club Dr,Memphis,TN, 38016,,
8,8,"$1,225",1 Bed,1 Bath,3d ago,1796 - 1800 Poplar Ave1796 1796 - 1800 Poplar Ave,Memphis,TN, 38104,,
9,9,"$1,095",1 Bed,1 Bath,3d ago,2342 Parkway Place2342 Parkway Pl,Memphis,TN, 38112,,
10,10,"$2,251",1 Bed,1 Bath,4d ago,67 Madison AveOur team has verified this property67 Madison Ave ,Memphis,TN, 38103,,
11,11,"$1,000",1 Bed,1 Bath,4d ago,3779 Shirlwood Ave,Memphis,TN, 38122,,
12,12,"$1,289",1 Bed,1 Bath,4d ago,Fieldstone Apartment Homes3333 Hacks Cross Rd,Memphis,TN, 38125,,
13,13,"$1,050",1 Bed,1 Bath,5d+ ago,125 Saffarans Ave,Memphis,TN, 38105,,
14,14,"$1,165",1 Bed,1 Bath,5d+ ago,Iris Apartments810 Washington Ave,Memphis,TN, 38105,,
15,15,"$1,000",1 Bed,1 Bath,5d+ ago,U of M Area~~592 Patterson St,Memphis,TN, 38111,,
16,16,"$1,195",1 Bed,1 Bath,5d+ ago,1855 Poplar Woods Cir W ,Memphis,TN, 38138,,
17,17,"$1,215",1 Bed,1 Bath,5d+ ago,Fielder Square70 S 4th St,Memphis,TN, 38103,,
18,18,"$1,025",1 Bed,1 Bath,5d+ ago,Riverset Apartments100 Riverset Ln,Memphis,TN, 38103,,
19,19,"$1,150",1 Bed,1 Bath,5d+ ago,1639 Quail Hollow Rd,Memphis,TN, 38120,,
20,20,"$1,370",1 Bed,1 Bath,5d+ ago,The Citizen1835 Union Ave,Memphis,TN, 38104,,
21,21,"$1,219",1 Bed,1 Bath,5d+ ago,Roxbury1300 Lynnfield Rd,Memphis,TN, 38119,,
22,22,"$1,100",1 Bed,1 Bath,5d+ ago,461 S. Highland Street461 S Highland St,Memphis,TN, 38111,,
23,23,"$1,025",1 Bed,1 Bath,5d+ ago,1812-1820 Madison Ave1812 Madison Ave,Memphis,TN, 38104,,
24,24,"$1,235",1 Bed,1 Bath,5d+ ago,621 Denmark Dr ,Memphis,TN, 38103,,
25,25,"$1,250",1 Bed,1 Bath,5d+ ago,1523 Madison Ave ,Memphis,TN, 38104,,
26,26,"$1,495",1 Bed,1 Bath,5d+ ago,665 Tennessee St ,Memphis,TN, 38103,,
27,27,"$1,640",1 Bed,1 Bath,5d+ ago,9 East Carolina Avenue9 E Carolina Ave,Memphis,TN, 38103,,
28,28,"$1,300",1 Bed,1 Bath,5d+ ago,1030 Poplar Ave1030 Poplar Ave,Memphis,TN, 38105,,
29,29,"$1,080",1 Bed,1 Bath,5d+ ago,1867 Poplar Pines Dr1867 Poplar Pines Dr,Memphis,TN, 38119,,
30,30,"$1,300",1 Bed,1 Bath,5d+ ago,236 South Watkins236 S Watkins St,Memphis,TN, 38104,,
31,31,"$1,049",1 Bed,1 Bath,5d+ ago,1639 Monroe1639 Monroe Ave,Memphis,TN, 38104,,
32,32,"$1,295",1 Bed,1 Bath,5d+ ago,670 Madison Avenue670 Madison Ave,Memphis,TN, 38103,,
33,33,"$1,600",1 Bed,1 Bath,5d+ ago,1050 N Parkway,Memphis,TN, 38105,,
34,34,"$2,200",1 Bed,1 Bath,5d+ ago,435 S Front St ,Memphis,TN, 38103,,
35,35,"$1,900",1 Bed,1 Bath,5d+ ago,336 Eastview St,Memphis,TN, 38112,,
36,36,"$1,250",1 Bed,1 Bath,5d+ ago,378 N Willett St,Memphis,TN, 38112,,
37,37,"$1,600",1 Bed,1 Bath,5d+ ago,510 City House Ct ,Memphis,TN, 38103,,
38,38,"$1,200",1 Bed,1 Bath,5d+ ago,640 N 3rd St,Memphis,TN, 38107,,
39,39,"$1,430",1 Bed,1 Bath,5d+ ago,River Estates Dr,Memphis,TN, 38103,,
40,40,"$1,436",1 Bed,1 Bath,5d+ ago,Island Park Dr,Memphis,TN, 38103,,
41,41,"$1,080",1 Bed,1 Bath,5d+ ago,Poplar Pines Dr,Memphis,TN, 38119,,
42,42,"$1,695",1 Bed,1 Bath,5d+ ago,415 S Front St ,Memphis,TN, 38103,,
43,43,"$1,295",1 Bed,1 Bath,5d+ ago,440 N Front St ,Memphis,TN, 38105,,
44,44,"$2,799",1 Bed,1 Bath,5d+ ago,286 Island Dr Apt 113 ,Memphis,TN, 38103,,
45,45,"$1,395",1 Bed,1 Bath,5d+ ago,The Commonwealth Apartments240 Madison Ave,Memphis,TN, 38103,,
46,46,"$1,895",1 Bed,1 Bath,5d+ ago,91 S 2nd St ,Memphis,TN, 38103,,
47,47,"$1,495",1 Bed,1 Bath,5d+ ago,195 Madison Ave ,Memphis,TN, 38103,,
