,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,840",1 Bed,1 Bath,5d+ ago,Haven at the GulchOur team has verified this property641 Division St,Nashville,TN, 37203,,
1,1,"$1,364",1 Bed,1 Bath,2h ago,Knox at Metro Center101 Athens Way,Nashville,TN, 37228,,
2,2,"$1,653",1 Bed,1 Bath,2h ago,Glassworks Apartments541 Great Circle Rd,Nashville,TN, 37228,,
3,3,"$1,163",1 Bed,1 Bath,3h ago,Avana South Oaks100 Antioch Pike,Nashville,TN, 37211,,
4,4,"$1,500",1 Bed,1 Bath,5h ago,Olympus MidtownOur team has verified this property1700 State St,Nashville,TN, 37203,,
5,5,"$2,127",1 Bed,1 Bath,5h ago,570 Church Street EastOur team has verified this property570 Church St E,Nashville,TN, 37027,,
6,6,"$1,918",1 Bed,1 Bath,10h ago,Atlas at Germantown200 Madison St,Nashville,TN, 37208,,
7,7,"$1,819",1 Bed,1 Bath,10h ago,Broadstone SoBro Apartments800 4th Ave S,Nashville,TN, 37210,,
8,8,"$1,061",1 Bed,1 Bath,14h ago,5242 Edmondson Pike5242 Edmondson Pike,Nashville,TN, 37211,,
9,9,"$1,450",1 Bed,1 Bath,14h ago,1511 Naples Ave,Nashville,TN, 37207,,
10,10,"$1,746",1 Bed,1 Bath,19h ago,Union Stockyards NashvilleOur team has verified this property222 Stockyard St,Nashville,TN, 37201,,
11,11,"$1,178",1 Bed,1 Bath,20h ago,The AnnalineOur team has verified this property115 Nashboro Blvd,Nashville,TN, 37217,,
12,12,"$1,650",1 Bed,1 Bath,20h ago,Vista GermantownOur team has verified this property515 Madison St,Nashville,TN, 37208,,
13,13,"$1,857",1 Bed,1 Bath,1d ago,Aertson Midtown208 21st Ave S,Nashville,TN, 37203,,
14,14,"$1,529",1 Bed,1 Bath,1d ago,River West Apartments411 Annex Ave,Nashville,TN, 37209,,
15,15,"$1,216",1 Bed,1 Bath,1d ago,Longwood at Southern HillsOur team has verified this property371 Wallace Rd,Nashville,TN, 37211,,
16,16,"$1,092",1 Bed,1 Bath,1d ago,The KnollsOur team has verified this property220 Knolls Pl,Nashville,TN, 37211,,
17,17,"$1,289",1 Bed,1 Bath,1d ago,Gazebo ApartmentsOur team has verified this property141 Neese Dr,Nashville,TN, 37211,,
18,18,"$2,029",1 Bed,1 Bath,1d ago,Camden Music RowOur team has verified this property1515 Demonbreun St,Nashville,TN, 37203,,
19,19,"$2,659",1 Bed,1 Bath,1d ago,9 City PlaceOur team has verified this property9 City Pl ,Nashville,TN, 37209,,
20,20,"$2,215",1 Bed,1 Bath,1d ago,1501 Herman StOur team has verified this property1501 Herman St ,Nashville,TN, 37208,,
21,21,"$1,099",1 Bed,1 Bath,1d ago,5700 Leslie Ave ,Nashville,TN, 37209,,
22,22,"$2,010",1 Bed,1 Bath,1d ago,805 Lea805 Lea Ave,Nashville,TN, 37203,,
23,23,"$1,750",1 Bed,1 Bath,1d ago,505 Nashville505 Church St,Nashville,TN, 37219,,
24,24,"$1,259",1 Bed,1 Bath,1d ago,Brentwood Oaks100 Brentwood Oaks Dr,Nashville,TN, 37211,,
25,25,"$2,048",1 Bed,1 Bath,1d ago,Aspire Gulch Apartments805 Division St,Nashville,TN, 37203,,
26,26,"$1,355",1 Bed,1 Bath,1d ago,Arrive Bellevue111 Old Hickory Blvd,Nashville,TN, 37221,,
27,27,"$1,125",1 Bed,1 Bath,1d ago,Robertson Avenue Apartments6228 Robertson Ave,Nashville,TN, 37209,,
28,28,"$1,779",1 Bed,1 Bath,1d ago,Cortland at the Nations4731 Centennial Blvd,Nashville,TN, 37209,,
29,29,"$1,499",1 Bed,1 Bath,1d ago,Duet ApartmentsOur team has verified this property300 31st Ave N,Nashville,TN, 37203,,
30,30,"$1,870",1 Bed,1 Bath,1d ago,Albion in the GulchOur team has verified this property645 Division St,Nashville,TN, 37203,,
31,31,"$1,129",1 Bed,1 Bath,1d ago,The Villages @ Dover Glen,Meadowood & StonewoodOur team has verified this property301 Dover Glen Drive,Na,shvill,,
32,32,"$1,550",1 Bed,1 Bath,1d ago,Lenox VillageOur team has verified this property6900 Lenox Village Dr,Nashville,TN, 37211,,
33,33,"$1,429",1 Bed,1 Bath,1d ago,Vintage at Burkitt StationOur team has verified this property13153 Old Hickory Boulevard,Nashville,TN, 37013,,
34,34,"$1,200",1 Bed,1 Bath,1d ago,Brentwood Hill Luxury Townhouses600 Whispering Hills Dr,Nashville,TN, 37211,,
35,35,"$1,275",1 Bed,1 Bath,1d ago,Hickory Point ApartmentsOur team has verified this property15180 Old Hickory Blvd,Nashville,TN, 37211,,
36,36,"$1,651",1 Bed,1 Bath,1d ago,Octave ApartmentsOur team has verified this property2350 8th Ave S,Nashville,TN, 37204,,
37,37,"$1,310",1 Bed,1 Bath,1d ago,Mallards Landing Apartment Home4501 Packard Dr,Nashville,TN, 37211,,
38,38,"$1,692",1 Bed,1 Bath,1d ago,The Griff1390 Adams St,Nashville,TN, 37208,,
39,39,"$1,349",1 Bed,1 Bath,1d ago,The Canvas1120 Litton Ave,Nashville,TN, 37216,,
