,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,149",1 Bed,1 Bath,2h ago,Stonehorse CrossingOur team has verified this property14320 Mezzaluna Blvd,Oklahoma City,OK, 73134,,
1,1,"$1,099",1 Bed,1 Bath,2h ago,Park at TuscanyOur team has verified this property2737 Nw 140th St,Oklahoma City,OK, 73134,,
2,2,"$1,019",1 Bed,1 Bath,2h ago,Warrington ApartmentsOur team has verified this property12700 N Macarthur Blvd,Oklahoma City,OK, 73142,,
3,3,"$1,129",1 Bed,1 Bath,2d ago,24Hundred ApartmentsOur team has verified this property2400 Watermark Blvd,Oklahoma City,OK, 73134,,
4,4,"$1,050",1 Bed,1 Bath,2d ago,The MaywoodOur team has verified this property425 N Oklahoma Ave,Oklahoma City,OK, 73104,,
5,5,"$1,540",1 Bed,1 Bath,2d ago,5924 SW 12th StOur team has verified this property5924 Sw 12th St ,Oklahoma City,OK, 73128,,
6,6,"$1,660",1 Bed,1 Bath,2d ago,9900 S May AveOur team has verified this property9900 S May Ave ,Oklahoma City,OK, 73159,,
7,7,"$1,706",1 Bed,1 Bath,2d ago,2600 Watermark BlvdOur team has verified this property2600 Watermark Blvd ,Oklahoma City,OK, 73134,,
8,8,"$1,741",1 Bed,1 Bath,2d ago,605 SW 119th StOur team has verified this property605 Sw 119th St,Oklahoma City,OK, 73170,,
9,9,"$1,460",1 Bed,1 Bath,2d ago,1216 N Blackwelder Ave ,Oklahoma City,OK, 73106,,
10,10,"$1,080",1 Bed,1 Bath,2d ago,New Page WestOur team has verified this property630 North Kelley Avenue,Oklahoma City,OK, 73117,,
11,11,"$1,100",1 Bed,1 Bath,3d ago,817 East Dr ,Oklahoma City,OK, 73105,,
12,12,"$1,155",1 Bed,1 Bath,3d ago,Steelyard505 E Sheridan Ave,Oklahoma City,OK, 73104,,
13,13,"$1,375",1 Bed,1 Bath,3d ago,909 NW 12th Street909 Nw 12th St,Oklahoma City,OK, 73106,,
14,14,"$1,315",1 Bed,1 Bath,3d ago,The Sentinel1130 N Harvey Ave,Oklahoma City,OK, 73103,,
15,15,"$1,015",1 Bed,1 Bath,4d ago,Winchester RunOur team has verified this property201 Se 89th St,Oklahoma City,OK, 73149,,
16,16,"$2,045",1 Bed,1 Bath,5d+ ago,The First Residences at First National140 Park Ave,Oklahoma City,OK, 73102,,
17,17,"$1,900",1 Bed,1 Bath,5d+ ago,614 Nw 8th St ,Oklahoma City,OK, 73102,,
18,18,"$1,350",1 Bed,1 Bath,5d+ ago,215 NW 10th Street215 Nw 10th St,Oklahoma City,OK, 73103,,
19,19,"$1,050",1 Bed,1 Bath,5d+ ago,1212 N Walker Ave1212 N Walker Ave,Oklahoma City,OK, 73103,,
20,20,"$1,600",1 Bed,1 Bath,5d+ ago,717 NE 14th St717 Ne 14th St,Oklahoma City,OK, 73104,,
21,21,"$1,150",1 Bed,1 Bath,5d+ ago,6929 South Sooner Road6929 S Sooner Rd,Oklahoma City,OK, 73135,,
22,22,"$1,060",1 Bed,1 Bath,5d+ ago,4445 N. Lincoln Blvd.4445 N Lincoln Blvd,Oklahoma City,OK, 73105,,
23,23,"$1,095",1 Bed,1 Bath,5d+ ago,515 NW 27th St.515 Nw 27th St,Oklahoma City,OK, 73103,,
24,24,"$1,000",1 Bed,1 Bath,5d+ ago,427 Ne 14th St ,Oklahoma City,OK, 73104,,
25,25,"$1,050",1 Bed,1 Bath,5d+ ago,1205 Military Ct,Oklahoma City,OK, 73118,,
26,26,"$1,075",1 Bed,1 Bath,5d+ ago,1207 Military Ct,Oklahoma City,OK, 73118,,
27,27,"$1,100",1 Bed,1 Bath,5d+ ago,1612 N Gatewood Ave,Oklahoma City,OK, 73106,,
28,28,"$1,200",1 Bed,1 Bath,5d+ ago,1609 N Blackwelder Ave ,Oklahoma City,OK, 73106,,
29,29,"$1,200",1 Bed,1 Bath,5d+ ago,1 Ne 2nd St ,Oklahoma City,OK, 73104,,
30,30,"$2,200",1 Bed,1 Bath,5d+ ago,5900 Mosteller Dr ,Oklahoma City,OK, 73112,,
31,31,"$1,195",1 Bed,1 Bath,5d+ ago,436 NW 27th St.436 Nw 27th St,Oklahoma City,OK, 73103,,
32,32,"$1,725",1 Bed,1 Bath,5d+ ago,5704 Campbell Creek5704 Campbell Creek Dr,Oklahoma City,OK, 73179,,
33,33,"$1,195",1 Bed,1 Bath,5d+ ago,441 NW 28th St.441 Nw 28th St,Oklahoma City,OK, 73103,,
34,34,"$1,185",1 Bed,1 Bath,5d+ ago,5300 W Memorial Rd,Oklahoma City,OK, 73142,,
35,35,"$1,200",1 Bed,1 Bath,5d+ ago,627 Nw 5th St ,Oklahoma City,OK, 73102,,
36,36,"$3,000",1 Bed,1 Bath,5d+ ago,200 S Oklahoma Ave ,Oklahoma City,OK, 73104,,
37,37,"$2,280",1 Bed,1 Bath,5d+ ago,6700 W Memorial Rd,Oklahoma City,OK, 73142,,
38,38,"$2,790",1 Bed,1 Bath,5d+ ago,101 Ne 53rd St,Oklahoma City,OK, 73105,,
39,39,"$3,510",1 Bed,1 Bath,5d+ ago,301 N Walker Ave,Oklahoma City,OK, 73102,,
