,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,475",1 Bed,1 Bath,2d ago,Croydon HallOur team has verified this property241 S 49th St,Philadelphia,PA, 19139,,
1,1,"$1,750",1 Bed,1 Bath,25m ago,1100 S Broad St ,Philadelphia,PA, 19146,,
2,2,"$1,971",1 Bed,1 Bath,4h ago,The GrantOur team has verified this property1 Cynwyd Rd,Philadelphia,PA, 19004,,
3,3,"$1,296",1 Bed,1 Bath,4h ago,The Drake1512 Spruce St,Philadelphia,PA, 19102,,
4,4,"$1,816",1 Bed,1 Bath,4h ago,The Lofts at 1835 Arch1835 Arch St,Philadelphia,PA, 19103,,
5,5,"$1,663",1 Bed,1 Bath,4h ago,One Franklin Town1 Franklin Town Blvd,Philadelphia,PA, 19103,,
6,6,"$2,517",1 Bed,1 Bath,5h ago,The St. James - Residential200 W Washington Sq,Philadelphia,PA, 19106,,
7,7,"$1,744",1 Bed,1 Bath,5h ago,The Collins Apartments1125 Sansom St,Philadelphia,PA, 19107,,
8,8,"$1,575",1 Bed,1 Bath,6h ago,3640 Stanton Street,Philadelphia,PA, 19129,,
9,9,"$1,945",1 Bed,1 Bath,9h ago,Park Towne Place Premier Apartment Homes2200 Benjamin Franklin Pkwy,Philadelphia,PA, 19130,,
10,10,"$2,067",1 Bed,1 Bath,9h ago,The Sterling Apartment Homes1815 John F Kennedy Blvd,Philadelphia,PA, 19103,,
11,11,"$1,515",1 Bed,1 Bath,10h ago,Rittenhouse Hill633 633 W Rittenhouse St,Philadelphia,PA, 19144,,
12,12,"$1,178",1 Bed,1 Bath,11h ago,716 N. Franklin Street716 N Franklin St,Philadelphia,PA, 19123,,
13,13,"$1,154",1 Bed,1 Bath,11h ago,715 N. 8th Street715 N 8th St,Philadelphia,PA, 19123,,
14,14,"$1,288",1 Bed,1 Bath,11h ago,1420 Cambridge st1420 Cambridge St,Philadelphia,PA, 19130,,
15,15,"$1,166",1 Bed,1 Bath,11h ago,706 N. Franklin Street706 N Franklin St,Philadelphia,PA, 19123,,
16,16,"$1,090",1 Bed,1 Bath,13h ago,10101 Northeast Avenue10101 Northeast Ave,Philadelphia,PA, 19116,,
17,17,"$2,270",1 Bed,1 Bath,19h ago,The Piazza AltaOur team has verified this property1099 Germantown Ave,Philadelphia,PA, 19123,,
18,18,"$1,865",1 Bed,1 Bath,20h ago,The PoplarOur team has verified this property900 N 9th St,Philadelphia,PA, 19123,,
19,19,"$1,980",1 Bed,1 Bath,20h ago,The PiazzaOur team has verified this property1001 N 2nd St,Philadelphia,PA, 19123,,
20,20,"$1,440",1 Bed,1 Bath,20h ago,Alden ParkOur team has verified this property5500 Wissahickon Ave,Philadelphia,PA, 19144,,
21,21,"$2,715",1 Bed,1 Bath,20h ago,1919 Market St.Our team has verified this property1919 Market St,Philadelphia,PA, 19103,,
22,22,"$2,765",1 Bed,1 Bath,21h ago,The AtlanticOur team has verified this property1401 Spruce St,Philadelphia,PA, 19102,,
23,23,"$1,595",1 Bed,1 Bath,21h ago,1722 Spruce St1722 Spruce St,Philadelphia,PA, 19103,,
24,24,"$1,500",1 Bed,1 Bath,23h ago,1331 N Marston Street1331 N Marston St,Philadelphia,PA, 19121,,
25,25,"$1,195",1 Bed,1 Bath,1d ago,420 West School House Lane ,Philadelphia,PA, 19144,,
26,26,"$2,200",1 Bed,1 Bath,1d ago,1419 N 7th St ,Philadelphia,PA, 19122,,
27,27,"$1,100",1 Bed,1 Bath,1d ago,257 S 46th St - 257 S 46th St ,Philadelphia,PA, 19139,,
28,28,"$1,661",1 Bed,1 Bath,1d ago,NorthXNorthwestOur team has verified this property450 N 18th St,Philadelphia,PA, 19130,,
29,29,"$1,015",1 Bed,1 Bath,1d ago,1051-61 E. Mt. Airy Avenue1051 E Mount Airy Ave ,Philadelphia,PA, 19150,,
30,30,"$1,335",1 Bed,1 Bath,1d ago,6725 Ridge Avenue6725 Ridge Ave,Philadelphia,PA, 19128,,
31,31,"$2,245",1 Bed,1 Bath,1d ago,The NationalOur team has verified this property121 N 2nd St,Philadelphia,PA, 19106,,
32,32,"$1,868",1 Bed,1 Bath,1d ago,The KellyOur team has verified this property10 Union Ave,Philadelphia,PA, 19004,,
33,33,"$2,275",1 Bed,1 Bath,1d ago,2201 Bryn Mawr AvenueOur team has verified this property2201 Bryn Mawr Ave ,Philadelphia,PA, 19131,,
