,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,754",1 Bed,1 Bath,1d ago,The StewartOur team has verified this property800 N Central Ave,Phoenix,AZ, 85004,,
1,1,"$1,345",1 Bed,1 Bath,1h ago,Residences at 42254225 E Mcdowell Rd,Phoenix,AZ, 85008,,
2,2,"$1,350",1 Bed,1 Bath,2d ago,Rise BiltmoreOur team has verified this property4728 N 15th St,Phoenix,AZ, 85014,,
3,3,"$1,860",1 Bed,1 Bath,3h ago,Montreux Luxury ApartmentsOur team has verified this property5550 E Deer Valley Dr,Phoenix,AZ, 85054,,
4,4,"$1,200",1 Bed,1 Bath,4h ago,Ava North & SouthOur team has verified this property3426 N 32nd St,Phoenix,AZ, 85018,,
5,5,"$1,575",1 Bed,1 Bath,4h ago,Pearl BiltmoreOur team has verified this property2323 E Highland Ave,Phoenix,AZ, 85016,,
6,6,"$1,749",1 Bed,1 Bath,4h ago,Camden North EndOur team has verified this property6800 E Mayo Blvd,Phoenix,AZ, 85054,,
7,7,"$1,680",1 Bed,1 Bath,5h ago,The McKinley280 W Mckinley St,Phoenix,AZ, 85003,,
8,8,"$1,250",1 Bed,1 Bath,8h ago,Ellis Midtown3117 N 7th Ave,Phoenix,AZ, 85013,,
9,9,"$1,840",1 Bed,1 Bath,9h ago,The Townhomes At Biltmore3501 E Camelback Rd,Phoenix,AZ, 85018,,
10,10,"$1,579",1 Bed,1 Bath,10h ago,Liv AhwatukeeOur team has verified this property16025 S 50th St,Phoenix,AZ, 85048,,
11,11,"$1,097",1 Bed,1 Bath,13h ago,1514 W Palmer Dr ,Phoenix,AZ, 85021,,
12,12,"$1,550",1 Bed,1 Bath,13h ago,30 W Fremont Rd ,Phoenix,AZ, 85041,,
13,13,"$1,468",1 Bed,1 Bath,13h ago,S 48th St,Phoenix,AZ, 85048,,
14,14,"$1,550",1 Bed,1 Bath,14h ago,Cielo at TramontoOur team has verified this property35035 N North Valley Pkwy,Phoenix,AZ, 85086,,
15,15,"$2,400",1 Bed,1 Bath,14h ago,One Camelback1 E Camelback Rd,Phoenix,AZ, 85012,,
16,16,"$1,250",1 Bed,1 Bath,14h ago,1238 E Pierce St ,Phoenix,AZ, 85006,,
17,17,"$1,525",1 Bed,1 Bath,17h ago,9000 W Indian School Rd,Phoenix,AZ, 85037,,
