,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,350",1 Bed,1 Bath,5d+ ago,1177 Market at Trinity PlaceOur team has verified this property1177 Market St,San Francisco,CA, 94103,,
1,1,"$2,349",1 Bed,1 Bath,5d+ ago,1188 Mission at Trinity PlaceOur team has verified this property1188 Mission St,San Francisco,CA, 94103,,
2,2,"$3,399",1 Bed,1 Bath,2d ago,1000 Chestnut Street ApartmentsOur team has verified this property1000 Chestnut St,San Francisco,CA, 94109,,
3,3,"$3,295",1 Bed,1 Bath,2d ago,630 Grand ViewOur team has verified this property630 Grand View Ave,San Francisco,CA, 94114,,
4,4,"$2,701",1 Bed,1 Bath,1h ago,Edgewater355 Berry St,San Francisco,CA, 94158,,
5,5,"$1,350",1 Bed,1 Bath,3h ago,925 Guerrero Street ,San Francisco,CA, 94110,,
6,6,"$3,000",1 Bed,1 Bath,3h ago,695 3rd Ave ,San Francisco,CA, 94118,,
7,7,"$3,025",1 Bed,1 Bath,4h ago,855 BrannanOur team has verified this property855 Brannan St,San Francisco,CA, 94103,,
8,8,"$2,806",1 Bed,1 Bath,4h ago,Bennett LoftsOur team has verified this property530 Brannan St,San Francisco,CA, 94107,,
9,9,"$2,955",1 Bed,1 Bath,5h ago,The Presidio Landmark1801 Wedemeyer St,San Francisco,CA, 94129,,
10,10,"$2,595",1 Bed,1 Bath,3d ago,1547 ClayOur team has verified this property1547 Clay St,San Francisco,CA, 94109,,
11,11,"$3,355",1 Bed,1 Bath,5h ago,Avalon DogpatchOur team has verified this property800 Indiana St,San Francisco,CA, 94107,,
12,12,"$3,220",1 Bed,1 Bath,5h ago,Avalon at Mission BayOur team has verified this property255 King St,San Francisco,CA, 94107,,
13,13,"$2,395",1 Bed,1 Bath,5h ago,515 Prentiss St,San Francisco,CA, 94110,,
14,14,"$2,295",1 Bed,1 Bath,5h ago,1108 1/2 Shrader St,San Francisco,CA, 94117,,
15,15,"$3,695",1 Bed,1 Bath,7h ago,540 Stockton St540 Stockton St,San Francisco,CA, 94108,,
16,16,"$4,000",1 Bed,1 Bath,10h ago,88 King St,San Francisco,CA, 94107,,
17,17,"$3,268",1 Bed,1 Bath,10h ago,Alchemy200 Buchanan St,San Francisco,CA, 94102,,
18,18,"$3,700",1 Bed,1 Bath,11h ago,1 Daniel Burnham Ct ,San Francisco,CA, 94109,,
19,19,"$3,990",1 Bed,1 Bath,11h ago,400 Beale St ,San Francisco,CA, 94105,,
20,20,"$3,187",1 Bed,1 Bath,13h ago,One Henry AdamsOur team has verified this property1 Henry Adams St,San Francisco,CA, 94103,,
21,21,"$2,513",1 Bed,1 Bath,13h ago,SoMa SquareOur team has verified this property1 Saint Francis Pl,San Francisco,CA, 94107,,
22,22,"$2,796",1 Bed,1 Bath,14h ago,Potrero 1010Our team has verified this property1010 16th St,San Francisco,CA, 94107,,
23,23,"$2,750",1 Bed,1 Bath,18h ago,2128 Van NessOur team has verified this property2128 Van Ness Ave,San Francisco,CA, 94109,,
24,24,"$3,095",1 Bed,1 Bath,18h ago,99 LupineOur team has verified this property99 Lupine Ave,San Francisco,CA, 94118,,
25,25,"$2,795",1 Bed,1 Bath,18h ago,665 PineOur team has verified this property665 Pine St,San Francisco,CA, 94108,,
26,26,"$3,195",1 Bed,1 Bath,18h ago,1965 PageOur team has verified this property1965 Page St,San Francisco,CA, 94117,,
27,27,"$2,350",1 Bed,1 Bath,19h ago,466 Clementina St,San Francisco,CA, 94103,,
28,28,"$2,804",1 Bed,1 Bath,20h ago,2133 Stockton Street ApartmentsOur team has verified this property2133 Stockton St,San Francisco,CA, 94133,,
29,29,"$2,549",1 Bed,1 Bath,20h ago,33 8th at Trinity PlaceOur team has verified this property33 8th St,San Francisco,CA, 94103,,
30,30,"$3,471",1 Bed,1 Bath,21h ago,Channel Mission Bay185 Channel St,San Francisco,CA, 94158,,
31,31,"$1,900",1 Bed,1 Bath,21h ago,508 Congo Street,San Francisco,CA, 94131,,
32,32,"$2,746",1 Bed,1 Bath,1d ago,The Madelon2000 Bryant St,San Francisco,CA, 94110,,
33,33,"$4,650",1 Bed,1 Bath,1d ago,401 Harrison St ,San Francisco,CA, 94105,,
34,34,"$2,550",1 Bed,1 Bath,1d ago,544 Jersey Street ,San Francisco,CA, 94114,,
35,35,"$3,049",1 Bed,1 Bath,1d ago,MB360Our team has verified this property1200 4th St,San Francisco,CA, 94158,,
36,36,"$2,630",1 Bed,1 Bath,1d ago,Fox PlazaOur team has verified this property1390 Market St Ste 107,San Francisco,CA, 94102,,
37,37,"$2,495",1 Bed,1 Bath,1d ago,1030-1042 PolkOur team has verified this property1030 Polk St,San Francisco,CA, 94109,,
38,38,"$3,295",1 Bed,1 Bath,1d ago,22 Rausch St ,San Francisco,CA, 94103,,
39,39,"$3,395",1 Bed,1 Bath,1d ago,3101 Gough St ,San Francisco,CA, 94123,,
40,40,"$3,899",1 Bed,1 Bath,1d ago,388 Beale388 Beale St,San Francisco,CA, 94105,,
41,41,"$2,799",1 Bed,1 Bath,1d ago,Park WestOur team has verified this property1201 Funston Ave,San Francisco,CA, 94122,,
42,42,"$3,099",1 Bed,1 Bath,1d ago,500 FolsomOur team has verified this property500 Folsom St,San Francisco,CA, 94105,,
43,43,"$1,450",1 Bed,1 Bath,1d ago,470 Grove St,San Francisco,CA, 94102,,
44,44,"$3,895",1 Bed,1 Bath,1d ago,1690 North PointOur team has verified this property1690 N Point St,San Francisco,CA, 94123,,
45,45,"$2,895",1 Bed,1 Bath,1d ago,990 GearyOur team has verified this property990 Geary St,San Francisco,CA, 94109,,
46,46,"$2,465",1 Bed,1 Bath,1d ago,AVA Nob HillOur team has verified this property965 Sutter St,San Francisco,CA, 94109,,
47,47,"$2,500",1 Bed,1 Bath,1d ago,156 Duboce Ave ,San Francisco,CA, 94103,,
48,48,"$2,395",1 Bed,1 Bath,1d ago,1230 Hyde Street1230 Hyde St,San Francisco,CA, 94109,,
49,49,"$3,495",1 Bed,1 Bath,1d ago,656 Post St ,San Francisco,CA, 94109,,
50,50,"$2,700",1 Bed,1 Bath,1d ago,924 Fulton Street924 Fulton St,San Francisco,CA, 94117,,
51,51,"$2,700",1 Bed,1 Bath,1d ago,1332 10th Ave ,San Francisco,CA, 94122,,
52,52,"$2,495",1 Bed,1 Bath,1d ago,1706 Steiner Street1706 Steiner St,San Francisco,CA, 94115,,
53,53,"$2,500",1 Bed,1 Bath,1d ago,2848 California St.2848 California St,San Francisco,CA, 94115,,
54,54,"$2,350",1 Bed,1 Bath,1d ago,2224 Union Street2224 Union St,San Francisco,CA, 94123,,
55,55,"$2,795",1 Bed,1 Bath,1d ago,201 Moraga Street201 Moraga St,San Francisco,CA, 94122,,
56,56,"$3,500",1 Bed,1 Bath,1d ago,3035 Gough Street3035 Gough St,San Francisco,CA, 94123,,
57,57,"$2,995",1 Bed,1 Bath,1d ago,764 North Point Street764 N Point St,San Francisco,CA, 94109,,
58,58,"$2,300",1 Bed,1 Bath,1d ago,555-557 24th Avenue555 24th Ave,San Francisco,CA, 94121,,
59,59,"$2,917",1 Bed,1 Bath,1d ago,The CivicOur team has verified this property101 Polk St,San Francisco,CA, 94102,,
60,60,"$3,090",1 Bed,1 Bath,1d ago,Bayside Village3 Bayside Village Pl,San Francisco,CA, 94107,,
61,61,"$5,050",1 Bed,1 Bath,1d ago,8 10th St ,San Francisco,CA, 94103,,
62,62,"$4,810",1 Bed,1 Bath,1d ago,340 Fremont St ,San Francisco,CA, 94105,,
63,63,"$2,000",1 Bed,1 Bath,1d ago,800 Faxon Ave,San Francisco,CA, 94112,,
64,64,"$3,340",1 Bed,1 Bath,1d ago,100 Van Ness100 Van Ness Ave,San Francisco,CA, 94102,,
65,65,"$2,922",1 Bed,1 Bath,1d ago,150 Van Ness150 Van Ness Ave,San Francisco,CA, 94102,,
66,66,"$2,700",1 Bed,1 Bath,1d ago,634 PowellOur team has verified this property634 Powell St,San Francisco,CA, 94108,,
67,67,"$3,676",1 Bed,1 Bath,1d ago,340 FremontOur team has verified this property340 Fremont St,San Francisco,CA, 94105,,
68,68,"$2,384",1 Bed,1 Bath,1d ago,Geary CourtyardOur team has verified this property639 Geary St,San Francisco,CA, 94102,,
69,69,"$3,115",1 Bed,1 Bath,1d ago,Modera Rincon HillOur team has verified this property390 1st St,San Francisco,CA, 94105,,
70,70,"$3,995",1 Bed,1 Bath,1d ago,2921 Washington St ,San Francisco,CA, 94115,,
71,71,"$2,895",1 Bed,1 Bath,1d ago,350 JudahOur team has verified this property350 Judah St,San Francisco,CA, 94122,,
72,72,"$3,095",1 Bed,1 Bath,1d ago,324 LarkinOur team has verified this property324 Larkin St,San Francisco,CA, 94102,,
73,73,"$2,845",1 Bed,1 Bath,1d ago,925 PierceOur team has verified this property925 Pierce St,San Francisco,CA, 94115,,
74,74,"$2,795",1 Bed,1 Bath,1d ago,50 LagunaOur team has verified this property50 Laguna St,San Francisco,CA, 94102,,
75,75,"$2,745",1 Bed,1 Bath,1d ago,920 LeavenworthOur team has verified this property920 Leavenworth St,San Francisco,CA, 94109,,
76,76,"$2,795",1 Bed,1 Bath,1d ago,155 BartlettOur team has verified this property155 Bartlett St,San Francisco,CA, 94110,,
77,77,"$2,695",1 Bed,1 Bath,1d ago,721 GearyOur team has verified this property721 Geary St,San Francisco,CA, 94109,,
78,78,"$4,295",1 Bed,1 Bath,1d ago,3839 DivisaderoOur team has verified this property3839 Divisadero St,San Francisco,CA, 94123,,
79,79,"$3,895",1 Bed,1 Bath,1d ago,3809 20th StreetOur team has verified this property3809 20th St,San Francisco,CA, 94114,,
80,80,"$2,745",1 Bed,1 Bath,1d ago,610 LeavenworthOur team has verified this property610 Leavenworth St,San Francisco,CA, 94109,,
81,81,"$2,895",1 Bed,1 Bath,1d ago,840 CaliforniaOur team has verified this property840 California St,San Francisco,CA, 94108,,
82,82,"$3,049",1 Bed,1 Bath,1d ago,Crystal Tower ApartmentsOur team has verified this property2140 Taylor St,San Francisco,CA, 94133,,
83,83,"$3,299",1 Bed,1 Bath,1d ago,Clay Park Tower ApartmentsOur team has verified this property1890 Clay St,San Francisco,CA, 94109,,
84,84,"$2,892",1 Bed,1 Bath,1d ago,333 Fremont333 Fremont St,San Francisco,CA, 94105,,
85,85,"$3,242",1 Bed,1 Bath,1d ago,The Landing1395 22nd St,San Francisco,CA, 94107,,
86,86,"$3,689",1 Bed,1 Bath,1d ago,Venue1155 4th St,San Francisco,CA, 94158,,
87,87,"$3,185",1 Bed,1 Bath,1d ago,Strata at Mission Bay1201 4th St,San Francisco,CA, 94158,,
88,88,"$2,199",1 Bed,1 Bath,1d ago,Trinity Towers ApartmentsOur team has verified this property888 Ofarrell St,San Francisco,CA, 94109,,
89,89,"$2,599",1 Bed,1 Bath,1d ago,230 Dolores Street Apartments230 Dolores St,San Francisco,CA, 94103,,
90,90,"$2,999",1 Bed,1 Bath,1d ago,240 Dolores Street ApartmentsOur team has verified this property240 Dolores St,San Francisco,CA, 94103,,
91,91,"$3,249",1 Bed,1 Bath,1d ago,2000 Broadway Street ApartmentsOur team has verified this property2000 Broadway St,San Francisco,CA, 94115,,
92,92,"$4,147",1 Bed,1 Bath,2d ago,399 Fremont399 Fremont St,San Francisco,CA, 94105,,
93,93,"$3,560",1 Bed,1 Bath,2d ago,400 Clementina St ,San Francisco,CA, 94103,,
94,94,"$4,270",1 Bed,1 Bath,2d ago,1285 Sutter St ,San Francisco,CA, 94109,,
95,95,"$4,770",1 Bed,1 Bath,2d ago,8 10th St ,San Francisco,CA, 94103,,
96,96,"$4,800",1 Bed,1 Bath,2d ago,2 Townsend St ,San Francisco,CA, 94107,,
97,97,"$4,340",1 Bed,1 Bath,2d ago,1222 Harrison St ,San Francisco,CA, 94103,,
98,98,"$4,790",1 Bed,1 Bath,2d ago,899 Pine St ,San Francisco,CA, 94108,,
99,99,"$4,750",1 Bed,1 Bath,2d ago,2 Townsend St ,San Francisco,CA, 94107,,
100,100,"$4,250",1 Bed,1 Bath,2d ago,690 Long Bridge St ,San Francisco,CA, 94158,,
101,101,"$4,280",1 Bed,1 Bath,2d ago,185 Channel St ,San Francisco,CA, 94158,,
102,102,"$5,030",1 Bed,1 Bath,2d ago,2 Townsend St ,San Francisco,CA, 94107,,
103,103,"$5,160",1 Bed,1 Bath,2d ago,18 10th St ,San Francisco,CA, 94103,,
104,104,"$5,230",1 Bed,1 Bath,2d ago,18 10th St ,San Francisco,CA, 94103,,
105,105,"$4,430",1 Bed,1 Bath,2d ago,30 Otis St ,San Francisco,CA, 94103,,
106,106,"$3,730",1 Bed,1 Bath,2d ago,900 Folsom St ,San Francisco,CA, 94107,,
107,107,"$4,190",1 Bed,1 Bath,2d ago,30 Otis St ,San Francisco,CA, 94103,,
108,108,"$4,780",1 Bed,1 Bath,2d ago,899 Pine St ,San Francisco,CA, 94108,,
109,109,"$2,300",1 Bed,1 Bath,2d ago,480 Potrero Ave ,San Francisco,CA, 94110,,
