,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$1,850",1 Bed,1 Bath,5h ago,5039 Hamilton Wolfe RoadOur team has verified this property5039 Hamilton Wolfe Rd ,San Antonio,TX, 78229,,
1,1,"$1,602",1 Bed,1 Bath,8h ago,100 N SANTA ROSA AVENUEOur team has verified this property100 N Santa Rosa ,San Antonio,TX, 78207,,
2,2,"$1,340",1 Bed,1 Bath,10h ago,20915 WILDERNESS OAKOur team has verified this property20915 Wilderness Oak,San Antonio,TX, 78258,,
3,3,"$1,067",1 Bed,1 Bath,10h ago,2424 Gold Canyon Rd.Our team has verified this property2424 Gold Canyon Rd,San Antonio,TX, 78259,,
4,4,"$1,200",1 Bed,1 Bath,10h ago,327 W SUNSET RDOur team has verified this property327 W Sunset Rd ,San Antonio,TX, 78209,,
5,5,"$1,144",1 Bed,1 Bath,10h ago,6522 CAMP BULLIS RDOur team has verified this property6522 Camp Bullis Rd ,San Antonio,TX, 78256,,
6,6,"$1,200",1 Bed,1 Bath,10h ago,17715 OVERLOOK LOOPOur team has verified this property17715 Overlook Loop ,San Antonio,TX, 78259,,
7,7,"$1,500",1 Bed,1 Bath,10h ago,6215 VIA LA CANTERAOur team has verified this property6215 Via La Cantera ,San Antonio,TX, 78256,,
8,8,"$1,287",1 Bed,1 Bath,10h ago,25051 IH-10 WESTOur team has verified this property25051 W Interstate 10 ,San Antonio,TX, 78257,,
9,9,"$1,053",1 Bed,1 Bath,10h ago,1703 EVANS RDOur team has verified this property1703 Evans Rd,San Antonio,TX, 78258,,
10,10,"$1,160",1 Bed,1 Bath,10h ago,5114 MEDICAL DRIVEOur team has verified this property5114 Medical Dr ,San Antonio,TX, 78229,,
11,11,"$1,097",1 Bed,1 Bath,10h ago,4980 USAA Blvd.Our team has verified this property4980 Usaa Blvd ,San Antonio,TX, 78240,,
12,12,"$1,040",1 Bed,1 Bath,10h ago,1835 LOCKHILL SELMA ROADOur team has verified this property1835 Lockhill Selma Rd ,San Antonio,TX, 78213,,
13,13,"$1,306",1 Bed,1 Bath,12h ago,Tacara at Crosswinds11411 Crosswinds Way,San Antonio,TX, 78233,,
14,14,"$1,360",1 Bed,1 Bath,17h ago,8823 Dugas Dr,San Antonio,TX, 78251,,
15,15,"$1,148",1 Bed,1 Bath,20h ago,Encore281Our team has verified this property24442 Us Highway 281 N,San Antonio,TX, 78258,,
16,16,"$1,262",1 Bed,1 Bath,20h ago,Hardy OakOur team has verified this property23975 Hardy Oak Blvd,San Antonio,TX, 78260,,
17,17,"$1,332",1 Bed,1 Bath,20h ago,Jones and RioOur team has verified this property111 W Jones Ave,San Antonio,TX, 78215,,
18,18,"$1,310",1 Bed,1 Bath,20h ago,The St. JohnOur team has verified this property222 E Mitchell St,San Antonio,TX, 78210,,
19,19,"$1,230",1 Bed,1 Bath,20h ago,The Flats at Big TexOur team has verified this property423 Blue Star,San Antonio,TX, 78204,,
20,20,"$1,654",1 Bed,1 Bath,20h ago,The AtleeOur team has verified this property402 Holland Ave,San Antonio,TX, 78212,,
21,21,"$1,424",1 Bed,1 Bath,20h ago,Berkshire at the RimOur team has verified this property5650 Worth Pkwy,San Antonio,TX, 78257,,
22,22,"$1,160",1 Bed,1 Bath,20h ago,Fifty02 Westover HillsOur team has verified this property5002 Wiseman Blvd,San Antonio,TX, 78251,,
23,23,"$1,105",1 Bed,1 Bath,20h ago,Estraya Westover HillsOur team has verified this property1626 N Ellison Dr,San Antonio,TX, 78251,,
24,24,"$1,089",1 Bed,1 Bath,20h ago,Overlook at Stone Oak Park ApartmentsOur team has verified this property22202 Estate Hill Dr,San Antonio,TX, 78258,,
25,25,"$1,100",1 Bed,1 Bath,22h ago,Siena on SonterraOur team has verified this property600 E Sonterra Blvd,San Antonio,TX, 78258,,
26,26,"$1,446",1 Bed,1 Bath,1d ago,19414 BABCOCK RDOur team has verified this property19414 Babcock Rd ,San Antonio,TX, 78255,,
27,27,"$1,400",1 Bed,1 Bath,1d ago,17803 LA CANTERAOur team has verified this property17803 La Cantera Ter ,San Antonio,TX, 78256,,
28,28,"$1,153",1 Bed,1 Bath,1d ago,8639 FAIRHAVEN STOur team has verified this property8639 Fairhaven St ,San Antonio,TX, 78229,,
29,29,"$1,422",1 Bed,1 Bath,1d ago,680 E BASSE RDOur team has verified this property680 E Basse Rd ,San Antonio,TX, 78209,,
30,30,"$1,200",1 Bed,1 Bath,1d ago,20838 BLANCO RDOur team has verified this property20838 Blanco Rd ,San Antonio,TX, 78260,,
31,31,"$1,140",1 Bed,1 Bath,1d ago,5126  N LOOP 1604 EOur team has verified this property5126 N Loop 1604 E ,San Antonio,TX, 78247,,
32,32,"$1,152",1 Bed,1 Bath,1d ago,8910 NORTH LOOP 1604 WESTOur team has verified this property8910 N Loop 1604 W ,San Antonio,TX, 78249,,
33,33,"$1,368",1 Bed,1 Bath,1d ago,18102 TALAVERA RIDGEOur team has verified this property18102 Talavera Rdg ,San Antonio,TX, 78257,,
34,34,"$1,145",1 Bed,1 Bath,1d ago,6155 ECKHERT RDOur team has verified this property6155 Eckhert Rd ,San Antonio,TX, 78240,,
35,35,"$1,265",1 Bed,1 Bath,1d ago,6039 WHITBY RDOur team has verified this property6039 Whitby Rd ,San Antonio,TX, 78240,,
36,36,"$1,310",1 Bed,1 Bath,1d ago,6107 VIA LA CANTERAOur team has verified this property6107 Via La Cantera ,San Antonio,TX, 78256,,
37,37,"$1,030",1 Bed,1 Bath,1d ago,5803 UTSA BLVDOur team has verified this property5803 Utsa Blvd ,San Antonio,TX, 78249,,
38,38,"$1,109",1 Bed,1 Bath,1d ago,6674 Prue RdOur team has verified this property6674 Prue Rd ,San Antonio,TX, 78240,,
39,39,"$1,000",1 Bed,1 Bath,1d ago,8010 AEROMEDICALOur team has verified this property8010 Aeromedical Rd ,San Antonio,TX, 78235,,
40,40,"$1,621",1 Bed,1 Bath,1d ago,714 McCULLOUGH AVEOur team has verified this property714 Mccullough Ave ,San Antonio,TX, 78215,,
41,41,"$1,495",1 Bed,1 Bath,1d ago,633 S ST  MARYSOur team has verified this property633 S Saint Marys St ,San Antonio,TX, 78205,,
42,42,"$1,465",1 Bed,1 Bath,1d ago,21626 STONEWALL PKWYOur team has verified this property21626 Stonewall Pkwy ,San Antonio,TX, 78256,,
43,43,"$1,228",1 Bed,1 Bath,1d ago,Estates at Canyon Ridge20614 Stone Oak Pkwy,San Antonio,TX, 78258,,
44,44,"$1,965",1 Bed,1 Bath,1d ago,120 9th StOur team has verified this property120 9th St,San Antonio,TX, 78215,,
45,45,"$1,740",1 Bed,1 Bath,1d ago,20303 Stone Oak ParkwayOur team has verified this property20303 Stone Oak Pkwy ,San Antonio,TX, 78258,,
46,46,"$1,900",1 Bed,1 Bath,1d ago,14614 Vance Jackson RoadOur team has verified this property14614 Vance Jackson Rd ,San Antonio,TX, 78249,,
47,47,"$1,960",1 Bed,1 Bath,1d ago,20710 Huebner RdOur team has verified this property20710 Huebner Rd,San Antonio,TX, 78258,,
48,48,"$1,431",1 Bed,1 Bath,1d ago,111 W JONES AVEOur team has verified this property111 W Jones Ave ,San Antonio,TX, 78215,,
49,49,"$1,299",1 Bed,1 Bath,1d ago,Cypress at Stone Oak24345 Wilderness Oak,San Antonio,TX, 78258,,
50,50,"$1,095",1 Bed,1 Bath,1d ago,13400 BLANCO RD.Our team has verified this property13400 Blanco Rd ,San Antonio,TX, 78216,,
51,51,"$1,435",1 Bed,1 Bath,1d ago,710 S MEDINA STOur team has verified this property710 S Medina ,San Antonio,TX, 78207,,
52,52,"$1,249",1 Bed,1 Bath,1d ago,215 E CEVALLOSOur team has verified this property215 E Cevallos,San Antonio,TX, 78204,,
53,53,"$1,080",1 Bed,1 Bath,1d ago,12727 VISTA DEL NORTEOur team has verified this property12727 Vista Del Norte ,San Antonio,TX, 78216,,
54,54,"$1,199",1 Bed,1 Bath,1d ago,Tacara at Westover Hills8543 State Highway 151,San Antonio,TX, 78245,,
55,55,"$1,163",1 Bed,1 Bath,1d ago,Anderson at BrooksOur team has verified this property7938 City Base Lndg,San Antonio,TX, 78235,,
56,56,"$1,239",1 Bed,1 Bath,1d ago,Brio at LookoutOur team has verified this property7311 N Loop 1604 E,San Antonio,TX, 78233,,
