,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,398",1 Bed,1 Bath,5d+ ago,La Jolla NobelOur team has verified this property4247 Nobel Drive,San Diego,CA, 92122,,
1,1,"$2,568",1 Bed,1 Bath,4d ago,Avia La Jolla Phase 1 - Senior Living (55+ Community)Our team has verified this property6345 Gullstrand Street,San Diego,CA, 92122,,
2,2,"$2,586",1 Bed,1 Bath,2d ago,La Jolla Del Rey Senior  55+Our team has verified this property4655 Governor Drive,San Diego,CA, 92122,,
3,3,"$2,621",1 Bed,1 Bath,3h ago,Canyon RidgeOur team has verified this property3187 Cowley Way,San Diego,CA, 92117,,
4,4,"$2,950",1 Bed,1 Bath,5d+ ago,SolterraOur team has verified this property9865 Erma Road,San Diego,CA, 92131,,
5,5,"$3,235",1 Bed,1 Bath,5d+ ago,Aquatera Apartment HomesOur team has verified this property5777 Mission Center Road,San Diego,CA, 92108,,
6,6,"$2,740",1 Bed,1 Bath,5h ago,Avalon La Jolla ColonyOur team has verified this property7205 Charmant Dr,San Diego,CA, 92122,,
7,7,"$2,625",1 Bed,1 Bath,5h ago,AVA Pacific BeachOur team has verified this property3883 Ingraham St,San Diego,CA, 92109,,
8,8,"$2,950",1 Bed,1 Bath,5h ago,2212 Gill Village Way,San Diego,CA, 92108,,
9,9,"$1,650",1 Bed,1 Bath,8h ago,3999 Old Town Ave.3999 Old Town Ave,San Diego,CA, 92110,,
10,10,"$1,900",1 Bed,1 Bath,12h ago,2709-15 Broadway2709 Broadway,San Diego,CA, 92102,,
11,11,"$2,600",1 Bed,1 Bath,12h ago,2955 Lawrence St,San Diego,CA, 92106,,
12,12,"$2,195",1 Bed,1 Bath,12h ago,3754 32nd St.3754 32nd St,San Diego,CA, 92104,,
13,13,"$2,761",1 Bed,1 Bath,12h ago,Camden TuscanyOur team has verified this property1670 Kettner Blvd Ste 2,San Diego,CA, 92101,,
14,14,"$2,591",1 Bed,1 Bath,14h ago,Modera San DiegoOur team has verified this property1445 K St,San Diego,CA, 92101,,
15,15,"$2,400",1 Bed,1 Bath,14h ago,1465 C St ,San Diego,CA, 92101,,
16,16,"$2,500",1 Bed,1 Bath,14h ago,1333 8th Ave ,San Diego,CA, 92101,,
17,17,"$2,374",1 Bed,1 Bath,14h ago,Carmel TerraceOur team has verified this property11540 Windcrest Ln,San Diego,CA, 92128,,
18,18,"$2,450",1 Bed,1 Bath,17h ago,1361 Grand Ave ,San Diego,CA, 92109,,
19,19,"$2,100",1 Bed,1 Bath,18h ago,2905 Thorn Street,San Diego,CA, 92104,,
20,20,"$2,949",1 Bed,1 Bath,18h ago,The Village at Del Mar HeightsOur team has verified this property13138 Kellam Ct,San Diego,CA, 92130,,
21,21,"$2,558",1 Bed,1 Bath,20h ago,Domain San DiegoOur team has verified this property8798 Spectrum Center Blvd,San Diego,CA, 92123,,
22,22,"$2,600",1 Bed,1 Bath,20h ago,Purl ApartmentsOur team has verified this property7901 Civita Blvd,San Diego,CA, 92108,,
23,23,"$2,965",1 Bed,1 Bath,20h ago,Circa 37Our team has verified this property7800 Westside Dr,San Diego,CA, 92108,,
24,24,"$2,558",1 Bed,1 Bath,20h ago,Vive on The ParkOur team has verified this property8725 Ariva Ct,San Diego,CA, 92123,,
25,25,"$2,818",1 Bed,1 Bath,21h ago,The ReyOur team has verified this property801 A St,San Diego,CA, 92101,,
26,26,"$2,824",1 Bed,1 Bath,1d ago,Bradbury at The Society610 Del Sol Dr,San Diego,CA, 92108,,
27,27,"$2,137",1 Bed,1 Bath,1d ago,Mira MonteOur team has verified this property10360 Maya Linda Rd,San Diego,CA, 92126,,
28,28,"$2,197",1 Bed,1 Bath,1d ago,EsplanadeOur team has verified this property10201 Camino Ruiz,San Diego,CA, 92126,,
29,29,"$2,539",1 Bed,1 Bath,1d ago,CentrePointeOur team has verified this property6540 Friars Rd,San Diego,CA, 92108,,
30,30,"$2,562",1 Bed,1 Bath,1d ago,Carmel SummitOur team has verified this property11795 Stoney Peak Dr,San Diego,CA, 92128,,
31,31,"$2,338",1 Bed,1 Bath,1d ago,Carmel LandingOur team has verified this property11505 Windcrest Ln,San Diego,CA, 92128,,
32,32,"$3,052",1 Bed,1 Bath,1d ago,Carmel CreekOur team has verified this property11724 Carmel Creek Rd,San Diego,CA, 92130,,
33,33,"$2,601",1 Bed,1 Bath,1d ago,Cambridge ParkOur team has verified this property3394 Daley Center Dr,San Diego,CA, 92123,,
34,34,"$2,284",1 Bed,1 Bath,1d ago,Bernardo CrestOur team has verified this property11820 Paseo Lucido,San Diego,CA, 92128,,
35,35,"$2,995",1 Bed,1 Bath,1d ago,2254 Moore StOur team has verified this property2254 Moore St ,San Diego,CA, 92110,,
36,36,"$2,076",1 Bed,1 Bath,1d ago,Redwood Gardens ApartmentsOur team has verified this property328 1st Ave,San Diego,CA, 92101,,
37,37,"$2,622",1 Bed,1 Bath,1d ago,The Promenade Rio Vista2185 Station Village Way,San Diego,CA, 92108,,
38,38,"$2,695",1 Bed,1 Bath,1d ago,The Broadway Towers1150 E St,San Diego,CA, 92101,,
39,39,"$2,839",1 Bed,1 Bath,1d ago,Avion At Spectrum8811 Spectrum Center Blvd,San Diego,CA, 92123,,
40,40,"$2,295",1 Bed,1 Bath,1d ago,15267 Maturin Dr ,San Diego,CA, 92127,,
41,41,"$2,695",1 Bed,1 Bath,1d ago,3142 Midway Dr ,San Diego,CA, 92110,,
42,42,"$1,795",1 Bed,1 Bath,1d ago,4960 Clairemont Mesa Blvd.4960 Clairemont Mesa Blvd,San Diego,CA, 92117,,
43,43,"$2,195",1 Bed,1 Bath,1d ago,4080 Lamont Street4080 Lamont St,San Diego,CA, 92109,,
44,44,"$2,495",1 Bed,1 Bath,1d ago,2710 Granada Ave,San Diego,CA, 92104,,
45,45,"$2,595",1 Bed,1 Bath,1d ago,6009 Rancho Mission Rd ,San Diego,CA, 92108,,
46,46,"$1,995",1 Bed,1 Bath,1d ago,4065 - 4071 Chamoune Avenue4065 4065 - 4071 Chamoune Avenue,San Diego,CA, 92105,,
47,47,"$2,095",1 Bed,1 Bath,1d ago,2924-2932 Suncrest Dr.2924 Suncrest Dr,San Diego,CA, 92116,,
48,48,"$2,650",1 Bed,1 Bath,1d ago,DRIFT PB1727 Chalcedony St,San Diego,CA, 92109,,
49,49,"$2,195",1 Bed,1 Bath,1d ago,4034-4036 32nd St4034 32nd St,San Diego,CA, 92104,,
50,50,"$3,250",1 Bed,1 Bath,1d ago,Pioneer Warehouse LoftsOur team has verified this property311 4th Ave,San Diego,CA, 92101,,
51,51,"$2,395",1 Bed,1 Bath,1d ago,4224 Ohio St.4224 Ohio St,San Diego,CA, 92104,,
52,52,"$1,895",1 Bed,1 Bath,1d ago,4242 Campus Ave4242 Campus Ave,San Diego,CA, 92103,,
53,53,"$2,295",1 Bed,1 Bath,1d ago,1236 Felspar Street1236 Felspar St,San Diego,CA, 92109,,
54,54,"$1,285",1 Bed,1 Bath,1d ago,3835 Swift Ave.3835 Swift Ave,San Diego,CA, 92104,,
55,55,"$2,100",1 Bed,1 Bath,1d ago,Stadium Arms Apartments4525 Twain Ave,San Diego,CA, 92120,,
56,56,"$1,795",1 Bed,1 Bath,1d ago,225 Redwood Street225 Redwood St,San Diego,CA, 92103,,
57,57,"$2,330",1 Bed,1 Bath,1d ago,Bay Pointe ApartmentsOur team has verified this property3866 Ingraham St,San Diego,CA, 92109,,
58,58,"$2,539",1 Bed,1 Bath,1d ago,Olympus CorsairOur team has verified this property8583 Aero Dr,San Diego,CA, 92123,,
59,59,"$2,960",1 Bed,1 Bath,1d ago,Mara Pacific BeachOur team has verified this property4275 Mission Bay Dr,San Diego,CA, 92109,,
60,60,"$2,500",1 Bed,1 Bath,1d ago,Cornerstone Lofts302 Island Ave,San Diego,CA, 92101,,
61,61,"$2,295",1 Bed,1 Bath,1d ago,Golden Pacific Apartments1015,1055,10,"75, 10",,
62,62,"$2,395",1 Bed,1 Bath,1d ago,1010 33rd St.1010 33rd St,San Diego,CA, 92102,,
63,63,"$1,995",1 Bed,1 Bath,1d ago,7830-7870 Stalmer St.7830 Stalmer St,San Diego,CA, 92111,,
64,64,"$2,890",1 Bed,1 Bath,1d ago,5945 Linda Vista Rd,San Diego,CA, 92110,,
65,65,"$1,845",1 Bed,1 Bath,1d ago,1440 Lincoln Ave ,San Diego,CA, 92103,,
66,66,"$2,995",1 Bed,1 Bath,1d ago,3067 5th Ave.3067 5th Ave,San Diego,CA, 92103,,
67,67,"$2,295",1 Bed,1 Bath,1d ago,3455 Del Rey Street3455 Del Rey St,San Diego,CA, 92109,,
68,68,"$3,220",1 Bed,1 Bath,1d ago,Regents La Jolla9253 Regents Rd,San Diego,CA, 92037,,
69,69,"$2,586",1 Bed,1 Bath,2d ago,La Jolla Del Rey Senior  55+Our team has verified this property4655 Governor Drive,San Diego,CA, 92122,,
70,70,"$3,150",1 Bed,1 Bath,2d ago,5318 Sunglow Ct,San Diego,CA, 92117,,
71,71,"$3,100",1 Bed,1 Bath,2d ago,1605 Hotel Cir S ,San Diego,CA, 92108,,
72,72,"$2,786",1 Bed,1 Bath,2d ago,Ridgewood VillageOur team has verified this property12435 Heatherton Ct,San Diego,CA, 92128,,
73,73,"$2,514",1 Bed,1 Bath,2d ago,Form 15Our team has verified this property1450 Market St,San Diego,CA, 92101,,
74,74,"$2,700",1 Bed,1 Bath,2d ago,2825 29th St,San Diego,CA, 92104,,
75,75,"$2,650",1 Bed,1 Bath,2d ago,3511 Park Blvd ,San Diego,CA, 92103,,
76,76,"$1,695",1 Bed,1 Bath,2d ago,1625 Brookes Ave ,San Diego,CA, 92103,,
77,77,"$2,175",1 Bed,1 Bath,2d ago,Terra at Mission TrailsOur team has verified this property7707 Mission Gorge Rd,San Diego,CA, 92120,,
78,78,"$2,350",1 Bed,1 Bath,2d ago,2120 MISSION AVE2120 Mission Ave,San Diego,CA, 92116,,
79,79,"$2,095",1 Bed,1 Bath,2d ago,4085 Idaho Street4085 Idaho St,San Diego,CA, 92104,,
80,80,"$2,750",1 Bed,1 Bath,2d ago,715 Cohasset Court715 Cohasset Ct,San Diego,CA, 92109,,
81,81,"$2,695",1 Bed,1 Bath,2d ago,VICTORIAN REMODEL GOLDEN HILL ONE BEDROOM930 20th St,San Diego,CA, 92102,,
82,82,"$2,895",1 Bed,1 Bath,2d ago,McClintock Warehouse LoftsOur team has verified this property1202 Kettner Blvd,San Diego,CA, 92101,,
83,83,"$2,021",1 Bed,1 Bath,2d ago,Corinthian ApartmentsOur team has verified this property4981 Catoctin Dr,San Diego,CA, 92115,,
84,84,"$2,240",1 Bed,1 Bath,2d ago,Viridian Lofts1023 4th Ave,San Diego,CA, 92101,,
85,85,"$2,150",1 Bed,1 Bath,2d ago,Steele LoftsOur team has verified this property529 Market St,San Diego,CA, 92101,,
86,86,"$2,195",1 Bed,1 Bath,2d ago,4570 54th St ,San Diego,CA, 92115,,
87,87,"$1,850",1 Bed,1 Bath,2d ago,5005 Trojan Ave5005 Trojan Ave,San Diego,CA, 92115,,
88,88,"$1,750",1 Bed,1 Bath,2d ago,3828 CHEROKEE AVENUE3828 Cherokee Ave,San Diego,CA, 92104,,
89,89,"$2,200",1 Bed,1 Bath,2d ago,4052 Oregon St4052 Oregon St,San Diego,CA, 92104,,
90,90,"$1,925",1 Bed,1 Bath,2d ago,4644 MISSISSIPPI STREET4644 Mississippi St,San Diego,CA, 92116,,
91,91,"$1,950",1 Bed,1 Bath,2d ago,4911-23 W. Point Loma Blvd.4911 W Point Loma Blvd,San Diego,CA, 92107,,
92,92,"$3,759",1 Bed,1 Bath,2d ago,Camden HillcrestOur team has verified this property4305 3rd Ave,San Diego,CA, 92103,,
93,93,"$2,495",1 Bed,1 Bath,2d ago,Park Place Apartments13850 Mango Dr,San Diego,CA, 92014,,
94,94,"$1,925",1 Bed,1 Bath,2d ago,4710 Point Loma Ave ,San Diego,CA, 92107,,
95,95,"$2,350",1 Bed,1 Bath,2d ago,4076 1/2 30th St,San Diego,CA, 92104,,
96,96,"$2,295",1 Bed,1 Bath,2d ago,The Anderson,Hillcrest - TWO WEEKS FREE!526 Anderson Pl,Sa,n Dieg,,
97,97,"$3,395",1 Bed,1 Bath,2d ago,Strata969 Market St,San Diego,CA, 92101,,
98,98,"$2,075",1 Bed,1 Bath,2d ago,Palmilla5474 Reservoir Dr,San Diego,CA, 92120,,
99,99,"$2,398",1 Bed,1 Bath,2d ago,La Jolla NobelOur team has verified this property4247 Nobel Drive,San Diego,CA, 92122,,
100,100,"$2,859",1 Bed,1 Bath,3d ago,Felix at The Society310 Del Sol Dr,San Diego,CA, 92108,,
101,101,"$3,193",1 Bed,1 Bath,3d ago,Del Mar RidgeOur team has verified this property12629 El Camino Real,San Diego,CA, 92130,,
102,102,"$2,700",1 Bed,1 Bath,3d ago,Cresta Bella11035 Via Livorno,San Diego,CA, 92129,,
103,103,"$2,500",1 Bed,1 Bath,3d ago,8532 Via Mallorca ,San Diego,CA, 92037,,
104,104,"$2,400",1 Bed,1 Bath,3d ago,3907 Georgia St ,San Diego,CA, 92103,,
105,105,"$3,350",1 Bed,1 Bath,3d ago,Nimitz Crossing3909 Voltaire St,San Diego,CA, 92107,,
106,106,"$2,000",1 Bed,1 Bath,3d ago,4148 VAN DYKE AVENUE4148 Van Dyke Ave,San Diego,CA, 92105,,
107,107,"$2,295",1 Bed,1 Bath,3d ago,6648-6650 Bell Court6648 Bell Ct,San Diego,CA, 92111,,
108,108,"$2,750",1 Bed,1 Bath,3d ago,4870 LongBranch4870 Long Branch Ave,San Diego,CA, 92107,,
109,109,"$2,895",1 Bed,1 Bath,3d ago,Buzz Golden Hill2995 B St,San Diego,CA, 92102,,
