,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,299",1 Bed,1 Bath,2d ago,Glenbrook ApartmentsOur team has verified this property130 Roundtable Dr,San Jose,CA, 95111,,
1,1,"$2,299",1 Bed,1 Bath,1d ago,Palm Court ApartmentsOur team has verified this property750 N 23rd St,San Jose,CA, 95112,,
2,2,"$3,360",1 Bed,1 Bath,2h ago,3100 Rubino Dr ,San Jose,CA, 95125,,
3,3,"$3,430",1 Bed,1 Bath,2h ago,3100 Rubino Dr ,San Jose,CA, 95125,,
4,4,"$3,280",1 Bed,1 Bath,2h ago,3100 Rubino Dr ,San Jose,CA, 95125,,
5,5,"$2,655",1 Bed,1 Bath,3h ago,The LexOur team has verified this property5560 Lexington Ave,San Jose,CA, 95123,,
6,6,"$2,580",1 Bed,1 Bath,5h ago,Avalon at Cahill ParkOur team has verified this property754 The Alameda,San Jose,CA, 95126,,
7,7,"$2,095",1 Bed,1 Bath,12h ago,760-780 Northrup Street760 Northrup St,San Jose,CA, 95126,,
8,8,"$1,980",1 Bed,1 Bath,12h ago,ShadowCreek2474 S Bascom Ave,San Jose,CA, 95008,,
9,9,"$2,379",1 Bed,1 Bath,14h ago,Willow LakeOur team has verified this property1331 Lakeshore Cir,San Jose,CA, 95131,,
10,10,"$2,405",1 Bed,1 Bath,20h ago,Patina at MidtownOur team has verified this property355 Sunol St,San Jose,CA, 95126,,
11,11,"$2,608",1 Bed,1 Bath,22h ago,Modera San Pedro SquareOur team has verified this property28 N Almaden Ave,San Jose,CA, 95110,,
12,12,"$2,045",1 Bed,1 Bath,1d ago,Legacy Fountain Plaza190 Ryland St,San Jose,CA, 95110,,
13,13,"$3,630",1 Bed,1 Bath,1d ago,839 Morrison Park Dr ,San Jose,CA, 95126,,
14,14,"$3,520",1 Bed,1 Bath,1d ago,899 Morrison Park Dr ,San Jose,CA, 95126,,
15,15,"$2,606",1 Bed,1 Bath,1d ago,Waterford PlaceOur team has verified this property1700 N 1st St,San Jose,CA, 95112,,
16,16,"$2,499",1 Bed,1 Bath,1d ago,Villa Veneto at Palm ValleyOur team has verified this property350 La Strada Dr,San Jose,CA, 95123,,
17,17,"$2,582",1 Bed,1 Bath,1d ago,SilverOur team has verified this property333 Sunol St,San Jose,CA, 95126,,
18,18,"$2,517",1 Bed,1 Bath,1d ago,Sage at CupertinoOur team has verified this property175 Calvert Dr,San Jose,CA, 95014,,
19,19,"$2,579",1 Bed,1 Bath,1d ago,Palma Sorrento at Palm ValleyOur team has verified this property250 Palm Valley Blvd,San Jose,CA, 95123,,
20,20,"$2,781",1 Bed,1 Bath,1d ago,Fountains at River OaksOur team has verified this property373 River Oaks Cir,San Jose,CA, 95134,,
21,21,"$2,699",1 Bed,1 Bath,1d ago,EpicOur team has verified this property600 Epic Way,San Jose,CA, 95134,,
22,22,"$2,851",1 Bed,1 Bath,1d ago,EnsoOur team has verified this property175 Baypointe Pkwy,San Jose,CA, 95134,,
23,23,"$2,764",1 Bed,1 Bath,1d ago,360 ResidencesOur team has verified this property360 S Market St,San Jose,CA, 95113,,
24,24,"$2,374",1 Bed,1 Bath,1d ago,101 San FernandoOur team has verified this property101 E San Fernando St Ste 100,San Jose,CA, 95112,,
25,25,"$2,329",1 Bed,1 Bath,1d ago,MarquisOur team has verified this property817 N 10th St,San Jose,CA, 95112,,
26,26,"$2,379",1 Bed,1 Bath,1d ago,Century TowersOur team has verified this property1729 N 1st St,San Jose,CA, 95112,,
27,27,"$2,300",1 Bed,1 Bath,1d ago,Santa Palmia at Palm ValleyOur team has verified this property150 Palm Valley Blvd,San Jose,CA, 95123,,
28,28,"$1,950",1 Bed,1 Bath,1d ago,528 Page St528 Page St,San Jose,CA, 95126,,
29,29,"$1,925",1 Bed,1 Bath,1d ago,494 N 4th Street494 N 4th St,San Jose,CA, 95112,,
