,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,0,"$2,150",1 Bed,1 Bath,1h ago,1845 Burke St Se ,Washington,DC, 20003,,
1,1,"$2,220",1 Bed,1 Bath,2h ago,The MO Apartments500 Penn St Ne,Washington,DC, 20002,,
2,2,"$1,900",1 Bed,1 Bath,5d+ ago,1600 Pennsylvania Avenue SEOur team has verified this property1600 Pennsylvania Ave Se,Washington,DC, 20003,,
3,3,"$2,790",1 Bed,1 Bath,3h ago,55 M St Ne ,Washington,DC, 20002,,
4,4,"$2,570",1 Bed,1 Bath,3h ago,318 I St Ne ,Washington,DC, 20002,,
5,5,"$2,770",1 Bed,1 Bath,3h ago,55 M St Ne ,Washington,DC, 20002,,
6,6,"$2,750",1 Bed,1 Bath,3h ago,318 I St Ne ,Washington,DC, 20002,,
7,7,"$2,530",1 Bed,1 Bath,3h ago,55 M St Ne ,Washington,DC, 20002,,
8,8,"$2,335",1 Bed,1 Bath,20h ago,2255 WisconsinOur team has verified this property2255 Wisconsin Ave Nw,Washington,DC, 20007,,
9,9,"$1,320",1 Bed,1 Bath,3h ago,142 Upsal St Se ,Washington,DC, 20032,,
10,10,"$2,220",1 Bed,1 Bath,4h ago,The MO440 Penn St Ne,Washington,DC, 20002,,
11,11,"$2,310",1 Bed,1 Bath,5h ago,Guild1346 4th St Se,Washington,DC, 20003,,
12,12,"$1,960",1 Bed,1 Bath,5h ago,Twelve121212 4th St Se,Washington,DC, 20003,,
13,13,"$2,220",1 Bed,1 Bath,5h ago,Foundry Lofts301 Tingey St Se,Washington,DC, 20003,,
14,14,"$2,059",1 Bed,1 Bath,5h ago,Camden NoMaOur team has verified this property61 Pierce St Ne,Washington,DC, 20002,,
15,15,"$1,614",1 Bed,1 Bath,5h ago,AVA Van NessOur team has verified this property2950 Van Ness St Nw,Washington,DC, 20008,,
16,16,"$2,180",1 Bed,1 Bath,6h ago,Meridian at Mt. Vernon TriangleOur team has verified this property425 L St Nw,Washington,DC, 20001,,
17,17,"$2,235",1 Bed,1 Bath,10h ago,Vaughan Place3401 38th St Nw,Washington,DC, 20016,,
18,18,"$2,369",1 Bed,1 Bath,10h ago,Latrobe Apartments1325 15th St Nw,Washington,DC, 20005,,
19,19,"$2,178",1 Bed,1 Bath,10h ago,The Shay1921 8th St Nw,Washington,DC, 20001,,
20,20,"$2,095",1 Bed,1 Bath,10h ago,Highland Park1400 Irving St Nw,Washington,DC, 20010,,
21,21,"$1,999",1 Bed,1 Bath,10h ago,Rialto410 Rhode Island Ave Ne,Washington,DC, 20002,,
22,22,"$2,100",1 Bed,1 Bath,11h ago,649 C St Se ,Washington,DC, 20003,,
23,23,"$1,895",1 Bed,1 Bath,13h ago,508 E St Ne ,Washington,DC, 20002,,
24,24,"$1,350",1 Bed,1 Bath,14h ago,351 Parkland Pl Se ,Washington,DC, 20032,,
25,25,"$2,361",1 Bed,1 Bath,19h ago,Park ConnecticutOur team has verified this property4411 Connecticut Ave Nw,Washington,DC, 20008,,
26,26,"$2,151",1 Bed,1 Bath,20h ago,ChalfonteOur team has verified this property1601 Argonne Pl Nw,Washington,DC, 20009,,
27,27,"$2,415",1 Bed,1 Bath,20h ago,Circle ArmsOur team has verified this property2416 K St Nw,Washington,DC, 20037,,
28,28,"$2,498",1 Bed,1 Bath,20h ago,Kew GardensOur team has verified this property2700 Q St Nw,Washington,DC, 20007,,
29,29,"$2,051",1 Bed,1 Bath,20h ago,Quebec HouseOur team has verified this property2800 Quebec St Nw,Washington,DC, 20008,,
30,30,"$1,691",1 Bed,1 Bath,20h ago,The BerkshireOur team has verified this property4201 Massachusetts Ave Nw,Washington,DC, 20016,,
31,31,"$2,008",1 Bed,1 Bath,20h ago,1500 MassOur team has verified this property1500 Massachusetts Ave Nw,Washington,DC, 20005,,
32,32,"$2,795",1 Bed,1 Bath,20h ago,21st St NW,Washington,DC, 20009,,
33,33,"$2,000",1 Bed,1 Bath,21h ago,1739 19th St Nw,Washington,DC, 20009,,
34,34,"$1,591",1 Bed,1 Bath,21h ago,Ellicott House ApartmentsOur team has verified this property4849 Connecticut Ave Nw,Washington,DC, 20008,,
35,35,"$2,568",1 Bed,1 Bath,21h ago,2400 Pennsylvania Avenue ApartmentsOur team has verified this property2400 Pennsylvania Ave Nw,Washington,DC, 20037,,
36,36,"$2,323",1 Bed,1 Bath,23h ago,Eliot on 4th1001 4th St Sw,Washington,DC, 20024,,
37,37,"$2,960",1 Bed,1 Bath,1d ago,2121 1st St Sw ,Washington,DC, 20024,,
38,38,"$1,500",1 Bed,1 Bath,1d ago,212 Oakwood St Se ,Washington,DC, 20032,,
39,39,"$2,492",1 Bed,1 Bath,1d ago,Jefferson Marketplace1550 7th St Nw,Washington,DC, 20001,,
40,40,"$2,280",1 Bed,1 Bath,1d ago,100KOur team has verified this property100 K St Ne,Washington,DC, 20002,,
41,41,"$2,169",1 Bed,1 Bath,1d ago,Camden South CapitolOur team has verified this property1345 S Capitol St Sw,Washington,DC, 20003,,
42,42,"$2,940",1 Bed,1 Bath,1d ago,1777 Columbia Road NWOur team has verified this property1777 Columbia Rd Nw ,Washington,DC, 20009,,
43,43,"$2,075",1 Bed,1 Bath,1d ago,Avalon at FoxhallOur team has verified this property4100 Massachusetts Ave Nw,Washington,DC, 20016,,
44,44,"$2,572",1 Bed,1 Bath,1d ago,Meridian at Gallery PlaceOur team has verified this property450 Massachusetts Ave Nw,Washington,DC, 20001,,
45,45,"$2,362",1 Bed,1 Bath,1d ago,The StatesmanOur team has verified this property2020 F St Nw,Washington,DC, 20006,,
46,46,"$1,995",1 Bed,1 Bath,1d ago,746 7th St S.E.746 7th St Se,Washington,DC, 20003,,
47,47,"$2,134",1 Bed,1 Bath,1d ago,Parc RiversideOur team has verified this property1011 1st St Se,Washington,DC, 20003,,
48,48,"$1,550",1 Bed,1 Bath,1d ago,Residences at HayesOur team has verified this property5201 Hayes Street Northeast,Washington,DC, 20019,,
49,49,"$2,400",1 Bed,1 Bath,1d ago,2500 Q St Nw ,Washington,DC, 20007,,
50,50,"$1,800",1 Bed,1 Bath,1d ago,1002 S Carolina Ave Se ,Washington,DC, 20003,,
51,51,"$2,175",1 Bed,1 Bath,1d ago,425 MassOur team has verified this property425 Massachusetts Ave Nw,Washington,DC, 20001,,
52,52,"$2,374",1 Bed,1 Bath,1d ago,Union PlaceOur team has verified this property200 K St Ne,Washington,DC, 20002,,
53,53,"$2,109",1 Bed,1 Bath,1d ago,Cleveland HouseOur team has verified this property2727 29th St Nw,Washington,DC, 20008,,
54,54,"$2,422",1 Bed,1 Bath,1d ago,2100 ConnecticutOur team has verified this property2100 Connecticut Ave Nw,Washington,DC, 20008,,
55,55,"$1,850",1 Bed,1 Bath,1d ago,1106 7th St Ne,Washington,DC, 20002,,
56,56,"$2,441",1 Bed,1 Bath,1d ago,Cathedral MansionsOur team has verified this property3000 Connecticut Ave Nw,Washington,DC, 20008,,
57,57,"$2,055",1 Bed,1 Bath,1d ago,Park Place at PetworthOur team has verified this property850 Quincy St Nw,Washington,DC, 20011,,
58,58,"$2,160",1 Bed,1 Bath,1d ago,MorseOur team has verified this property550 Morse St Ne,Washington,DC, 20002,,
59,59,"$2,327",1 Bed,1 Bath,1d ago,Kiley600 4th St Sw,Washington,DC, 20024,,
60,60,"$2,851",1 Bed,1 Bath,1d ago,Legacy West End1255 22nd St Nw,Washington,DC, 20037,,
61,61,"$2,809",1 Bed,1 Bath,1d ago,Coda on H315 H St Ne,Washington,DC, 20002,,
