,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,4,"$3,375",1 Bed,1 Bath,12m ago,20 Avenue A ,New York,NY, 10009,40.7227211,-73.98563721304899
1,6,"$3,600",1 Bed,1 Bath,24m ago,Madison Ave & E 30th St ,New York,NY, 10016,40.7454349,-73.9845248
2,7,"$3,295",1 Bed,1 Bath,31m ago,Lexington Ave & E 27th St,New York,NY, 10016,40.7421494,-73.9829297
3,8,"$3,500",1 Bed,1 Bath,34m ago,York Ave & E 88th St ,New York,NY, 10128,40.7770732,-73.9464454
4,17,"$4,400",1 Bed,1 Bath,3h ago,160 West 73rd Street,New York,NY, 10023,40.778806599999996,-73.98054205371724
5,22,"$3,395",1 Bed,1 Bath,4h ago,Avenue B ,New York,NY, 10009,40.7269195,-73.9798671
6,23,"$3,395",1 Bed,1 Bath,4h ago,Avenue B ,New York,NY, 10009,40.7269195,-73.9798671
7,26,"$2,400",1 Bed,1 Bath,4h ago,Gold St ,New York,NY, 10038,40.7102402,-74.0041839
8,29,"$4,733",1 Bed,1 Bath,4h ago,W 38th St ,New York,NY, 10018,40.75208,-73.9853845
9,30,"$2,450",1 Bed,1 Bath,4h ago,105 Pinehurst Ave ,New York,NY, 10033,40.8518197,-73.93873788383249
10,32,"$1,800",1 Bed,1 Bath,5h ago,12010 Rockaway Beach Blvd,New York,NY, 11694,40.5778644,-73.8430543
11,33,"$1,400",1 Bed,1 Bath,5h ago,98 Crabtree Ave,New York,NY, 10309,40.5413353,-74.22167392071428
12,34,"$4,195",1 Bed,1 Bath,5h ago,16 Saint Marks Ave ,New York,NY, 11217,40.680469349999996,-73.97698555126846
13,36,"$1,100",1 Bed,1 Bath,7h ago,3971 Gouverneur Avenue,New York,NY, 10463,40.88351315,-73.89218032382473
14,37,"$4,500",1 Bed,1 Bath,12h ago,E 65th St ,New York,NY, 10065,40.621825,-73.916991
15,39,"$4,900",1 Bed,1 Bath,12h ago,W 89th St ,New York,NY, 10024,40.7895671,-73.9734928
16,40,"$4,032",1 Bed,1 Bath,12h ago,401 E 34th St ,New York,NY, 10016,40.7436487,-73.9727084
17,41,"$4,800",1 Bed,1 Bath,12h ago,E 91st St ,New York,NY, 10128,40.7833281,-73.9547638
18,42,"$3,100",1 Bed,1 Bath,12h ago,W 71st St,New York,NY, 10023,40.7766765,-73.9791729
19,45,"$6,660",1 Bed,1 Bath,12h ago,221 Mott St ,New York,NY, 10012,40.722294250000004,-73.99540620270955
20,47,"$2,900",1 Bed,1 Bath,16h ago,90 West St ,New York,NY, 10006,40.70999235,-74.01435151334422
21,55,"$2,950",1 Bed,1 Bath,20h ago,159 West 53rd Street ,New York,NY, 10019,40.7627986,-73.9812172
22,59,"$8,100",1 Bed,1 Bath,1d ago,W 54th St ,New York,NY, 10019,40.7653154,-73.9854965
23,60,"$9,000",1 Bed,1 Bath,1d ago,W 42nd St ,New York,NY, 10036,40.754121,-73.9824074
24,61,"$8,700",1 Bed,1 Bath,1d ago,W 56th St ,New York,NY, 10019,40.7659758,-73.9832434
25,62,"$7,600",1 Bed,1 Bath,1d ago,E 34th St ,New York,NY, 10016,40.7461267,-73.9790399
26,63,"$8,700",1 Bed,1 Bath,1d ago,E 54th St ,New York,NY, 10022,40.757806,-73.9677004
27,66,"$2,550",1 Bed,1 Bath,1d ago,Netherland Ave,New York,NY, 10463,40.8841587,-73.9114818
28,67,"$5,500",1 Bed,1 Bath,1d ago,111 E 56th St ,New York,NY, 10022,40.76082065,-73.97037360101965
29,68,"$4,950",1 Bed,1 Bath,1d ago,350 W 42nd St ,New York,NY, 10036,40.75784715,-73.99223011350482
30,70,"$7,740",1 Bed,1 Bath,1d ago,235 W 48th St ,New York,NY, 10036,40.7608991,-73.986314
31,71,"$6,810",1 Bed,1 Bath,1d ago,475 48th Ave ,New York,NY, 11109,40.7448287,-73.957904
32,74,"$5,550",1 Bed,1 Bath,1d ago,111 E 37th St ,New York,NY, 10016,40.748801099999994,-73.97906208565288
33,81,"$4,100",1 Bed,1 Bath,1d ago,Columbus Pl ,New York,NY, 10019,40.6775708,-73.9227576
34,82,"$6,377",1 Bed,1 Bath,1d ago,W 29th St ,New York,NY, 10001,40.745993,-73.9884877
35,83,"$3,195",1 Bed,1 Bath,1d ago,167 Ludlow St ,New York,NY, 10002,40.72163435,-73.98776173590883
36,87,"$3,000",1 Bed,1 Bath,1d ago,450 W 46th St ,New York,NY, 10036,40.76173815,-73.99305586488151
37,89,"$2,750",1 Bed,1 Bath,1d ago,147 Montague St ,New York,NY, 11201,40.6947449,-73.9933786276839
38,90,"$2,350",1 Bed,1 Bath,1d ago,105 Pinehurst Ave ,New York,NY, 10033,40.8518197,-73.93873788383249
39,91,"$2,300",1 Bed,1 Bath,1d ago,79 Haven Ave ,New York,NY, 10032,40.84414295,-73.94237037142466
40,92,"$2,300",1 Bed,1 Bath,1d ago,79 Haven Ave ,New York,NY, 10032,40.84414295,-73.94237037142466
41,103,"$4,950",1 Bed,1 Bath,1d ago,520 W 23rd St ,New York,NY, 10011,40.747955714285716,-74.00502385714285
42,104,"$2,350",1 Bed,1 Bath,1d ago,3515 84th St ,New York,NY, 11372,40.7539556,-73.8831798
43,108,"$4,534",1 Bed,1 Bath,1d ago,160 Riverside Blvd,New York,NY, 10069,40.77766645,-73.98846603238228
44,109,"$5,650",1 Bed,1 Bath,1d ago,401 E 34th St ,New York,NY, 10016,40.7436487,-73.9727084
45,112,"$7,730",1 Bed,1 Bath,1d ago,1600 Broadway ,New York,NY, 10019,40.7601888,-73.98435270226332
46,114,"$2,595",1 Bed,1 Bath,1d ago,531 E 78th St ,New York,NY, 10075,40.7700182,-73.9490526
47,115,"$2,595",1 Bed,1 Bath,1d ago,523 E 78th St ,New York,NY, 10075,40.7701778,-73.9494307
48,116,"$1,800",1 Bed,1 Bath,1d ago,W 132nd St,New York,NY, 10037,40.8122777,-73.942433
49,118,"$2,100",1 Bed,1 Bath,1d ago,35 W 118th St ,New York,NY, 10026,40.80286075,-73.9471548042798
50,119,"$3,300",1 Bed,1 Bath,1d ago,254 Henry St ,New York,NY, 11201,40.692655,-73.9955478600248
51,126,"$2,200",1 Bed,1 Bath,1d ago,64 Steuben St ,New York,NY, 11205,40.695649,-73.96369555
52,127,"$1,550",1 Bed,1 Bath,1d ago,288 Audubon Ave,New York,NY, 10033,40.8478377,-73.9331837
53,128,"$2,350",1 Bed,1 Bath,1d ago,225 10th Ave,New York,NY, 10011,40.7480555,-74.00418889540212
54,129,"$2,300",1 Bed,1 Bath,1d ago,696 2nd Ave,New York,NY, 10016,40.7469948,-73.9740131
55,130,"$1,959",1 Bed,1 Bath,1d ago,2069 Honeywell Ave ,New York,NY, 10460,40.84438135,-73.88326366607897
56,131,"$1,885",1 Bed,1 Bath,1d ago,2069 Honeywell Ave ,New York,NY, 10460,40.84438135,-73.88326366607897
57,134,"$4,700",1 Bed,1 Bath,1d ago,E Houston St ,New York,NY, 10002,40.7226198,-73.9878382
58,136,"$4,750",1 Bed,1 Bath,1d ago,55 Greenwich Ave ,New York,NY, 10014,40.73579915,-74.00086904175538
59,137,"$3,250",1 Bed,1 Bath,1d ago,W 72nd St ,New York,NY, 10023,40.7762751,-73.9760823
60,142,"$2,200",1 Bed,1 Bath,1d ago,139-81 35th Avenue ,New York,NY, 11354,40.766049949999996,-73.82491646893783
61,143,"$2,200",1 Bed,1 Bath,1d ago,3006 29th St,New York,NY, 11102,40.767551,-73.92318126666667
62,144,"$1,910",1 Bed,1 Bath,1d ago,2115 Burr Ave,New York,NY, 10461,40.8551628,-73.82855765449438
63,145,"$2,100",1 Bed,1 Bath,1d ago,32-08 Union Street ,32-08 Union Street #,New York,NY, 11354,
64,149,"$3,250",1 Bed,1 Bath,1d ago,20 Avenue A ,New York,NY, 10009,40.7227211,-73.98563721304899
65,154,"$5,940",1 Bed,1 Bath,2d ago,515 E 86th St ,New York,NY, 10028,40.77572066666667,-73.946406
66,157,"$5,870",1 Bed,1 Bath,2d ago,235 W 48th St ,New York,NY, 10036,40.7608991,-73.986314
67,159,"$5,720",1 Bed,1 Bath,2d ago,235 W 48th St ,New York,NY, 10036,40.7608991,-73.986314
68,160,"$5,200",1 Bed,1 Bath,2d ago,95 Wall St ,New York,NY, 10005,40.7047056,-74.00756981131559
69,161,"$6,050",1 Bed,1 Bath,2d ago,241 Atlantic Ave ,New York,NY, 11201,40.6893712,-73.9908645
70,162,"$6,030",1 Bed,1 Bath,2d ago,377 E 33rd St ,New York,NY, 10016,40.74347215,-73.97420265965272
71,164,"$5,990",1 Bed,1 Bath,2d ago,51 Leroy St ,New York,NY, 10014,40.7303986,-74.00499153970222
72,166,"$5,770",1 Bed,1 Bath,2d ago,235 W 48th St ,New York,NY, 10036,40.7608991,-73.986314
73,167,"$5,640",1 Bed,1 Bath,2d ago,160 Riverside Blvd ,New York,NY, 10069,40.77766645,-73.98846603238228
74,168,"$6,730",1 Bed,1 Bath,2d ago,250 E Houston St ,New York,NY, 10002,40.7225809,-73.9863889
75,169,"$5,920",1 Bed,1 Bath,2d ago,484 2nd Ave ,New York,NY, 10016,40.7406127,-73.97845937301946
76,171,"$6,030",1 Bed,1 Bath,2d ago,377 E 33rd St ,New York,NY, 10016,40.74347215,-73.97420265965272
77,173,"$5,670",1 Bed,1 Bath,2d ago,189 W 89th St ,New York,NY, 10024,40.7895627,-73.9732478
78,174,"$4,620",1 Bed,1 Bath,2d ago,475 48th Ave ,New York,NY, 11109,40.7448287,-73.957904
79,175,"$5,820",1 Bed,1 Bath,2d ago,235 W 48th St ,New York,NY, 10036,40.7608991,-73.986314
