,index,Price,Beds,Baths,Post_Time,Address,City,State,Zipcode,Lat,Long
0,30,"$3,230",1 Bed,1 Bath,6h ago,1301 4th Ave ,Seattle,WA, 98101,47.608324550000006,-122.33536719060264
1,31,"$2,940",1 Bed,1 Bath,6h ago,5555 14th Ave Nw ,Seattle,WA, 98107,47.6688655,-122.3740251
2,32,"$3,180",1 Bed,1 Bath,6h ago,1530 Belmont Ave ,Seattle,WA, 98122,47.61470195,-122.32415755335504
3,34,"$3,250",1 Bed,1 Bath,8h ago,111 Terry Ave N ,Seattle,WA, 98109,47.6190417,-122.3374125
4,52,"$2,395",1 Bed,1 Bath,12h ago,y Studios,New Luxury Studios in QUEEN ANNE!! **OPENING JUNE 2022215 1st Ave N,Seattle,WA, 98109,
5,72,"$3,190",1 Bed,1 Bath,17h ago,520 Occidental Ave S ,Seattle,WA, 98104,47.5976347,-122.332783
6,73,"$3,290",1 Bed,1 Bath,17h ago,1000 Minor Ave ,Seattle,WA, 98104,47.610169299999995,-122.32393354084394
7,76,"$1,250",1 Bed,1 Bath,18h ago,633 W Nickerson St ,Seattle,WA, 98119,47.651775,-122.3660806
8,77,"$1,795",1 Bed,1 Bath,18h ago,2410 Nw 57th St ,Seattle,WA, 98107,47.67039724999999,-122.38828500588801
9,80,"$2,850",1 Bed,1 Bath,18h ago,1810 43rd Ave E ,Seattle,WA, 98112,47.63477905,-122.2768045745658
10,87,"$2,115",1 Bed,1 Bath,20h ago,1414 Ne 42nd St,Seattle,WA, 98105,47.6584214,-122.3122776
11,88,"$1,625",1 Bed,1 Bath,20h ago,901 8th Ave,Seattle,WA, 98104,47.6072765,-122.3281324
12,89,"$1,998",1 Bed,1 Bath,20h ago,8606 35th Ave Ne,Seattle,WA, 98115,47.6914342,-122.2904883
13,90,"$2,219",1 Bed,1 Bath,20h ago,4433 42nd Ave Sw,Seattle,WA, 98116,47.5636962,-122.3858044
14,135,"$2,500",1 Bed,1 Bath,1d ago,530 Broadway E ,Seattle,WA, 98102,47.623995199999996,-122.3205986631237
15,139,"$3,420",1 Bed,1 Bath,1d ago,2116 4th Ave ,Seattle,WA, 98121,47.6144424,-122.34171980096284
16,140,"$3,580",1 Bed,1 Bath,1d ago,2116 4th Ave ,Seattle,WA, 98121,47.6144424,-122.34171980096284
17,141,"$2,890",1 Bed,1 Bath,1d ago,5555 14th Ave Nw ,Seattle,WA, 98107,47.6688655,-122.3740251
18,142,"$4,140",1 Bed,1 Bath,1d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
19,143,"$2,980",1 Bed,1 Bath,1d ago,1301 4th Ave ,Seattle,WA, 98101,47.608324550000006,-122.33536719060264
20,144,"$3,000",1 Bed,1 Bath,1d ago,330 3rd Ave W ,Seattle,WA, 98119,47.6212566,-122.3604325
21,145,"$4,330",1 Bed,1 Bath,1d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
22,146,"$3,470",1 Bed,1 Bath,1d ago,101 Taylor Ave N ,Seattle,WA, 98109,47.61916035,-122.34675782457546
23,147,"$2,570",1 Bed,1 Bath,1d ago,1200 Western Ave ,Seattle,WA, 98101,47.60620765,-122.33883733682929
24,148,"$2,660",1 Bed,1 Bath,1d ago,1000 Minor Ave ,Seattle,WA, 98104,47.610169299999995,-122.32393354084394
25,149,"$3,420",1 Bed,1 Bath,1d ago,120 Westlake Ave N ,Seattle,WA, 98109,47.61910825,-122.33807366904094
26,150,"$2,330",1 Bed,1 Bath,1d ago,1408 Western Ave ,Seattle,WA, 98101,47.6077242,-122.3403373
27,151,"$2,600",1 Bed,1 Bath,1d ago,708 6th Ave N ,Seattle,WA, 98109,47.62582285,-122.34404169536526
28,152,"$2,860",1 Bed,1 Bath,1d ago,403 Dexter Ave N ,Seattle,WA, 98109,47.622457999999995,-122.34283139992236
29,153,"$2,940",1 Bed,1 Bath,1d ago,118 Broadway E ,Seattle,WA, 98102,47.6196604,-122.320645
30,154,"$3,880",1 Bed,1 Bath,1d ago,1430 2nd Ave ,Seattle,WA, 98101,47.6092004,-122.3383542641986
31,155,"$2,760",1 Bed,1 Bath,1d ago,704 Spring St ,Seattle,WA, 98104,47.608346469387754,-122.33010071428572
32,156,"$3,440",1 Bed,1 Bath,1d ago,1146 Harrison St ,Seattle,WA, 98109,47.6223517,-122.3347864
33,157,"$3,060",1 Bed,1 Bath,1d ago,210 Wall St ,Seattle,WA, 98121,47.615899299999995,-122.34821416558084
34,158,"$3,180",1 Bed,1 Bath,1d ago,1430 2nd Ave ,Seattle,WA, 98101,47.6092004,-122.3383542641986
35,159,"$2,260",1 Bed,1 Bath,1d ago,3000 S Alaska St ,Seattle,WA, 98108,47.560888,-122.293014
36,160,"$2,950",1 Bed,1 Bath,1d ago,2116 4th Ave ,Seattle,WA, 98121,47.6144424,-122.34171980096284
37,161,"$3,250",1 Bed,1 Bath,1d ago,120 Westlake Ave N ,Seattle,WA, 98109,47.61910825,-122.33807366904094
38,162,"$3,270",1 Bed,1 Bath,1d ago,120 Westlake Ave N ,Seattle,WA, 98109,47.61910825,-122.33807366904094
39,163,"$3,430",1 Bed,1 Bath,1d ago,1430 2nd Ave ,Seattle,WA, 98101,47.6092004,-122.3383542641986
40,164,"$2,770",1 Bed,1 Bath,1d ago,2428 Nw Market St ,Seattle,WA, 98107,47.669158,-122.3889054
41,165,"$3,720",1 Bed,1 Bath,1d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
42,166,"$2,680",1 Bed,1 Bath,1d ago,2715 25th Ave S ,Seattle,WA, 98144,47.5787277,-122.3004833
43,167,"$3,710",1 Bed,1 Bath,1d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
44,168,"$3,250",1 Bed,1 Bath,1d ago,101 Taylor Ave N ,Seattle,WA, 98109,47.61916035,-122.34675782457546
45,169,"$2,490",1 Bed,1 Bath,1d ago,3000 S Alaska St ,Seattle,WA, 98108,47.560888,-122.293014
46,177,"$2,995",1 Bed,1 Bath,1d ago,1321 Seneca St ,Seattle,WA, 98101,47.61181045,-122.32320075498006
47,178,"$2,450",1 Bed,1 Bath,1d ago,63 W Etruria St ,Seattle,WA, 98119,47.647558149999995,-122.3603259670307
48,182,"$1,895",1 Bed,1 Bath,1d ago,2015 Terry Ave ,Seattle,WA, 98121,47.6172753,-122.3358155556956
49,183,"$2,200",1 Bed,1 Bath,1d ago,2960 Eastlake Ave E ,Seattle,WA, 98102,47.6486651,-122.3231616
50,184,"$2,499",1 Bed,1 Bath,1d ago,9644 26th Ave Nw,Seattle,WA, 98117,47.69982025,-122.38832143087379
51,185,"$1,995",1 Bed,1 Bath,1d ago,566 Prospect St ,Seattle,WA, 98109,47.6292146,-122.3451617
52,186,"$2,100",1 Bed,1 Bath,1d ago,1828 11th Ave ,Seattle,WA, 98122,47.618441450000006,-122.3178785550219
53,187,"$1,995",1 Bed,1 Bath,1d ago,590 1st Ave S ,Seattle,WA, 98104,47.5960846,-122.3337578
54,206,"$2,530",1 Bed,1 Bath,1d ago,2615 25th Ave S ,Seattle,WA, 98144,47.5792503,-122.3007428
55,207,"$2,760",1 Bed,1 Bath,1d ago,400 Boren Ave N ,Seattle,WA, 98109,47.62257905,-122.33547989661581
56,208,"$3,230",1 Bed,1 Bath,1d ago,704 Spring St ,Seattle,WA, 98104,47.608346469387754,-122.33010071428572
57,211,"$1,450",1 Bed,1 Bath,1d ago,5600 University Way Ne ,Seattle,WA, 98105,47.669657099999995,-122.3126941539233
58,212,"$1,950",1 Bed,1 Bath,1d ago,2413 Boylston Ave E ,Seattle,WA, 98102,47.6418611,-122.32381905297706
59,233,"$1,695",1 Bed,1 Bath,1d ago,3652 Phinney Ave N ,Seattle,WA, 98103,47.6537832,-122.3541301
60,234,"$2,250",1 Bed,1 Bath,1d ago,2440 Western Ave ,Seattle,WA, 98121,47.6139941,-122.3491511
61,249,"$3,010",1 Bed,1 Bath,2d ago,5555 14th Ave Nw ,Seattle,WA, 98107,47.6688655,-122.3740251
62,274,"$2,295",1 Bed,1 Bath,2d ago,1321 Seneca St ,Seattle,WA, 98101,47.61181045,-122.32320075498006
63,282,"$1,750",1 Bed,1 Bath,2d ago,3104 Western Ave ,Seattle,WA, 98121,47.6180304,-122.356095
64,287,"$2,425",1 Bed,1 Bath,2d ago,1830 E Mercer St,Seattle,WA, 98112,47.6244954,-122.307473
65,288,"$2,695",1 Bed,1 Bath,2d ago,2123 4th Ave N ,Seattle,WA, 98109,47.6381044,-122.3497427
66,289,"$2,495",1 Bed,1 Bath,2d ago,215 Aloha St,Seattle,WA, 98109,47.6270286,-122.3518789
67,290,"$2,495",1 Bed,1 Bath,2d ago,1404 10th Ave W ,Seattle,WA, 98119,47.6314056,-122.3699931
68,291,"$2,000",1 Bed,1 Bath,2d ago,505 S Cloverdale St ,Seattle,WA, 98108,47.5263252,-122.3278096
69,292,"$1,350",1 Bed,1 Bath,2d ago,905 Cherry St ,Seattle,WA, 98104,47.6061985,-122.3250279
70,312,"$2,930",1 Bed,1 Bath,3d ago,210 Wall St ,Seattle,WA, 98121,47.615899299999995,-122.34821416558084
71,313,"$3,950",1 Bed,1 Bath,3d ago,1530 Belmont Ave ,Seattle,WA, 98122,47.61470195,-122.32415755335504
72,314,"$3,290",1 Bed,1 Bath,3d ago,330 3rd Ave W ,Seattle,WA, 98119,47.6212566,-122.3604325
73,320,"$2,313",1 Bed,1 Bath,3d ago,624 Yale Ave N ,Seattle,WA, 98109,47.6249568,-122.33047543240147
74,328,"$2,200",1 Bed,1 Bath,3d ago,1828 11th Ave ,Seattle,WA, 98122,47.618441450000006,-122.3178785550219
75,339,"$3,430",1 Bed,1 Bath,3d ago,2116 4th Ave ,Seattle,WA, 98121,47.6144424,-122.34171980096284
76,340,"$3,270",1 Bed,1 Bath,3d ago,1900 1st Ave ,Seattle,WA, 98101,47.6108234,-122.34159495326017
77,341,"$3,090",1 Bed,1 Bath,3d ago,241 Yale Ave N ,Seattle,WA, 98109,47.6201911,-122.3306974
78,342,"$2,880",1 Bed,1 Bath,3d ago,521 Stadium Pl S ,Seattle,WA, 98104,47.5979613,-122.33244084787844
79,343,"$3,060",1 Bed,1 Bath,3d ago,2116 4th Ave ,Seattle,WA, 98121,47.6144424,-122.34171980096284
80,344,"$3,620",1 Bed,1 Bath,3d ago,1260 Republican St ,Seattle,WA, 98109,47.62339335,-122.33110132625859
81,345,"$3,470",1 Bed,1 Bath,3d ago,120 Westlake Ave N ,Seattle,WA, 98109,47.61910825,-122.33807366904094
82,346,"$4,170",1 Bed,1 Bath,3d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
83,347,"$3,420",1 Bed,1 Bath,3d ago,1600 2nd Ave ,Seattle,WA, 98101,47.6107109,-122.33974380895049
84,348,"$3,180",1 Bed,1 Bath,3d ago,1301 4th Ave ,Seattle,WA, 98101,47.608324550000006,-122.33536719060264
85,349,"$3,590",1 Bed,1 Bath,3d ago,1600 2nd Ave ,Seattle,WA, 98101,47.6107109,-122.33974380895049
86,350,"$3,150",1 Bed,1 Bath,3d ago,1520 Eastlake Ave E ,Seattle,WA, 98102,47.6328705,-122.3254799
87,351,"$3,010",1 Bed,1 Bath,3d ago,101 Taylor Ave N ,Seattle,WA, 98109,47.61916035,-122.34675782457546
88,352,"$4,150",1 Bed,1 Bath,3d ago,210 8th Ave N ,Seattle,WA, 98109,47.6202244,-122.34072005359164
89,353,"$2,750",1 Bed,1 Bath,3d ago,1323 Hubbell Pl ,Seattle,WA, 98101,47.61078408040671,-122.33077526391978
90,360,"$1,200",1 Bed,1 Bath,4d ago,730 Bellevue Ave E,Seattle,WA, 98102,47.62597,-122.3262883
91,361,"$1,995",1 Bed,1 Bath,4d ago,1707 Boylston Ave ,Seattle,WA, 98122,47.616621550000005,-122.32373482860656
92,373,"$1,550",1 Bed,1 Bath,4d ago,12549 28th Ave Ne ,Seattle,WA, 98125,47.720774,-122.2983249
93,385,"$1,895",1 Bed,1 Bath,5d+ ago,5804 15th Avenue Northeast ,Seattle,WA, 98105,47.6717852,-122.3116267
94,386,"$2,000",1 Bed,1 Bath,5d+ ago,5034 Baker Avenue Northwest,Seattle,WA, 98107,47.6661056,-122.35943341880896
